Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A0250	11742	OneStep RT-ddPCR				11/17/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			45714	SARS-CoV-2 N2			54856.8																													CDC N1/N2/RP Triplex	0.005		11/13/20 4:30	100				3.8				MS	Human RNase P	36571.2	Timothy Driscoll	11/13/20 22:10	11/13/20 22:10	Monongalia County	A0250	11/17/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	DW	11/12/20 0:00	Composite	11/12/20 23:59	11/12/20 0:00	TD	11/13/20		StarCityWWTP-01	Available
A0233	17982	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			37704	SARS-CoV-2 N2			34560																													CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	0	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0233	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	2/2/21 0:00	Composite	2/2/21 23:59	2/2/21 0:00	TD	2/4/21		StarCityWWTP-01	Available
A1005	9233	OneStep RT-ddPCR				3/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		3/19/21 3:00	100				3.4				TD	Human RNase P	26010	Josh Lambert	3/19/21 15:28	3/19/21 15:28	Monongalia County	A1005	3/21/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				TD		Pass	Not Assessed	Not Assessed	Pass	GG	3/14/21 11:59	Composite	3/14/21 11:59	3/14/21 5:30	JL	3/19/21		StarCityWWTP-01	Available
A0220	12903	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			43776	SARS-CoV-2 N2			52536																													CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	0	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0220	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/14/21 0:00	Composite	1/14/21 23:59	1/14/21 0:00	TD	1/15/21		StarCityWWTP-01	Available
A0039	13018	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			108552	SARS-CoV-2 N2			99864																													CDC N1/N2/RP Triplex	0.005		12/14/20 17:00	100				4				AT	Human RNase P	52080	Timothy Driscoll	12/21/20 16:22	12/21/20 16:22	Monongalia County	A0039	12/15/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	DW	12/13/20 0:00	Composite	12/13/20 11:59	12/13/20 12:00	TD	12/14/20		StarCityWWTP-01	Available
A1006	10779	OneStep RT-ddPCR				3/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		3/19/21 3:00	100				4.2				TD	Human RNase P	55036.8	Josh Lambert	3/19/21 15:30	3/19/21 15:30	Monongalia County	A1006	3/21/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				TD		Pass	Not Assessed	Not Assessed	Pass	GG	3/15/21 11:59	Composite	3/15/21 11:59	3/15/21 12:01	JL	3/19/21		StarCityWWTP-01	Available
A02-0002	20957	OneStep RT-ddPCR	BRSV			8/13/21	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	C01	JL	SARS-CoV-2 N1	0	99.9626002	7158.53721	SARS-CoV-2 N2	0	99.96326296	5965.30548																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C05	JL			Josh Lambert		8/16/21 13:03	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C05	JL	NaN	Pass	Pass	Pass	Pass	EL	8/12/21 9:00	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/13/21	6.65	OaklandE-02	
A0244	12491	OneStep RT-ddPCR				11/20/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			66502.8	SARS-CoV-2 N2			71240.4																													CDC N1/N2/RP Triplex	0.005		11/16/20 17:00	100				4.2				MS	Human RNase P	37976.4	Timothy Driscoll	11/19/20 19:25	11/19/20 19:25	Monongalia County	A0244	11/17/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	DW	11/16/20 0:00	Composite	11/16/20 23:59	11/16/20 0:00	TD	12/7/20		StarCityWWTP-01	Available
A1000	13784	OneStep RT-ddPCR				3/16/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			20490																													CDC N1/N2/RP Triplex	0.005		3/12/21 11:00	100				5				AHT	Human RNase P	40980	Mathilda Santee	3/12/21 10:59	3/12/21 10:59	Monongalia County	A1000	3/15/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AHT		Pass	Not Assessed	Not Assessed	Pass	EL	3/7/21 12:00	Composite	3/7/21 12:00	3/7/21 12:00	MVS	3/12/21		StarCityWWTP-01	Available
A07-0018	19654	OneStep RT-ddPCR	BRSV			8/13/21	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	0																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B04	JL			Josh Lambert		8/13/21 12:24	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B04	JL	NaN	Pass	Pass	Pass	Pass	EL	8/11/21 9:00	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	NaN	TowersBB-01	
A01-0010	18269	OneStep RT-ddPCR	None			8/20/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H6	AP000000	A06	JL	SARS-CoV-2 N1	0	99.91557173	48257.43274	SARS-CoV-2 N2	0	99.91831254	52743.32898																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	6.99	CP000000	A06	JL						Monongalia County	Primary	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H6	EP000000	A06	JL		Pass	Pass	Pass			8/19/21 23:59	Composite	8/19/21 23:59	8/19/21 0:01				StarCityWWTP-01	
A1088		OneStep RT-ddPCR	BRSV	209926.25												SARS-CoV-2 N1			9310	SARS-CoV-2 N2			4655																													N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.54						Josh Lambert		07/09/2021 12:23 PM		A1088	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	07/08/2021 11:55 PM	Composite	07/08/2021 11:55 PM	07/08/2021 12:00 AM	JL	07/09/2021	6.54	StarCityWWTP-01	Available
A0021	14612	OneStep RT-ddPCR				11/20/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			19320	SARS-CoV-2 N2			19320																													CDC N1/N2/RP Triplex	0.005		11/19/20 17:00	100				4				MS	Human RNase P	88968	Timothy Driscoll	11/19/20 19:24	11/19/20 19:24	Monongalia County	A0021	11/20/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/18/20 0:00	Composite	11/18/20 23:59	11/18/20 0:00	TD	11/19/20		StarCityWWTP-01	Available
A0437	10482	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			32328	SARS-CoV-2 N2			16164																													CDC N1/N2/RP Triplex	0.005			100				3					Human RNase P	36378	Mathilda Santee	3/3/21 11:40	3/3/21 11:40	Monongalia County	A0437		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	2/18/21 12:00	Composite	2/18/21 12:00	2/18/21 12:00				StarCityWWTP-01	Available
A02-0034	19642	OneStep RT-ddPCR	None			8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	J1	AP000002	B01	JL	SARS-CoV-2 N1	0	99.93699063	314.0035393	SARS-CoV-2 N2	0	99.94261999	1317.981478																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B03	JL						WVU Morgantown	Tertiary	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A09	JL		Pass	Pass	Pass			8/23/21 10:12	Composite	8/23/21 9:00	8/21/21 9:00				CollegePark-02	
A01-0003	19784	OneStep RT-ddPCR	None			8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A02	JL	SARS-CoV-2 N1	0	99.94874319	25285.73	SARS-CoV-2 N2	0	99.95073014	32876.44184	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A02	JL			Josh Lambert		8/16/21 13:05	Monongalia County	Primary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL	NaN	Pass	Pass	Pass	Pass	GG	8/11/21 23:55	Composite	8/11/21 23:55	8/11/21 0:00	Josh Lambert	8/13/21	6.87	StarCityWWTP-01	
A1014	10126	OneStep RT-ddPCR				3/30/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			19530																													CDC N1/N2/RP Triplex	0.005		3/26/21 11:00	100				7				MVS	Human RNase P	29274	Mathilda Santee	3/26/21 10:55	3/26/21 10:55	Monongalia County	A1014	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	3/26/21 10:54	Composite	3/24/21 12:00	3/24/21 12:00	MVS	3/26/21		StarCityWWTP-01	Available
A1097		OneStep RT-ddPCR	BRSV	123143.75												SARS-CoV-2 N1			0	SARS-CoV-2 N2			4560																													N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1097		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/21/21 23:55	Composite	7/21/21 23:55	7/21/21 0:00	JL			StarCityWWTP-01	Available
A1010	10115	OneStep RT-ddPCR				3/30/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			11184																													CDC N1/N2/RP Triplex	0.005		3/26/21 11:00	100				8				MVS	Human RNase P	33504	Mathilda Santee	3/26/21 10:51	3/26/21 10:51	Monongalia County	A1010	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	3/26/21 12:00	Composite	3/21/21 12:00	3/21/21 12:00	MVS	3/26/21		StarCityWWTP-01	Available
A0232	16039	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			39630	SARS-CoV-2 N2			26400																													CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				5				MS	Human RNase P	0	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0232	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	2/1/21 0:00	Composite	2/1/21 23:59	2/1/21 0:00	TD	2/4/21		StarCityWWTP-01	Available
A1039	6779	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			20820	SARS-CoV-2 N2			20820																													CDC N1/N2/RP Triplex	0.005		4/30/21 11:30	100				5				KED	Human RNase P	20820	Mathilda Santee	4/30/21 11:10	4/30/21 11:10	Monongalia County	A1039	5/3/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KED		Fail: Droplet Count Below Threshold	Not Assessed	Not Assessed	Pass	EL	4/30/21 11:09	Composite	4/28/21 11:59	4/28/21 12:00	MVS	4/30/21		StarCityWWTP-01	Available
A0450	12328	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			13752	SARS-CoV-2 N2			9168																													CDC N1/N2/RP Triplex	0.005		2/19/21 13:00	100				4				AT	Human RNase P	13752	Timothy Driscoll	3/12/21 17:32	3/12/21 17:32	Monongalia County	A0450	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/17/21 8:00	Composite	2/17/21 11:55	2/17/21 12:00	TD	2/18/21		StarCityWWTP-01	Available
A1093		OneStep RT-ddPCR	BRSV	188646.25												SARS-CoV-2 N1			0	SARS-CoV-2 N2			4488.75																													N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1093		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/15/21 23:55	Composite	7/15/21 23:55	7/15/21 0:00	JL			StarCityWWTP-01	Available
A1080		OneStep RT-ddPCR	BRSV	158080												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.40						Josh Lambert		07/09/2021 12:12 PM		A1080	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/28/2021 11:55 PM	Composite	06/28/2021 11:55 PM	06/28/2021 12:00 AM	JL	07/09/2021	6.4	StarCityWWTP-01	Available
A1094		OneStep RT-ddPCR	BRSV	215341.25												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1094		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/18/21 23:55	Composite	7/18/21 23:55	7/18/21 0:00	JL			StarCityWWTP-01	Available
A1058		OneStep RT-ddPCR	BRSV	297112.5												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005			10				0.95	pH - 7.03						Josh Lambert		07/08/2021 11:34 AM		A1058	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/27/2021 11:55 PM	Composite	05/27/2021 11:55 AM	05/27/2021 12:00 AM	JL	05/28/2021	7.03	StarCityWWTP-01	Available
A1007	13279	OneStep RT-ddPCR				3/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		3/19/21 3:00	100				3.6				TD	Human RNase P	49788	Josh Lambert	3/19/21 15:31	3/19/21 15:31	Monongalia County	A1007	3/21/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				TD		Pass	Not Assessed	Not Assessed	Pass	GG	3/16/21 11:59	Composite	3/16/21 11:59	3/16/21 12:01	JL	3/19/21		StarCityWWTP-01	Available
A1083		OneStep RT-ddPCR	BRSV	184513.75												SARS-CoV-2 N1			4275	SARS-CoV-2 N2			8573.75																													N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.49						Josh Lambert		07/09/2021 12:16 PM		A1083	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	07/01/2021 11:55 PM	Composite	07/01/2021 11:55 PM	07/01/2021 12:00 AM	JL	07/09/2021	6.49	StarCityWWTP-01	Available
A1074		OneStep RT-ddPCR	BRSV	206648.75												SARS-CoV-2 N1			0	SARS-CoV-2 N2			10853.75																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.47						Josh Lambert		07/09/2021 11:56 AM		A1074	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/20/2021 11:55 PM	Composite	06/20/2021 11:55 PM	06/20/2021 12:00 AM	JL	06/25/2021	6.47	StarCityWWTP-01	Available
A1042	14297	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	5/7/21 14:30	100				5					Human RNase P	39510	Josh Lambert	5/7/21 15:21	5/7/21 15:21	Monongalia County	A1042		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	5/3/21 23:55	Composite	5/3/21 23:55	5/3/21 0:00	Josh Lambert	5/7/21		StarCityWWTP-01	Available
A1028	8596	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			13152	SARS-CoV-2 N2			26304																													CDC N1/N2/RP Triplex	0.005		4/16/21 11:00	100				8				JL	Human RNase P	39408	Aiyana-Mei Tom	4/16/21 11:18	4/16/21 11:18	Monongalia County	A1028	4/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Fail: Droplet Count Below Threshold	Not Assessed	Not Assessed	Pass	EL	4/13/21 12:00	Composite	4/14/21 12:00	4/13/21 12:00	MVS	4/16/21		StarCityWWTP-01	Available
A02-0013	11125	OneStep RT-ddPCR	BRSV			8/13/21	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	A04	JL	SARS-CoV-2 N1	0	99.9626002	13486.7835	SARS-CoV-2 N2	0	99.96326296	11238.48063																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A04	JL			Eric Lundstrum		8/11/21 9:48	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL		Pass	Pass	Pass	Pass	EL	8/11/21 9:48	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	7.87	CollegePark-02	
A04-0009	18412	OneStep RT-ddPCR	BRSV			8/13/21	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	A05	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	1357.84701																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL			Eric Lundstrum		8/10/21 10:00	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	EL	8/10/21 10:00	Composite	8/10/21 9:00	8/9/21 9:00	JL	8/10/21	7.29	NorthHighSt-02 (MUB)	
A1041	13729	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			10290	SARS-CoV-2 N2			5130																													CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	5/7/21 14:30	100				5					Human RNase P	20580	Josh Lambert	5/7/21 15:03	5/7/21 15:03	Monongalia County	A1041		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	5/2/21 23:55	Composite	5/2/21 23:55	5/2/21 0:00	Josh Lambert	5/7/21		StarCityWWTP-01	Available
A0213	15295	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			59112	SARS-CoV-2 N2			36936																													CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	11088	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0213	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/5/21 0:00	Composite	1/5/21 23:59	1/5/21 0:00	TD	1/8/21		StarCityWWTP-01	Available
A0207	15701	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			3600	SARS-CoV-2 N2			21576																													CDC N1/N2/RP Triplex	0.005		1/4/21 0:00	100				4				MS	Human RNase P	14400	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0207	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	1/3/21 0:00	Composite	1/3/21 23:59	1/3/21 0:00	TD	1/7/21		StarCityWWTP-01	Available
A1101		OneStep RT-ddPCR	BRSV	572493.75												SARS-CoV-2 N1			27336.25	SARS-CoV-2 N2			31896.25																													N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1101		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/26/21 23:55	Composite	7/26/21 23:55	7/26/21 0:00	JL			StarCityWWTP-01	Available
A1046	12846	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		5/14/21 12:00	100				4				MVS	Human RNase P	30792	Mathilda Santee	5/14/21 10:54	5/14/21 10:54	Monongalia County	A1046	5/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	5/14/21 10:53	Composite	5/11/21 11:59	5/11/21 12:00	MVS	5/14/21		StarCityWWTP-01	Available
A1045	14509	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			9720	SARS-CoV-2 N2			9720																													CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	5/7/21 14:30	100				5					Human RNase P	38940	Josh Lambert	5/7/21 15:26	5/7/21 15:26	Monongalia County	A1045		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	5/6/21 23:55	Composite	5/6/21 23:55	5/6/21 0:00	Josh Lambert	5/7/21		StarCityWWTP-01	Available
A02-0016	17093	OneStep RT-ddPCR	None			8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G1	AP000000	A01	JL	SARS-CoV-2 N1	0	99.84027292	72486.44986	SARS-CoV-2 N2	31.54926549	99.85634831	73895.90958																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL			Eric Lundstrum		8/18/21 9:23	WVU Morgantown	Secondary	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL	NaN	Pass	Pass	Pass	Pass	EL	8/18/21 9:23	Composite	8/18/21 9:23	8/16/21 9:28	JL	8/18/21	6.91	Evansdale-01	
A0242	12322	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			41256	SARS-CoV-2 N2			68784																													CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				4				AT	Human RNase P	13752	Timothy Driscoll	2/24/21 10:44	2/24/21 10:44	Monongalia County	A0242	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/15/21 8:00	Composite	2/15/21 11:55	2/15/21 12:00	TD	2/18/21		StarCityWWTP-01	Available
A1086		OneStep RT-ddPCR	BRSV	204725												SARS-CoV-2 N1			4655	SARS-CoV-2 N2			4655																													N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.52						Josh Lambert		07/09/2021 12:21 PM		A1086	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	07/06/2021 11:55 PM	Composite	07/06/2021 11:55 PM	07/06/2021 12:00 AM	JL	07/09/2021	6.52	StarCityWWTP-01	Available
A0206	15486	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			51072	SARS-CoV-2 N2			62016																													CDC N1/N2/RP Triplex	0.005		1/4/21 0:00	100				4				MS	Human RNase P	7296	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0206	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/31/20 0:00	Composite	12/31/20 23:59	12/31/20 0:00	TD	1/7/21		StarCityWWTP-01	Available
A0036	14442	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			14670	SARS-CoV-2 N2			19560																													CDC N1/N2/RP Triplex	0.005		12/13/20 17:00	100				5				MS	Human RNase P	44010	Timothy Driscoll	12/14/20 14:57	12/14/20 14:57	Monongalia County	A0036	12/14/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/8/20 0:00	Composite	12/8/20 11:59	12/8/20 12:00	TD	12/11/20		StarCityWWTP-01	Available
