sbatch_id	sample_id	variant	proportion	aliases	cdc_status	watch_status
SARS_20240104	A01-0715	FL.10.1	0.05132014		NA	5
SARS_20240104	A01-0715	HK.18	0.00328228		NA	5
SARS_20240104	A01-0715	HY.1	0.00102564		NA	5
SARS_20240104	A01-0715	BA.2.10.4	0.00455581		NA	5
SARS_20240104	A01-0715	HV.1.6	0.00581395		NA	5
SARS_20240104	A01-0715	FL.1.2	0.00157978		NA	5
SARS_20240104	A01-0715	FL.1.5	0.00986729		NA	5
SARS_20240104	A01-0715	HK.15	0.00114155		NA	5
SARS_20240104	A01-0715	XBB.1.5.30	0.00141844	HM	NA	5
SARS_20240104	A01-0715	EG.5.1.13	0.00311203		NA	5
SARS_20240104	A01-0715	JF.1	0.0693245		NA	5
SARS_20240104	A01-0715	XBB.2.3.21	0.00336304		NA	5
SARS_20240104	A01-0715	FL.17	0.00244499		NA	5
SARS_20240104	A01-0715	BF.7.17	0.00197586		NA	5
SARS_20240104	A01-0715	XCP	0.00291545	JD.1.1,EG.5.1.10	NA	5
SARS_20240104	A01-0715	FL.1.5.2	0.00569254		NA	5
SARS_20240104	A01-0715	HK.9	0.00137552		NA	5
SARS_20240104	A01-0715	JN.4	0.0083921		NA	5
SARS_20240104	A01-0716	XBB.1.22.2	0.05388767	HU	NA	5
SARS_20240104	A01-0716	EG.5.1.4	0.06080228		NA	5
SARS_20240104	A01-0716	EG.8	0.00143369		NA	5
SARS_20240104	A01-0716	XBB.2.3.16	0.00120192		NA	5
SARS_20240104	A01-0716	FP.1	0.00356506	XCJ	NA	5
SARS_20240104	A01-0716	XBB.2.3.13	0.00337268	JA	NA	5
SARS_20240104	A01-0716	XBB.2	0.03908516		NA	5
SARS_20240104	A01-0716	B.1.1.224	0.00105152		NA	5
SARS_20240104	A01-0716	XBB.1.16.6	0.07177903	JF	VOI	3
SARS_20240104	A01-0716	HK.30	0.00191022		NA	5
SARS_20240104	A01-0716	KB.4	0.06350813		NA	5
SARS_20240104	A01-0716	HU.2	0.00162734		NA	5
SARS_20240104	A01-0716	XBB.2.3.4	0.02146317	GZ	NA	5
SARS_20240104	A01-0716	HK.29	0.00172861		NA	5
SARS_20240104	A01-0716	HK.13.1	0.00136426		NA	5
SARS_20240104	A01-0716	XBB.1.16.10	0.00200401		NA	5
SARS_20240104	A01-0716	KB.3	0.00328947		NA	5
SARS_20240104	A01-0716	XBB	0.01089867	BM.1.1.1,BJ.1	NA	5
SARS_20240104	A01-0716	XBB.1.36	0.00155521		NA	5
SARS_20240104	A01-0716	XCG	0.00190934	BA.5.2*,XBB.1	NA	5
SARS_20240104	A01-0716	JA.1	0.00337268		NA	5
SARS_20240104	A01-0716	FY.4.1.2	0.00211416		NA	5
SARS_20240104	A01-0716	XBB.1.16.29	0.00155521		NA	5
SARS_20240104	A01-0716	XBB.1.31.2	0.00173913		NA	5
SARS_20240104	A01-0716	XBB.2.8	0.03908516		NA	5
SARS_20240104	A01-0716	XBB.1.34.1	0.00143885		NA	5
SARS_20240104	A01-0716	HV.1	0.01672258		VBM	2
SARS_20240104	A01-0716	HK.23	0.00269542		NA	5
SARS_20240104	A01-0716	HK.18	0.00337268		NA	5
SARS_20240104	A01-0716	XBB.1.5.34	0.00111359		NA	5
SARS_20240104	A01-0716	XBB.2.4	0.03908516		NA	5
SARS_20240104	A01-0716	EG.5.1.16	0.00508497		NA	5
SARS_20240104	A01-0716	XBB.1.5.45	0.00159236		NA	5
SARS_20240104	A01-0716	EG.5.1.14	0.00105485		NA	5
SARS_20240104	A01-0716	EG.5.1.6	0.01672258		NA	5
SARS_20240104	A01-0716	EG.5	0.064113		VOI	2
SARS_20240104	A01-0716	XBB.1	0.03484177	XCG,XBV	NA	5
SARS_20240104	A01-0716	JJ.1	0.00206612		NA	5
SARS_20240104	A01-0716	XAD	0.00162075	BA.1*,BA.2*	NA	5
SARS_20240104	A01-0716	XBB.2.3.11	0.02146317	GS	NA	5
SARS_20240104	A01-0716	HV.1.3	0.01672258		NA	5
SARS_20240104	A01-0716	HK.3.9	0.00187264		NA	5
SARS_20240104	A01-0716	HK.9	0.00208333		NA	5
SARS_20240104	A01-0716	XBB.2.3.12	0.02146317	JU	NA	5
SARS_20240104	A01-0716	EG.5.1.12	0.001287		NA	5
SARS_20240104	A01-0716	JF.1	0.181992		NA	5
SARS_20240104	A01-0716	BA.5.11	0.00116414		NA	5
SARS_20240104	A01-0716	HK.3.12	0.0219224		NA	5
SARS_20240104	A01-0716	HK.3.13	0.00195059		NA	5
SARS_20240104	A01-0716	EG.5.1.13	0.0170732		NA	5
SARS_20240104	A01-0716	XBB.1.10	0.00478469		NA	5
SARS_20240104	A01-0716	XBB.1.16.9	0.065008		NA	5
SARS_20240104	A01-0716	HK.3.4	0.00283086		NA	5
SARS_20240104	A01-0716	XBB.1.16.7	0.00113293		NA	5
SARS_20240104	A01-0716	HV.1.2	0.00366032		NA	5
SARS_20240104	A01-0716	XBB.2.3.19	0.00137541	JY	NA	5
SARS_20240104	A01-0716	HV.1.1	0.00366032		NA	5
SARS_20240104	A01-0716	XBB.1.5.57	0.00230947	XBL	NA	5
SARS_20240104	A01-0716	XBB.1.44	0.00603757		NA	5
SARS_20240104	A01-0716	EG.10	0.00135318		NA	5
SARS_20240104	A01-0716	XBB.1.5.44	0.00363196	HC	NA	5
