Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
A02-0013	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	08/10/2021 09:00 AM	08/11/2021 09:00 AM	NA	08/11/2021	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	13486.7835	11238.48063	12362.632065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0021	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	08/18/2021 09:30 AM	08/20/2021 09:30 AM	NA	08/20/2021	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	13107.08508	37150.05934	25128.57221	NA	NA	NA	NA	NA	NA	39011.796996	78484.8652632533	NA	NA	38142.425031	64099.0948886458	NA	NA	37273.053066	52439.8790827439	NA	NA
A02-0124	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	09/22/2021 09:27 AM	09/24/2021 09:27 AM	NA	09/27/2021	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	26387.54725	21987.68735	24187.6173	NA	NA	NA	NA	NA	NA	21202.6066304	46709.6279417982	NA	NA	20719.0540314	45640.5082663083	NA	NA	20235.5014324	44703.3892558244	NA	NA
M03-0028	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	04/11/2022 11:00 AM	04/12/2022 11:00 AM	0.368	04/13/2022	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8468.448445	2822.625926	5645.5371855	11796.810189573	3932.0050776066	7864.40763358979	0.00108128416036416	0.00036040376513351	NA	4069.4273678	5087.99935817274	6808.75188541721	5499.16286363172	2823.8224544	3186.93616685422	5010.09027055445	4382.3503484379	1578.217541	2480.00389624124	3211.42865569169	5477.07101138433
A04-0024	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	02/25/2022 08:00 AM	02/26/2022 08:00 AM	1.579	03/01/2022	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	36269.29946	36269.29946	36269.29946	216787.492643959	216787.492643959	216787.492643959	0.010839374632198	0.010839374632198	NA	154506.614516	306181.844185893	411297.098209539	701385.320613866	144763.578933	253840.133690785	387594.582564657	569548.047044866	135020.54335	212598.03290142	363892.066919775	469934.659027351
A04-0047	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	03/31/2022 08:00 AM	04/01/2022 08:00 AM	0.58	04/05/2022	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	32902.74315	40499.35542	36701.049285	72239.2163095161	88917.8657002449	80578.5410048805	0.0036119608154758	0.00444589328501224	NA	42896.298656	43459.6384756922	97890.986674072	100153.980153966	43269.637457	45845.2641027226	98039.3554924812	103641.795286105	43642.976258	52713.6083503011	98187.7243108904	118953.929898757
A1074	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	06/20/2021 12:00 AM	06/20/2021 11:55 PM	7.122	06/25/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1496	10853.75	6174.875	40331.69626992	292613.735554575	166472.715912248	8.34540975623241e-05	0.000605474539717297	NA	2193.05	2732.38064619637	76072.843245726	78535.2369320822	3098.225	3567.15969994476	103471.30922381	83059.8097632299	4003.4	7301.64277868357	130869.775201894	189025.130338018
A03-0096	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	11/17/2021 06:00 AM	11/17/2021 02:00 PM	NA	11/22/2021	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1389	1008	1198.5	NA	NA	NA	NA	NA	NA	30827.5282704	114912.099497189	NA	NA	29633.3796842	108610.781653673	NA	NA	28439.231098	102330.271973687	NA	NA
Q01-0007	not institution specific	wwtp	WWTP	WWTP	21809	MadisonWWTP-01	05/10/2022 08:00 AM	05/11/2022 08:00 AM	0.546	05/12/2022	24-hr time-weighted composite	Madison	25053	NA	-81.8472888	38.102484	4555	Boone	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	155387.5011	152210.5658	153799.03345	321160.148694267	314593.951245198	317877.049969733	0.00705071676606514	0.0069065631447903	NA	180222.942027	479037.513853412	475416.821047519	1214829.17206053	182264.90455	493364.151476067	480591.698616313	1250220.0261853	184306.867073	507956.623979984	485766.576185108	1286972.15882649
N03-0047	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	02/27/2022 07:30 AM	02/28/2022 07:30 AM	0.64769	03/09/2022	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	31396.54085	31396.54085	31396.54085	76977.1661232443	76977.1661232443	76977.1661232443	0.00415419137200455	0.00415419137200455	NA	143986.924244	268157.916341012	374847.304496451	688492.465286848	155184.81857	282158.172696906	404971.701360523	725392.670507259	166382.712896	296718.515487568	435096.098224595	763709.761685923
C01-0162	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	04/26/2022 07:00 AM	05/27/2022 07:00 AM	7.893	05/03/2022	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	21888.89712	30100.18297	25994.540045	654001.746221123	899340.52483478	776671.135527951	0.00130800349244225	0.00179868104966956	NA	328456.4825076	1284817.92913575	12383257.3626882	48905817.9756559	364496.1176848	1426072.79689029	13744118.5255024	54280865.1132145	400535.752862	1567336.0455193	15104979.6883166	59656126.2369983
A02-0261	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	12/06/2021 09:00 AM	12/08/2021 09:00 AM	NA	12/08/2021	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	12460.0183	14952.46639	13706.242345	NA	NA	NA	NA	NA	NA	42669.40635	115396.133240742	NA	NA	40240.4782441	109403.930676798	NA	NA	37811.5501382	103536.543081061	NA	NA
D01-0066	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	04/27/2022 07:30 AM	04/28/2022 07:30 AM	1.26	05/04/2022	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	177217.0275	153932.7067	165574.8671	845257.276166657	734199.993159251	789728.634662954	0.00497210162450974	0.00431882348917207	NA	197301.275458	409959.619825406	941081.10472241	1999494.2190778	184656.761445	375713.84207292	880444.310656352	1833500.398577	172012.247432	341537.743022983	819807.516590295	1667809.70516943
B01-0160	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	05/09/2022 07:00 AM	05/10/2022 07:00 AM	17.2	05/13/2022	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	28114.54955	24599.19915	26356.87435	1830511.66860753	1601630.53661571	1716071.10261162	0.00366102333721505	0.00320326107323141	NA	36521.83323	53374.0549694068	1785856.2977722	1866920.23699986	33733.184076	54338.7444471252	1735788.58865645	1927829.92400572	30944.534922	56221.5884655274	1685720.87954071	1994977.95322616
A1100	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	07/29/2021 12:00 AM	07/29/2021 11:55 PM	7.981	07/30/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2354	2792	2573	71117.53487234	84350.10933032	77733.82210133	0.000147155965221693	0.000174536726804999	NA	10863.8	18152.1686201665	311244.059756528	570539.725042685	12990.475	19658.4017368852	369074.014567449	611637.710314138	15117.15	22033.2742605835	426903.969378369	672641.917504694
A02-0333	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	02/05/2022 09:00 AM	02/07/2022 09:00 AM	NA	02/07/2022	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2690.704758	10763.85632	6727.280539	NA	NA	NA	NA	NA	NA	150583.8723776	355025.727973508	NA	NA	136593.2263648	350793.772861913	NA	NA	122602.580352	358510.609781131	NA	NA
B01-0139	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	05/02/2022 07:00 AM	05/03/2022 07:00 AM	10.358	05/06/2022	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	44952.02176	44952.02176	44952.02176	1762536.26300842	1762536.26300842	1762536.26300842	0.00352507252601685	0.00352507252601685	NA	49609.184058	51690.5402678024	1918126.00212706	1589018.76099793	54954.176258	65310.093347078	2106910.9988639	2040224.1958751	60299.168458	79203.3373658373	2295695.99560074	2506684.35113099
K01-0008	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	12/16/2021 06:20 AM	12/17/2021 06:28 AM	4.913	12/16/2021	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	63067.37177	28018.22718	45542.799475	1172909.27905923	521075.125217817	846992.202138521	0.00244101827067477	0.00108444354884041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0023	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	11/22/2020 12:00 AM	11/22/2020 11:59 PM	8.214	11/30/2020	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	49394.4	29647.2	39520.8	1535837.74955266	921830.995589328	1228834.37257099	0.00317794601380702	0.00190744701951111	NA	37801.68	46828.6911988844	1125125.05296794	1433356.33714305	36183.42	47162.9457820847	1072404.570116	1410071.16352246	34565.16	49081.2598299016	1019684.08726407	1436833.01497758
A01-0239	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	04/27/2022 12:00 AM	04/28/2022 12:00 AM	9.6	04/29/2022	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	155544.8547	127906.0288	141725.44175	5652490.0649273	4648096.90060616	5150293.48276673	0.011696097634761	0.00961781348412133	NA	80372.198806	81033.462106003	3206155.53466446	3143146.6879493	75407.933943	73844.7726819872	3019070.91856892	2906119.50282969	70443.66908	68731.5265535851	2831986.30247338	2749868.48916983
A03-0013	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	09/29/2021 06:00 AM	09/29/2021 02:00 PM	NA	10/06/2021	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1580.105629	3160.289787	2370.197708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L01-0092	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	04/07/2022 09:00 AM	04/08/2022 09:00 AM	0.399	04/20/2022	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2528.53713	2528.53713	2528.53713	3819.04834517205	3819.04834517205	3819.04834517205	0.000677136231413483	0.000677136231413483	NA	18957.1193066	32823.0727276278	18955.1293284608	39459.5738055838	19604.0449013	33210.1051348639	19069.8415484763	40131.5684112172	20250.970496	33724.5143947191	19184.5537684917	40830.857441148
A02-0212	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	11/06/2021 09:00 AM	11/08/2021 09:00 AM	NA	11/08/2021	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	6587.5	3187.5	4887.5	NA	NA	NA	NA	NA	NA	50160.8863252	168117.125393338	NA	NA	49177.7066877	158196.554581423	NA	NA	48194.5270502	148444.101598203	NA	NA
H01-0061	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	01/02/2022 08:00 AM	01/03/2022 08:00 AM	4.2	01/12/2022	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2721	1729	2225	43260.422562	27488.890338	35374.65645	0.00036050352135	0.00022907408615	NA	226581.7440366	892285.339489513	55737.5196737518	78228.1753552269	250311.1203953	975321.947821205	63439.9257561449	62460.8835208736	274040.496754	1058405.83649229	71142.331838538	65171.9108105237
H01-0096	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	12/18/2021 08:00 AM	12/19/2021 08:00 AM	NA	12/28/2021	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5540.21976	11081.17316	8310.69646	NA	NA	NA	NA	NA	NA	14368.4344536	12123.5176570705	169671.476639477	348084.497947731	15908.9834718	10283.1961247173	174735.308333301	276161.771912086	17449.53249	10795.5299394489	179799.140027125	220325.253219386
P01-0040	not institution specific	wwtp	WWTP	WWTP	7482	StMarysWWTP-01	03/18/2022 10:00 AM	03/19/2022 10:00 AM	0.261	03/23/2022	24-hr time-weighted composite	Saint Marys	26170		-81.20511	39.39125	2892	Pleasants	0.525	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	449	483	466	443.60841249	477.20014083	460.40427666	1.53391567251037e-05	1.65006964325726e-05	NA	21100.2172604	80391.7600001311	24864.9971819201	96145.0039775602	22772.7454923	84704.5768043181	26698.7800047437	101438.12948471	24445.2737242	89056.9575313147	28532.5628275673	106761.000221839
A02-0219	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	11/13/2021 09:00 AM	11/15/2021 09:00 AM	NA	NA	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	50691.7119	24515.41305	37603.562475	NA	NA	NA	NA	NA	NA	425093.929474	1475530.29965123	NA	NA	431009.481148	1482735.60908369	NA	NA	436925.032822	1490467.23284187	NA	NA
A01-0143	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	01/03/2022 12:00 AM	01/04/2022 12:00 AM	12	01/10/2022	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	49742.36213	57400.28165	53571.32189	2259542.82036628	2607403.20192872	2433473.0111475	0.00467543208981601	0.0053952226492483	NA	48634.1310544	95852.6960583311	2443464.98712088	4799122.12217693	52722.1688982	105961.109416508	2648880.97636327	5312196.78534588	56810.206742	116097.943513029	2854296.96560566	5827090.62870293
A0024	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	11/23/2020 12:00 AM	11/23/2020 11:59 PM	7.092	11/30/2020	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	23962.8	7980	15971.4	643308.389328816	214232.0992056	428770.244267208	0.00133112975775703	0.000443287740451912	NA	29293.68	36742.3021700069	926473.90936847	1364649.71322717	25603.38	34499.4521059446	819187.061157972	1318792.63715852	21913.08	34484.1156928891	711900.212947474	1325449.51865044
H01-0174	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	03/31/2022 08:00 AM	04/01/2022 08:00 AM	2.1	04/08/2022	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	19992.66375	31421.32748	25706.995615	158928.901500364	249779.47523774	204354.188369052	0.00132440751250303	0.00208149562698117	NA	6790.8115098	13760.2605507017	50938.6789427634	112339.160049211	7733.9735679	18666.9153774679	56169.2037552715	152964.933049269	8677.135626	23801.7376324991	61399.7285677797	194348.737286465
A03-0232	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	02/02/2022 06:00 AM	02/02/2022 02:00 PM	NA	02/03/2022	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2786.223418	2786.223418	2786.223418	NA	NA	NA	NA	NA	NA	16129.8480616	29832.225437398	NA	NA	14771.2298016	26894.2463893762	NA	NA	13412.6115416	24062.251098049	NA	NA
G01-0158	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	05/06/2022 09:00 AM	05/07/2022 08:00 AM	4.79	05/12/2022	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3532.237401	7064.772611	5298.505006	64046.930876772	128099.261660252	96073.0962685122	0.000784120113574583	0.00156830633766225	NA	10380.4450456	14854.8033120883	59183.006448895	83691.7270066004	8640.4347467	13914.3827945169	56986.3435502899	93597.8578464707	6900.4244478	14416.9727245504	54789.6806516848	114958.616825294
I01-0003	not institution specific	wwtp	WWTP	WWTP	17884	WarmSpringsWWTP-01	10/27/2021 07:00 AM	10/28/2021 07:00 AM	NA	10/29/2021	24-hr flow-weighted composite	Warm Springs	25411		-78.22662	39.62802	3255	Morgan	1.8	Complete	paused	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	105735.9129	102475.8196	104105.86625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A03-0034	k12	upstream	Sewer Network	K-12 School	105612	CheatLakeES-01	09/29/2021 06:00 AM	09/29/2021 02:00 PM	NA	10/06/2021	8-hr time-weighted composite	Cheat Lake Elementary	26508	NA	-79.86761	39.65267	830	Monongalia	-1	Complete	inactive	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7828.973234	17226.23251	12527.602872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G01-0120	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	04/23/2022 09:00 AM	04/24/2022 08:00 AM	1.251	04/28/2022	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	13076.58596	10460.94261	11768.764285	61924.7993128133	49538.2949134154	55731.5471131144	0.000758139070920829	0.000606492347128005	NA	7751.488572	9591.89423027354	37636.0555635506	41598.1675804642	6969.3546281	8616.27944619454	34330.7214014383	37579.7066572068	6187.2206842	7742.51305178569	31025.3872393259	34060.167089605
A02-0479	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	04/27/2022 09:00 AM	04/29/2022 09:00 AM	NA	04/29/2022	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	26034.84672	20247.92802	23141.38737	NA	NA	NA	NA	NA	NA	8834.193394	20550.7636573198	NA	NA	9451.8891865	19429.6159490999	NA	NA	10069.584979	19399.3898021922	NA	NA
N03-0016	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	03/18/2022 07:30 AM	03/19/2022 07:30 AM	0.695	03/23/2022	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	52677.24507	49163.36618	50920.305625	138586.454330998	129341.931090146	133964.192710572	0.00747903153432261	0.00698013659417952	NA	20869.1516874	38457.8730409361	56083.176691438	98702.1521471418	21566.9081334	39318.5631989447	57644.4595323812	100103.580072848	22264.6645794	41156.8140187467	59205.7423733245	104084.891401977
A02-0439	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	04/06/2022 09:00 AM	04/08/2022 09:00 AM	NA	04/08/2022	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2838	128	1483	NA	NA	NA	NA	NA	NA	1863.6331836	2006.51016290987	NA	NA	1503.0331836	1425.47440281837	NA	NA	1142.4331836	1752.93233394556	NA	NA
G01-0105	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	05/02/2022 09:00 AM	05/03/2022 08:00 AM	0.999	05/05/2022	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	13111.76671	3277.557339	8194.6620245	49583.7794088794	12394.4914282974	30989.1354185884	0.000607049209217427	0.000151744508181897	NA	10696.4732884	10689.1842594475	41330.1796688769	45947.6120737799	7268.0973398	6263.82095178474	27738.9243105822	25715.5731631875	3839.7213912	5528.06045984435	14147.6689522876	17981.6275085841
A03-0192	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	01/24/2022 06:00 AM	01/24/2022 02:00 PM	NA	01/25/2022	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	138375.4693	133044.8896	135710.17945	NA	NA	NA	NA	NA	NA	55242.219224	108373.288415944	NA	NA	60680.564046	112818.254009063	NA	NA	66118.908868	119920.146497495	NA	NA
A04-0021	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	02/22/2022 08:00 AM	02/23/2022 08:00 AM	0.685	02/25/2022	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	30472.22022	108137.9905	69305.10536	79014.6452929483	280402.441973744	179708.543633346	0.00395073226464741	0.0140201220986872	NA	167273.582922	331275.225058939	457658.991931874	684336.18733492	175224.835099	355370.616563187	475395.809417161	729045.819756884	183176.087276	386402.577293815	493132.626902447	797397.901240649
A03-0265	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	04/11/2022 06:00 AM	04/11/2022 02:00 PM	NA	NA	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7635.359829	1182	4408.6799145	NA	NA	NA	NA	NA	NA	2503.3459466	5489.22785523898	NA	NA	1949.1099637	2837.26236248814	NA	NA	1394.8739808	1811.58778997507	NA	NA
E01-0025	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	01/11/2022 07:30 AM	01/12/2022 07:30 AM	5.229	01/13/2022	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	58243.15019	354	29298.575095	1152859.60832745	7007.04374706	579933.326037253	0.00320238780090957	1.94640104085e-05	NA	104562.159722	71955.5248696621	1847721.73239197	2773930.09308677	58088.8655841	40174.6885847615	998768.077850517	1494448.94358318	11615.5714462	31406.5752636242	149814.423309067	343951.1639113
N02-0009	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	03/29/2022 07:00 AM	03/30/2022 07:00 AM	8.26	04/07/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7169.51061	4779.537488	5974.524049	224172.576926733	149444.124360238	186808.350643485	0.000845998101467027	0.000563982656654229	NA	7342.038617	15257.3476980794	258303.774015464	516780.675704235	6401.2180192	11695.02270618	228171.225259579	396241.323500656	5460.3974214	8700.86767753574	198038.676503694	305777.407438924
H01-0090	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	12/12/2021 08:00 AM	12/13/2021 08:00 AM	2.2	12/17/2021	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10865.71125	27169.56172	19017.636485	90488.5784502975	226265.447387111	158377.012918705	0.000754071487085813	0.0018855453948926	NA	40742.9097928	99345.560149938	303770.833819864	585241.153350322	40384.4017908	102483.318366356	295634.806199683	580460.940471048	40025.8937888	106874.553217189	287498.778579502	594304.281094635
