Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.far.mean	n1.far.ci	n1.mid.mean	n1.mid.ci	n1.near.mean	n1.near.ci	n1.load.far.mean	n1.load.far.ci	n1.load.mid.mean	n1.load.mid.ci	n1.load.near.mean	n1.load.near.ci	n1n2.far.mean	n1n2.far.ci	n1n2.mid.mean	n1n2.mid.ci	n1n2.near.mean	n1n2.near.ci	n1n2.load.far.mean	n1n2.load.far.ci	n1n2.load.mid.mean	n1n2.load.mid.ci	n1n2.load.near.mean	n1n2.load.near.ci	n2.far.mean	n2.far.ci	n2.mid.mean	n2.mid.ci	n2.near.mean	n2.near.ci	n2.load.far.mean	n2.load.far.ci	n2.load.mid.mean	n2.load.mid.ci	n2.load.near.mean	n2.load.near.ci
C01-0055	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	12/08/2021 07:00 AM	12/09/2021 07:00 AM	126909.2976	171948.6639	6.748	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	126909.2976	171948.6639	149428.98075	3241764.33109065	4392247.50235884	3817005.91672475	109727.581058867	55706.2108717419	93131.4142103	82748.2080647147	66519.4783786	160483.48581477	2501198.85768093	1210646.20022144	2116226.79033156	1772930.06946416	1659513.24083269	3598075.19497132	93797.4659212333	49132.9475907325	85561.88989485	74696.7794703852	69962.5729879	168965.387624705	2149283.63795237	1080996.76059593	1959433.72813072	1625894.13056983	1739147.78151143	3776432.5577975	77867.3507836	47583.7204231681	77992.3655794	71297.0026104859	73405.6675972	177859.113770172	1797368.41822382	1064424.26825808	1802640.66592988	1578605.6521647	1818782.32219017	3962471.1806375
A02-0322	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	01/31/2022 09:00 AM	02/02/2022 09:00 AM	264334.0203	204338.6319	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	264334.0203	204338.6319	234336.3261	NA	NA	NA	1014868.9175	960176.864191108	1376818.35523333	1357055.00046872	1402715.14523333	1672794.80763651	NA	NA	NA	NA	NA	NA	999261.038981111	1088873.28472382	1397777.4837425	1591137.91682874	1453872.42545	1794228.7128058	NA	NA	NA	NA	NA	NA	983653.160462222	1233941.72380237	1418736.61225167	1842430.07503612	1505029.70566667	1916831.17774761	NA	NA	NA	NA	NA	NA
A01-0157	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	01/21/2022 12:00 AM	01/22/2022 12:00 AM	612411.0961	539154.1797	10.5	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	612411.0961	539154.1797	575782.6379	24341384.416523	21429656.0454709	22885520.2309969	271814.204892667	223100.258116797	372992.071001	316542.381995568	601805.60414	581567.220985849	11375270.4399203	8696048.85449996	15717396.5986299	11930103.4106254	24644920.4715448	20812698.2192504	242023.195168333	239751.749378317	330997.695383	358896.138356576	568037.484224	743315.900339045	10262002.1346256	9458175.2965194	14123595.3503361	13873631.9991763	23695201.9204202	27554105.1257697	212232.185444	264692.756402818	289003.319765	411195.163516187	534269.364308	917783.643231586	9148733.82933089	10500845.8755701	12529794.1020423	16103622.1160364	22745483.3692956	34335885.3256271
O01-0021	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	04/08/2022 08:00 AM	04/09/2022 08:00 AM	2951.84451621026	0	2.86	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2951.84451621026	0	1475.92225810513	31957.4734053074	0	15978.7367026537	9133.26043728741	12908.8063024835	4512.34225323424	7374.80765447711	4503.76309733839	9486.41323674228	64114.5004489931	83982.8151857027	34566.5909757241	53217.5095235404	39184.4850066117	85694.1522881006	7697.78859801591	11026.2386421387	4090.77886794694	5054.080893344	3668.6413907446	8179.73009466428	54188.7168531733	71448.4923028379	31681.8179941584	39104.1744458702	33230.8298572362	79369.2709562669	6262.31675874442	9560.71942246039	3669.21548265964	3671.12364795461	2833.51968415081	7385.11339149655	44262.9332573536	62183.0076411906	28797.0450125926	31403.7841256146	27277.1747078607	76454.1141654543
E02-0111	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	04/19/2022 08:00 AM	04/20/2022 08:00 AM	2380.06553146988	2380.06553146988	NA	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2380.06553146988	2380.06553146988	2380.06553146988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C01-0058	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	12/13/2021 07:00 AM	12/14/2021 07:00 AM	208484.6601	74523.52524	8.278	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	208484.6601	74523.52524	141504.09267	6532996.91449171	2335241.16458468	4434119.03953819	101319.799730867	54020.0015069139	82233.6812153	74811.3898821787	75164.331692	66291.6223576307	2417677.60981612	1154215.77578025	2109892.19109964	1669784.13367016	2208919.09953446	1386887.87084002	92254.1359925667	47643.1805802651	84537.47188285	74425.4422743234	84830.230387	77723.7224863797	2245547.88677092	1072809.65717729	2197876.34767345	1711739.95124344	2495701.26489353	1756768.98634509	83188.4722542667	47747.9759590676	86841.2625504	76320.4506973539	94496.129082	90962.4383663752	2073418.16372572	1149805.63367657	2285860.50424726	1815596.58489435	2782483.43025259	2182314.19444648
H01-0113	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	01/29/2022 08:00 AM	01/30/2022 08:00 AM	807351.9158	841661.4854	NA	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	807351.9158	841661.4854	824506.7006	NA	NA	NA	898360.150686667	423781.862066956	841697.53932	584759.995913488	567936.68568	316541.343606015	5024413.59449645	3476720.10722574	6577132.67105728	4825542.39469692	6658858.29871338	9625435.80284494	885030.012583333	414488.862107878	829801.691905	575714.5566731	584762.19499	304770.327995238	5006108.97344079	3482584.70128162	6505704.34623735	4873330.35690111	6323158.9269901	9177525.20501064	871699.87448	414754.497091273	817905.84449	575614.935516489	601587.7043	297243.647762828	4987804.35238514	3521347.45069253	6434276.02141742	4979958.62542563	5987459.55526681	8861623.25263923
A03-0058	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	10/27/2021 06:00 AM	10/27/2021 02:00 PM	0	1684.465921	NA	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	1684.465921	842.2329605	NA	NA	NA	31962.0509286667	51620.6339432953	27432.2684613333	85543.944513904	1722.10640266667	13955.482848478	NA	NA	NA	NA	NA	NA	32618.6442626667	42245.1120429817	24293.5323348333	59359.5627590143	6028.965148	48857.0970915036	NA	NA	NA	NA	NA	NA	33275.2375966667	39180.5061572325	21154.7962083333	37958.5885096952	10335.8238933333	83758.7113345293	NA	NA	NA	NA	NA	NA
H01-0059	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	12/31/2021 08:00 AM	01/01/2022 08:00 AM	1093110.162	1301682.765	NA	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1093110.162	1301682.765	1197396.4635	NA	NA	NA	13099.2427318	8346.3823692558	13021.4005679	13003.5284485826	7894.6611338	20898.5981241104	167498.62933673	154514.607884807	66556.5125049931	45762.4933186199	42519.8521603518	97963.5041641204	15829.3092959	9685.26307289977	16150.78371895	15528.4972711922	10158.1076259	25797.4761124591	166509.715127833	148597.002870179	84438.6657304044	50833.5835035438	54082.2029656449	83345.1552368029	18559.37586	11691.87254241	19280.16687	18782.9700430841	12421.554118	30975.2291843041	165520.800918937	148120.56743761	102320.818955816	63512.9918687367	65644.553770938	82430.5456859665
A02-0410	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	03/19/2022 09:00 AM	03/21/2022 09:00 AM	0	0	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	NA	NA	NA	4600.39270986102	11390.5674270978	6454.7713954582	19786.9154859303	976.247428916393	7911.24417690846	NA	NA	NA	NA	NA	NA	4417.29031408324	10368.5872591043	5734.2574649582	18073.4148090836	976.247428916393	7911.24417690846	NA	NA	NA	NA	NA	NA	4234.18791830546	9496.33499121902	5013.7435344582	16392.8919808677	976.247428916393	7911.24417690846	NA	NA	NA	NA	NA	NA
C01-0078	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	02/14/2022 07:00 AM	02/15/2022 07:00 AM	0	0	9.704	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0311	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	02/14/2022 09:00 AM	02/16/2022 09:00 AM	10598.49853	2649.373272	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10598.49853	2649.373272	6623.935901	NA	NA	NA	76299.6814464444	140558.274941143	45459.2920496667	136221.572977107	5166.63754333333	41869.0282485681	NA	NA	NA	NA	NA	NA	67716.4348200756	130528.776801574	33638.878337	89071.5854865137	4754.856986	33219.0405900774	NA	NA	NA	NA	NA	NA	59133.1881937068	125640.121790651	21818.4646243333	43272.1561935562	4343.07642866667	25075.3510376532	NA	NA	NA	NA	NA	NA
A02-0020	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	08/20/2021 09:18 AM	08/20/2021 09:30 AM	10275.68221	11743.9822	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10275.68221	11743.9822	11009.832205	NA	NA	NA	NA	NA	4146.05852	15260.3792956641	8292.11704	67197.0657272394	NA	NA	NA	NA	NA	NA	NA	NA	4643.65077083333	15460.0276078342	9046.62765	67201.6041739809	NA	NA	NA	NA	NA	NA	NA	NA	5141.24302166667	15712.3253239512	9801.13826	67396.9828096876	NA	NA	NA	NA	NA	NA
A1070	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	06/14/2021 12:00 AM	06/14/2021 11:55 PM	0	0	11.975	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	0	0	0	1805	2152.13151019898	1660.125	2869.47477025481	0	0	53008.1451040208	61551.1760340168	49282.3677718288	82488.0294307157	0	0	1902.375	1973.30381779941	1631.625	2305.9318320714	0	0	55617.3780603383	57452.8525844462	47855.7073093888	67716.9793535991	0	0	1999.75	2003.82405283336	1603.125	2022.17255598809	0	0	58226.6110166558	58840.2781959552	46429.0468469488	59348.0674864617	0	0
M03-0056	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	04/18/2022 11:00 AM	04/19/2022 11:00 AM	0	0	0.418	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	0	0	0	2548.96505922079	2086.316903582	2702.0962452516	3067.3151273322	2263.78204487265	6780.00276174042	2575.55006421814	2489.94297172666	3010.12540383778	3841.79361698001	3734.02925305922	9946.88237041987	2528.24385976419	1776.79236770823	2558.1871366594	2691.06051577697	2202.25167553872	4326.21103221947	2423.95553508937	1916.67911026497	2711.35773399573	2975.97210067472	3337.92155532646	6963.63655611035	2507.52266030759	2189.29200403401	2414.2780280672	3363.08326956889	2140.72130620479	3958.90788925682	2272.36100596061	1897.25075655531	2412.59006415367	2951.75259684954	2941.8138575937	5421.8751227532
A02-0408	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	03/16/2022 09:00 AM	03/18/2022 09:00 AM	0	0	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	NA	NA	NA	17049.0754245556	26325.714660666	4744.27574016667	7640.64057802963	2814.45679266667	13615.9746728861	NA	NA	NA	NA	NA	NA	15207.792727	23455.0985513889	3985.76870883333	3683.21112482131	2330.123596	10269.6242376373	NA	NA	NA	NA	NA	NA	13366.5100294444	21036.0960757193	3227.2616775	4760.81177311036	1845.79039933333	7506.35413766415	NA	NA	NA	NA	NA	NA
H01-0163	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	03/20/2022 08:00 AM	03/21/2022 08:00 AM	37614.3302768468	40750.3813505173	2.1	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	37614.3302768468	40750.3813505173	39182.3558136821	299009.890143885	323939.49224293	311474.691193407	31527.5169386022	27709.207452887	39197.2401067614	42610.2829719007	37251.0211095214	34552.583588358	309791.391087294	287939.756409419	386499.073291718	447168.39092156	331270.533187781	302659.180969655	30273.0053175185	28853.0759432412	38939.7856558207	44167.2175400846	35504.7525744885	37528.7530176072	298957.1993985	300797.495161183	385199.811993403	464472.950748114	315365.736352221	336982.821129967	29018.4936964347	30183.0685958497	38682.33120488	45954.5239701269	33758.4840394557	41657.8313226672	288123.007709706	315151.473562325	383900.550695087	483861.040969405	299460.939516661	382115.99139811
J01-0010	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	03/18/2022 09:00 AM	03/19/2022 09:00 AM	0	0	0.122	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	0	0	0	NA	NA	NA	NA	14698.075594727	25069.3683172172	NA	NA	NA	NA	10546.3413744833	11576.8484490774	NA	NA	NA	NA	13254.4521313996	33587.3812760467	NA	NA	NA	NA	8653.44283049057	14969.6887318465	NA	NA	NA	NA	11810.8286680723	42389.9376151085	NA	NA	NA	NA	6760.54428649786	19659.3676103985
K01-0047	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	03/08/2022 06:31 AM	03/09/2022 06:27 AM	43394.4115787744	10844.3921618164	9.994	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	43394.4115787744	10844.3921618164	27119.4018702954	1641670.80150688	410258.402509415	1025964.60200815	135129.694190736	43676.0730568643	110364.673956104	46040.7868468746	92783.330990207	85597.3780630786	3752411.12997407	1120341.82631826	3348886.60161562	1601095.20583909	2451018.82521723	2164455.13017914	114775.111864478	31494.9547723805	104883.697435218	46657.9496676484	100729.321223435	97627.2796952125	3214220.10977411	930210.834559328	3109182.34155598	1414713.59864485	2639378.0400928	2553703.47903183	94420.529538221	39383.6644606636	99402.7209143315	58387.0378264997	108675.311456663	115031.241122431	2676029.08957415	1197619.72432019	2869478.08149633	1680690.38379081	2827737.25496837	3079400.0623203
G01-0043	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	01/08/2022 09:00 AM	01/09/2022 08:00 AM	44270.94474	6987.040741	0.98	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	44270.94474	6987.040741	25628.9927405	164232.003389679	25919.837613561	95075.9205016198	46566.7202154667	43814.3272462605	20470.5890962	20066.8576031323	5700.047543	10021.2394339395	121188.803920086	99207.5928287128	69804.0181387143	63398.3030829167	29952.8125225278	51784.4876644506	46038.3755361333	45929.609805282	20997.6344327	20928.0904646578	6408.3184536	8614.38050423179	119955.7248587	104274.470386702	71486.7008316499	65709.3288337752	32423.5101003612	35151.5294448638	45510.0308568	49001.7124819197	21524.6797692	23157.9234367956	7116.5893642	12368.9657731005	118722.645797314	112915.128815922	73169.3835245854	75443.2299307947	34894.2076781945	66178.9178954247
A03-0249	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	04/06/2022 06:00 AM	04/06/2022 02:00 PM	0	0	NA	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	NA	NA	NA	3811.43085	8226.90651351611	0	0	0	0	NA	NA	NA	NA	NA	NA	3531.62155138889	7051.52014565935	236.285002916667	869.693167376089	0	0	NA	NA	NA	NA	NA	NA	3251.81225277778	6036.08316361476	472.570005833333	1739.38633475218	0	0	NA	NA	NA	NA	NA	NA
A03-0097	k12	upstream	Sewer Network	K-12 School	105612	MountainviewES-01	12/03/2021 06:00 AM	12/03/2021 02:00 PM	0	0	NA	8-hr time-weighted composite	Mountainview Elementary	26501		-79.94331	39.61036	726	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	NA	NA	NA	1679.58680688889	2972.70016350444	2128.4523885	5042.12849090768	1800.68162266667	14592.2351033487	NA	NA	NA	NA	NA	NA	2160.02558927778	2370.32697918258	2458.14989358333	3303.00067630377	1800.68162266667	14592.2351033487	NA	NA	NA	NA	NA	NA	2640.46437166667	3468.73003864465	2787.84739866667	4900.52829269528	1800.68162266667	14592.2351033487	NA	NA	NA	NA	NA	NA
C01-0029	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	10/27/2021 07:00 AM	10/28/2021 07:00 AM	40494.39162	35208.79164	NA	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	40494.39162	35208.79164	37851.59163	NA	NA	NA	26816.722444	7417.92612966721	26206.991709	8130.68411686635	23551.632254	15921.172340954	699806.908425547	450608.559882384	699806.908425547	450608.559882384	705804.806177049	625706.282386592	29032.6027701	9822.88769600291	26165.18716065	11762.0744774191	19143.1722403	12514.7669286366	850430.954948735	563815.490102505	850430.954948735	563815.490102505	842134.534004001	663617.620628924	31248.4830962	14462.8535760902	26123.3826123	18400.0146916244	14734.7122266	15772.0004498633	1001055.00147192	746816.115933702	1001055.00147192	746816.115933702	978464.261830953	753954.31766211
H01-0125	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	02/06/2022 08:00 AM	02/07/2022 08:00 AM	149732.7778	176527.1553	NA	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	149732.7778	176527.1553	163129.96655	NA	NA	NA	544525.6221382	399654.655035572	352895.7046973	298298.398120653	248388.0865946	607553.059141245	5291504.99555492	3351119.75385598	4875696.88154708	4020311.01176839	3406172.53729076	3542760.99419873	536226.775416533	380835.191427567	359368.2725648	298909.48125406	250884.7509496	613155.516797458	5277019.87325383	3358065.63048161	4735613.47261793	3798237.49750143	3470348.90107987	3471793.93734359	527927.928694867	365710.269472116	365840.8404323	299860.259345786	253381.4153046	618758.874485097	5262534.75095274	3399202.36502503	4595530.06368879	3623701.93074845	3534525.26486899	3408305.188431
A03-0007	k12	upstream	Sewer Network	K-12 School	105612	UniversityHS-01	09/15/2021 06:00 AM	09/15/2021 02:00 PM	5673.436932	17024.17456	NA	8-hr time-weighted composite	University High	26508		-79.92615	39.68782	1310	Monongalia	-1	Complete	inactive	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5673.436932	17024.17456	11348.805746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E01-0013	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	11/30/2021 08:00 AM	12/01/2021 08:00 AM	96136.00463	63284.27866	1.771	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	96136.00463	63284.27866	79710.141645	644492.0363103	424255.343011043	534373.689660671	NA	NA	130808.7719779	190727.182344759	221363.130738	469421.066022756	NA	NA	1572266.38374383	3359691.46843005	1572266.38374383	3359691.46843005	NA	NA	129820.51490895	192659.208073889	216788.819877	481327.879988569	NA	NA	1538882.30679825	3441641.95129663	1538882.30679825	3441641.95129663	NA	NA	128832.25784	194984.537411098	212214.509016	493945.714760197	NA	NA	1505498.22985267	3529275.11588809	1505498.22985267	3529275.11588809
A0036	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	12/08/2020 12:00 PM	12/08/2020 11:59 AM	14670	19560	7.104	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	14670	19560	17115	394499.0772288	525998.7696384	460248.9234336	77194	79744.0294946185	101144.16	122746.44469739	159429.36	295182.959339769	2766813.45133828	3286106.06595959	3686983.22232319	5103142.40483699	6011904.67372254	12558763.6501139	71348.8	76733.7053723782	94362.66	118135.470632717	149248.32	288234.319591189	2575745.14717265	3169455.34723899	3457608.34582901	4924542.40916533	5663345.11996794	12226853.9504972	65503.6	73979.968021185	87581.16	113893.388681004	139067.28	281905.999791355	2384676.84300702	3058711.10215924	3228233.46933483	4754399.07817548	5314785.56621335	11909663.3222511
H01-0156	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	03/13/2022 08:00 AM	03/14/2022 08:00 AM	17355.486843735	10412.4299995601	2.9	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	17355.486843735	10412.4299995601	13883.9584216476	190523.137014114	114304.418269441	152413.777641778	23890.8327697769	27403.7571169338	30157.8403836654	43231.3470144253	38295.944094647	118521.477298366	241048.640183566	290404.255947599	302123.026919035	460290.596756405	412994.274953999	1249780.12687937	22011.4680491936	28373.0299098365	27954.7308885903	45078.6986058842	39206.0708342667	122539.597560611	224504.24337394	301749.318396384	284037.519761896	480821.771756561	421500.104515162	1293676.58859041	20132.1033286102	29614.5142418421	25751.6213935153	47319.97476179	40116.1975738864	126623.851005529	207959.846564313	315005.551466732	265952.012604757	504070.426526261	430005.934076325	1338439.6634235
N03-0037	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	03/03/2022 07:30 AM	03/04/2022 07:30 AM	74817.64376	70538.74925	0.56463	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	74817.64376	70538.74925	72678.196505	159911.943409991	150766.422349005	155339.182879498	114903.103832667	74074.1280785537	121310.274914	103846.79327164	85245.276788	77512.6347270106	706796.686351661	972807.336923734	312035.801258218	266738.879660058	232842.064741577	216620.739121004	108908.421928333	73764.0210589277	124095.6178765	110164.044999386	88133.244131	80568.6418184624	562876.684638657	656454.640959225	320535.575909717	285794.920128941	242102.161012742	231378.713494029	102913.740024	78257.6457704201	126880.960839	117970.942433981	91021.211474	84412.7247140512	418956.682925652	365079.884254656	329035.350561217	307987.678708775	251362.257283907	248091.361071273
A01-0112	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	11/29/2021 12:00 AM	11/29/2021 11:55 PM	159836.1415	76367.32087	6.977	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	159836.1415	76367.32087	118101.731185	4221401.25621551	2016922.46339937	3119161.85980744	150750.184065333	185872.384540078	202445.744166	289591.175904896	258152.682198	779103.014428861	3834049.42664744	4553218.26008227	5001343.06491364	7143770.83440807	6318388.25890696	19377071.8926455	136525.0307292	177507.422598039	184119.2253915	277423.117571274	233894.266221	749295.087852547	3474860.94587244	4356817.94437804	4569369.54274531	6843680.35443497	5731162.05582145	18621154.1119791	122299.877393067	169843.797759544	165792.706617	266348.491585499	209635.850244	719843.363778381	3115672.46509744	4180514.03393395	4137396.02057697	6574564.09134753	5143935.85273594	17875210.771864
A02-0179	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	10/18/2021 09:49 AM	10/20/2021 09:49 AM	0	0	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	NA	NA	NA	20057.5232145556	25842.00930022	15537.9423085	26209.9916109931	11687.6350916667	84938.0883315906	NA	NA	NA	NA	NA	NA	18473.0917476667	18698.5915868773	18168.4831785833	26383.0915052315	15375.2136391667	83820.8202180012	NA	NA	NA	NA	NA	NA	16888.6602807778	16769.0060570155	20799.0240486667	27408.5309381068	19062.7921866667	87752.2369380572	NA	NA	NA	NA	NA	NA
