Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Category	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Flow (MGD)	Sample ID	Sample QC Check	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status: NWSS	Status: WaTCH
C01-0003	18909	OneStep RT-ddPCR	Human RNase P	57.30983257	60891.69711					9/20/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	F7	AP0008	D07	JL	SARS-CoV-2 N1	368.7127686	0	1320.22522	391757.3166	SARS-CoV-2 N2	310.6403351	0	1524.019623	330055.356																																				CDC N1/N2/RP Triplex	0.005	Sample	Water was very dirty with solid matter; water was colored black essentially when unsettled.	9/17/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0013	B03	JL	WWTP	Sample	9/17/21	0.4	2105033	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	F7	EP0012	A07	JL	WheelingWWTP-01	MVC	9/15/21 7:00	Composite	9/15/21 7:00	9/14/21 7:00			Pass	JL	9/17/21	4.81	Ohio	Processing	Complete
A02-0151 c	12328	OneStep RT-ddPCR	Human RNase P		13752					3/11/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				13752	SARS-CoV-2 N2				9168																																				CDC N1/N2/RP Triplex	0.005	Sample	Was A04-0009	2/19/21	100			PEG Precipitation	4				AT	WWTP	Sample	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT	StarCityWWTP-01	GG	2/17/21 8:00	Composite	2/17/21 11:55	2/17/21 12:00	11.943 		Pass	TD	2/18/21		Monongalia	Rejected	Test
A02-0061	14447	OneStep RT-ddPCR	Human RNase P	563.6185837	598844.7452					8/30/21	Manual	DQ	58477036	QX One	CDC nCov-2 Triplex	E3	AP0005	C04	JL	SARS-CoV-2 N1	228.0658913	0	2615.09491	242320.0095	SARS-CoV-2 N2	280.7928276	0	2786.116028	298342.3793																																				CDC N1/N2/RP Triplex	0.005	Sample		8/27/21	10	XXXXXX	Halcyon	Ceres Nanotrap	0.425		CP000000	A03	JL	WVU Morgantown	Sample	8/30/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	E3	EP0006	A03	JL	OaklandE-02	EL	8/30/21 9:46	Grab	8/30/21 9:46	8/30/21 9:46			Pass	JL	8/30/21	8.13	Monongalia	Processing	Complete
A1072	11428	OneStep RT-ddPCR		84.57		BRSV		200853.75		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005	Sample		7/7/21	10			Ceres Nanotrap	0.95	pH - 6.35				WWTP	Sample	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	6/16/21 23:55	Composite	6/16/21 23:55	6/16/21 0:00	9.596 		Pass	JL	6/18/21	6.35	Monongalia	Processing	Complete
E01-0006																																																																			Sample												WWTP	Sample											PrincetonWWTP-01	-	11/9/21 7:50	Composite	11/9/21 7:35	11/8/21 7:35			Pass	JL	11/12/21	6.78	Mercer	Processing	Processing
G01-0061	15110	OneStep RT-ddPCR	Human RNase P	12.4609613418579	13239.771425724	None				2021-11-04	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	F3	AP0016	A03	JL	SARS-CoV-2 N1	120.211563110352	0	1040.98007202148	127724.785804749	SARS-CoV-2 N2	109.257831573486	0	1205.93536376953	116086.446046829																																					0.005	Sample		2021-11-02	10	NT04474	Kookaburra	Nanotrap	0.425		CP0031	C01	JL	WWTP	Sample	2021-11-02	0.4	21108255	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	F3	EP0031	A03	JL	KeyserWWTP-01	KK	10/26/21 8:40	Composite	10/26/21 8:00	10/25/21 9:00			Pass	JL	10/27/21	6.94	Mineral	Processing	Processing
A0028	10501	OneStep RT-ddPCR	Human RNase P		9676.8					12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				9676.8	SARS-CoV-2 N2				9676.8																																				CDC N1/N2/RP Triplex	0.005	Sample		12/4/20	100			PEG Precipitation	3.6				MS	WWTP	Sample	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS	StarCityWWTP-01	GG	11/26/20 0:00	Composite	11/26/20 23:59	11/26/20 0:00			Pass	TD	11/30/20		Monongalia	Processing	Complete
A03-0004	19229	OneStep RT-ddPCR	Human RNase P	14.32316542	15218.36326					10/5/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	NAB_10 F1	AP0011	A04	JL	SARS-CoV-2 N1	0	1355.395355	0	0	SARS-CoV-2 N2	1.591131687	1548.404388	0	1690.577418																																				CDC N1/N2/RP Triplex	0.005	Sample		9/17/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0013	A01	JL	K-12	Sample	9/17/21	0.4	2105033	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	F1	EP0012	A01	JL	NorthES-01	TD	9/16/21 18:00	Composite	9/15/21 14:00	9/15/21 6:00			Pass	TD	9/16/21	7.24	Monongalia	Processing	Complete
B01-0002	17169	OneStep RT-ddPCR	Human RNase P	4.111736417	4368.719943					9/24/21	Manual	DQ	XXXXXX	QX 200	CDC nCov-2 Triplex	H8	AP0009	A08	JL	SARS-CoV-2 N1	32.91402817	0	878.4640503	34971.15493	SARS-CoV-2 N2	38.40417862	0	968.4371185	40804.43978																																				CDC N1/N2/RP Triplex	0.005	Sample		9/24/21	10		Halcyon	Ceres Nanotrap	0.425		CP0016	B02	JL	WWTP	Sample	9/24/21	0.4	XXXXXX	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H8	EP0016	A08	JL	CharlestonWWTP-01	KM	9/17/21 8:00	Composite	9/17/21 7:00	9/16/21 7:00			Pass	JL	9/21/21	6.75	Kanawha	Processing	Complete
G01-0051	11994	OneStep RT-ddPCR	Human RNase P	21.5893197059632	22938.6521875859	None				2021-10-20	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	E5	AP0014	E01	JL	SARS-CoV-2 N1	94.3536567687988	0	2152.00729370118	100250.760316849	SARS-CoV-2 N2	56.9600772857666	0	2493.55224609376	60520.082116127																																					0.005	Sample		2021-10-15	10	NT04474	Halcyon	Nanotrap	0.425		CP0025	A05	JL	WWTP	Sample	2021-10-15	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	E5	EP0025	A05	JL	KeyserWWTP-01	GP	10/12/21 9:00	Composite	10/12/21 9:00	10/11/21 9:00			Pass	JL	10/15/21	7.24	Mineral	Processing	Processing
F01-0012	14950	OneStep RT-ddPCR	Human RNase P	0	0					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	L4	AP0012	D05	JL	SARS-CoV-2 N1	29.09875631	0	1593.187866	30917.42858	SARS-CoV-2 N2	34.92318392	0	2077.493896	37105.88291																																				CDC N1/N2/RP Triplex	0.005	Sample		10/8/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0022	B06	JL	WWTP	Sample	10/8/21	0.4	2108052	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	L4	EP0022	B04	JL	WestonWWTP-01	BP	10/5/21 11:00	Composite	10/5/21 10:00	10/4/21 10:00			Pass	JL	10/8/21	7.16	Lewis	Processing	Complete
A1051	15526	OneStep RT-ddPCR		85.02		BRSV		201922.5		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	3.03			7196.25																																				N1/N2/BRSV Triplex	0.005	Sample			10			Ceres Nanotrap	0.95	pH: 6.74				WWTP	Sample	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	5/18/21 23:55	Composite	5/18/21 23:55	5/18/21 0:00	7.380 		Pass	JL	5/21/21	6.74	Monongalia	Processing	Complete
B01-0022	22988	OneStep RT-ddPCR	Human RNase P	1.395409852	1482.622968					10/14/21	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	D7	AP0013	G03	JL	SARS-CoV-2 N1	20.93752384	0	1707.766876	22246.11908	SARS-CoV-2 N2	27.91973829	0	1836.244965	29664.72194																																				CDC N1/N2/RP Triplex	0.005	Sample		10/13/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0024	D03	JL	WWTP	Sample	10/13/21	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	D7	EP0024	B07	JL	CharlestonWWTP-01	KM	10/12/21 7:30	Composite	10/12/21 7:30	10/11/21 7:00			Pass	JL	10/13/21	6.92	Kanawha	Processing	Complete
G01-0067																																																																			Sample												WWTP	Sample											KeyserWWTP-01	ML	11/3/21 8:20	Composite	11/3/21 8:00	11/2/21 9:00			Pass	JL	11/5/21	6.66	Mineral	Processing	Processing
A0221	13910	OneStep RT-ddPCR	Human RNase P		6084					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				88398	SARS-CoV-2 N2				82296																																				CDC N1/N2/RP Triplex	0.005	Sample		2/5/21	100			PEG Precipitation	3				MS	WWTP	Sample	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS	StarCityWWTP-01	GS	1/17/21 0:00	Composite	1/17/21 23:59	1/17/21 0:00	7.146 		Pass	TD	1/22/21		Monongalia	Processing	Complete
A02-0183		OneStep RT-ddPCR	Human RNase P			None				2021-11-01	OK	ABS	58477038	QX 200	CDC nCov-2 Triplex	A6	AP0015	A06	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-25	10	NT04474	Halcyon	Nanotrap	0.425		CP0028	A06	JL	WVU Morgantown	Sample	2021-10-25	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	A6	EP0028	A06	JL	HonorsSummit-01 (MUB)	EL	10/22/21 10:04	Composite	10/22/21 9:40	10/20/21 9:40			Pass	JL	10/25/21	7.48	Monongalia	Processing	Processing
C01-0037																																																																			Sample												WWTP	Sample											WheelingWWTP-01	GZ	11/11/21 7:00	Composite	11/11/21 7:00	11/10/21 7:00			Pass	JL	11/12/21	6.26	Ohio	Processing	Processing
A02-0077																																																																			Sample		9/3/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0008	B03	JL	WVU Morgantown	Sample	9/3/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	J1	EP0008	A09	JL	HonorsSummit-01 (MUB)	EL	9/3/21 10:11	Grab	9/3/21 10:11	9/3/21 10:11			Pass	JL	9/3/21	8.36	Monongalia	Processing	Confirming
A01-0017	13951	OneStep RT-ddPCR	Human RNase P	18.61194968	19775.19654					9/2/21	Manual	DQ		QX One	BRSV Triplex	H1	AP000000	A03	JL	SARS-CoV-2 N1	175.9004974	0	3138.026123	186894.2785	SARS-CoV-2 N2	189.9719429	0	3336.080627	201845.1893																																				CDC N1/N2/RP Triplex	0.005	Sample		9/2/21	10	 NT04155	Kookaburra	Ceres Nanotrap	0.425		CP0007	C05	JL	WWTP	Sample	9/2/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H1	EP0007	B05	JL	StarCityWWTP-01	JT	8/29/21 23:55	Composite	8/29/21 23:55	8/29/21 0:00	9.281 		Pass	JL	9/1/21	6.91	Monongalia	Processing	Complete
F01-0010	20839	OneStep RT-ddPCR	Human RNase P	12.00466752	12754.95924					10/14/21	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	B8	AP0013	H01	JL	SARS-CoV-2 N1	272.7396393	0	1707.766876	289785.8667	SARS-CoV-2 N2	275.7666779	0	1836.244965	293002.0952																																				CDC N1/N2/RP Triplex	0.005	Sample		10/11/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0023	B04	JL	WWTP	Sample	10/11/21	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	B8	EP0023	A08	JL	WestonWWTP-01	BP	10/8/21 13:30	Composite	10/8/21 10:00	10/7/21 10:00			Pass	JL	10/11/21	6.82	Lewis	Processing	Complete
A1091	12917	OneStep RT-ddPCR		104.06		BRSV		247142.5		7/30/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	1.82			4322.5	SARS-CoV-2 N2	1.82			4322.5																																				N1/N2/BRSV Triplex	0.005	Sample		7/30/21	10			Ceres Nanotrap	0.95					WWTP	Sample	7/30/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	7/13/21 23:55	Composite	7/13/21 23:55	7/13/21 0:00	9.555 		Pass	JL	7/30/21		Monongalia	Processing	Complete
A1067		OneStep RT-ddPCR				BRSV		0		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005	Sample		7/7/21	10			Ceres Nanotrap	0.95	pH - 6.35				WWTP	Sample	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	6/9/21 23:55	Composite	6/9/21 23:55	6/9/21 0:00	6.716 		Pass	JL	6/11/21	6.35	Monongalia	Processing	Complete
A02-0067	9943	OneStep RT-ddPCR	Human RNase P	624.9224854	663980.1407					9/2/21	Manual	DQ		QX One	BRSV Triplex	H4	AP000000	D03	JL	SARS-CoV-2 N1	578.3364487	0	3138.026123	614482.4767	SARS-CoV-2 N2	573.4379578	0	3336.080627	609277.8301																																				CDC N1/N2/RP Triplex	0.005	Sample		9/2/21	10	 NT04155	Kookaburra	Ceres Nanotrap	0.425		CP0007	D02	JL	WVU Morgantown	Sample	9/2/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H4	EP0007	B08	JL	OaklandE-02	EL	9/1/21 9:27	Grab	9/1/21 9:27	9/1/21 9:27			Pass	JL	9/1/21	8.64	Monongalia	Processing	Complete
A02-0103	13638	OneStep RT-ddPCR	Human RNase P	17.25916028	18337.8578					9/20/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	B4	AP0008	B04	JL	SARS-CoV-2 N1	6.902144551	0	1320.22522	7333.528586	SARS-CoV-2 N2	1.725346446	0	1524.019623	1833.180599																																				CDC N1/N2/RP Triplex	0.005	Sample		9/13/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0011	B06	JL	WVU Morgantown	Sample	9/13/21	0.4	2105033	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	B4	EP0011	A12	JL	CollegePark-02	EL	9/13/21 10:13	Composite	9/13/21 9:00	9/11/21 9:00			Pass	JL	9/13/21	7.03	Monongalia	Processing	Complete
A03-0030	15709	OneStep RT-ddPCR	Human RNase P	5.992082953	6366.588138					9/24/21	Manual	DQ	XXXXXX	QX 200	CDC nCov-2 Triplex	I7	AP0009	B07	JL	SARS-CoV-2 N1	14.9830699	0	878.4640503	15919.51177	SARS-CoV-2 N2	32.97535658	0	968.4371185	35036.31637																																				CDC N1/N2/RP Triplex	0.005	Sample		9/24/21	10		Halcyon	Ceres Nanotrap	0.425		CP0016	C03	JL	K-12	Sample	9/24/21	0.4	XXXXXX	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	I7	EP0016	B03	JL	BrookhavenES-01	BL	9/20/21 10:20	Composite	9/17/21 14:00	9/17/21 6:00			Pass	TD	9/21/21	7.94	Monongalia	Processing	Complete
B01-0017	8540	OneStep RT-ddPCR	Human RNase P	0	0	None				2021-10-20	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	F8	AP0014	H02	JL	SARS-CoV-2 N1	13.7800359725952	0	2152.00729370118	14641.2882208824	SARS-CoV-2 N2	16.537013053894	0	2493.55224609376	17570.5763697624																																					0.005	Sample		2021-10-15	10	NT04474	Halcyon	Nanotrap	0.425		CP0025	C04	JL	WWTP	Sample	2021-10-15	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	F8	EP0025	C04	JL	CharlestonWWTP-01	KM	10/14/21 9:55	Composite	10/14/21 7:00	10/13/21 7:00	6.593		Pass	JL	10/15/21	7.09	Kanawha	Processing	Processing
B01-0063																																																																			Sample												WWTP	Sample											CharlestonWWTP-01	-	11/9/21 7:00	Composite	11/9/21 7:00	11/8/21 7:00			Pass	JL	11/15/21	7.06	Kanawha	Processing	Processing
A02-0089	14167	OneStep RT-ddPCR	Human RNase P	114.8793602	122059.3202					9/9/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	L4	AP0007	B04	JL	SARS-CoV-2 N1	149.9542713	0	1303.838043	159326.4133	SARS-CoV-2 N2	68.19400787	0	1366.207123	72456.13337																																				CDC N1/N2/RP Triplex	0.005	Sample		9/8/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0010	A04	JL	WVU Morgantown	Sample	9/8/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	L4	EP0010	A04	JL	NorthHighSt-02 (MUB)	EL	9/8/21 9:55	Composite	9/8/21 8:48	9/6/21 8:48			Pass	JL	9/8/21	7.26	Monongalia	Processing	Complete
A03-0080																																																																			Sample												K-12	Sample											MountainviewES-01	BL	11/11/21 9:40	Composite	11/10/21 14:00	11/10/21 6:00			Pass	JL	11/12/21		Monongalia	Processing	Processing
A1033	11036	OneStep RT-ddPCR	Human RNase P		97296					4/26/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				5112	SARS-CoV-2 N2				5112																																				CDC N1/N2/RP Triplex	0.005	Sample		4/23/21	100			PEG Precipitation	4				MVS	WWTP	Sample	4/26/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS	StarCityWWTP-01	EL	4/23/21 10:56	Composite	4/20/21 11:59	4/20/21 12:00	8.676		Pass	MVS	4/23/21		Monongalia	Processing	Complete
A0043	13397	OneStep RT-ddPCR	Human RNase P		20018.4					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				60100.8	SARS-CoV-2 N2				44072.4																																				CDC N1/N2/RP Triplex	0.005	Sample		12/14/20	100			PEG Precipitation	3.8				AT	WWTP	Sample	12/21/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT	StarCityWWTP-01	GG	12/17/20 0:00	Composite	12/17/20 11:59	12/17/20 12:00			Pass	TD	12/18/20		Monongalia	Processing	Complete
H01-0010	17515	OneStep RT-ddPCR	Human RNase P	1.34342461824417	1427.38865688443	None				2021-10-20	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	E8	AP0014	H01	JL	SARS-CoV-2 N1	18.8149297237396	0	2152.00729370118	19990.8628314733	SARS-CoV-2 N2	18.8149297237396	0	2493.55224609376	19990.8628314733																																					0.005	Sample		2021-10-15	10	NT04474	Halcyon	Nanotrap	0.425		CP0025	B02	JL	WWTP	Sample	2021-10-15	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	E8	EP0025	B02	JL	MoundsvilleWWTP-01	DRC	10/8/21 8:15	Composite	10/8/21 8:00	10/7/21 8:00			Pass	JL	10/15/21	7.07	Marshall	Processing	Processing
H01-0095																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
A1088	12001	OneStep RT-ddPCR		88.39		BRSV		209926.25		7/9/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	3.92			9310	SARS-CoV-2 N2	1.96			4655																																				N1/N2/BRSV Triplex	0.005	Sample		7/9/21	10			Ceres Nanotrap	0.95	pH - 6.54				WWTP	Sample	7/9/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	7/8/21 23:55	Composite	7/8/21 23:55	7/8/21 0:00	8.773 		Pass	JL	7/9/21	6.54	Monongalia	Processing	Complete
A03-0008																																																																			Sample													Sample																									Unknown
J01-0004																																																																															WWTP												AlpineLakeWWTP-01												Preston		
A02-0004	14984	OneStep RT-ddPCR				BRSV	0	0		8/13/21	Manual	DQ		QX 200	BRSV Triplex		AP000000	B08	JL	SARS-CoV-2 N1	0	0	2236.361694	0	SARS-CoV-2 N2	0	0	2276.707153	0																																				CDC N1/N2/RP Triplex	0.005	Sample		8/13/21	10	NT04155	Kookaburra	Ceres Nanotrap	0.425		CP000000	C04	JL	WVU Morgantown	Sample	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C04	JL	NorthHighSt-02 (MUB)	EL	8/12/21 10:05	Composite	8/12/21 9:00	8/11/21 9:00			Pass	JL	8/12/21		Monongalia	Processing	Complete
I01-0048																																																																															WWTP												WarmSpringsWWTP-01	-	11/16/2021 09:00 AM	Composite	11/16/2021 07:00 AM	11/15/2021 07:00 AM			Pass	AJ	11/19/2021	6.77	Morgan		
A1076	11430	OneStep RT-ddPCR		70.1		BRSV		166487.5		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	2.06			4892.5																																				N1/N2/BRSV Triplex	0.005	Sample		7/7/21	10			Ceres Nanotrap	0.95	pH - 6.47				WWTP	Sample	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	6/22/21 23:55	Composite	6/22/21 23:55	6/22/21 0:00	12.985 		Pass	JL	6/25/21	6.47	Monongalia	Processing	Complete
A02-0015	21184	OneStep RT-ddPCR	Human RNase P	21.11307621	22432.64347					8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B04	JL	SARS-CoV-2 N1	99.06197548	0	1714.019012	105253.3469	SARS-CoV-2 N2	72.30753899	0	1783.141785	76826.7622	None																																			CDC N1/N2/RP Triplex	0.005	Sample		8/16/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP000000	B06	JL	WVU Morgantown	Sample	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A12	JL	CollegePark-02	Alexander Brun	8/16/21 10:15	Composite	8/16/21 9:00	8/14/21 9:00			Pass	Josh Lambert	8/16/21	7.18	Monongalia	Processing	Complete
B01-0051	3938	OneStep RT-ddPCR	Human RNase P	0	0	None				2021-11-04	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	K8	AP0016	F08	JL	SARS-CoV-2 N1	0	0	1040.98007202148	0	SARS-CoV-2 N2	0	0	1205.93536376953	0																																					0.005	Sample		2021-11-03	10	NT04474	Halcyon	Nanotrap	0.425		CP0032	D06	JL	WWTP	Sample	2021-11-03	0.4	21108255	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	K8	EP0032	B12	JL	CharlestonWWTP-01	BP	11/2/21 7:15	Composite	11/2/21 7:00	11/1/21 7:00			Pass	JL	11/3/21	7.15	Kanawha	Processing	Processing
A01-0004	18261	OneStep RT-ddPCR	Human RNase P	20.6251359	21914.20689					8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A03	JL	SARS-CoV-2 N1	63.22166443	0	1714.019012	67173.01846	SARS-CoV-2 N2	64.51367378	0	1783.141785	68545.77637	None																																			CDC N1/N2/RP Triplex	0.005	Sample		8/16/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP000000	A03	JL	WWTP	Sample	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	StarCityWWTP-01	GG	8/12/21 23:55	Composite	8/12/21 23:55	8/12/21 0:00	8.144 		Pass	Josh Lambert	8/13/21	6.95	Monongalia	Processing	Complete
A1061	13947	OneStep RT-ddPCR		157.42		BRSV		373872.5		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005	Sample		7/7/21	10			Ceres Nanotrap	0.95	pH - 6.92				WWTP	Sample	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	6/1/21 23:55	Composite	6/1/21 23:55	6/1/21 0:00	7.215 		Pass	JL	6/4/21	6.92	Monongalia	Processing	Complete
J01-0025																																																																															WWTP												AlpineLakeWWTP-01												Preston		
A03-0105		OneStep RT-ddPCR	Human RNase P			None				2021-11-01	CHECK	ABS	58477038	QX 200	CDC nCov-2 Triplex	A8	AP0015	E08	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-28	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0030	B02	LW	K-12	Sample	2021-10-28	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	A8	EP0030	A08	LW	MountainviewES-01	BL	10/15/21 14:45	Composite	11/15/21 14:00	10/15/21 6:00			Pass	JL	10/22/21		Monongalia	Processing	Processing
