Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Category	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Flow (MGD)	Sample ID	Sample QC Check	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status: NWSS	Status: WaTCH
L01-0037																																																																																											WestUnionWWTP-01												Doddridge		
L01-0039																																																																																											WestUnionWWTP-01												Doddridge		
A03-0139																																																																																											SuncrestES-01												Monongalia		
H01-0051																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
A01-0118																																																																																											StarCityWWTP-01												Monongalia		
K01-0017																																																																																											ParkersburgWWTP-01												Wood		
A03-0006	13802	OneStep RT-ddPCR	Human RNase P	22.1726203	23558.40907					9/20/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	F3	AP0008	D03	JL	SARS-CoV-2 N1	164.2309761	0	1320.22522	174495.4121	SARS-CoV-2 N2	93.95037651	0	1524.019623	99822.27504																																				CDC N1/N2/RP Triplex	0.005	Sample		9/17/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0013	A03	JL	K-12	Sample	9/17/21	0.4	2105033	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	F3	EP0012	A03	JL	MorgantownHS-01	TD	9/16/21 16:35	Composite	9/15/21 14:00	9/15/21 6:00			Pass	TD	9/16/21	7.78	Monongalia	Processing	Complete
C01-0007	11797	OneStep RT-ddPCR	Human RNase P	21.95001125	23321.88696					9/29/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	A7	AP0010	C07	JL	SARS-CoV-2 N1	1.994609535	0	1097.667847	2119.272631	SARS-CoV-2 N2	7.97945261	0	1200.682373	8478.168398																																				CDC N1/N2/RP Triplex	0.005	Sample	FLOW 8.098	9/27/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0017	D05	JL	WWTP	Sample	9/27/21	0.4	2105049	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	A7	EP0017	B11	JL	WheelingWWTP-01	MVC	9/22/21 7:00	Composite	9/22/21 7:00	9/21/21 7:00	8.098		Pass	JL	9/24/21	6.59	Ohio	Processing	Complete
A01-0085	16300	OneStep RT-ddPCR	Human RNase P	0	0	None				11/22/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	I1	AP0021	A01	JL	SARS-CoV-2 N1	34.67006207	1109.141006	0	36836.94094	SARS-CoV-2 N2	37.56154299	1229.36615	0	39909.13942																																					0.005	Sample		11/16/21	10	NT04474	Kookaburra	Ceres Nanotrap	0.425		CP0036	A01	AJ	WWTP	Sample	11/16/21	0.4	2108255	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	I1	EP0036	A01	AJ	StarCityWWTP-01	GG	11/9/21 23:55	Composite	11/9/21 23:55	11/9/21 0:00			Pass	JL	11/12/21	6.78	Monongalia	Processing	Complete
A1051	15526	OneStep RT-ddPCR		85.02		BRSV		201922.5		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	3.03			7196.25																																				N1/N2/BRSV Triplex	0.005	Sample			10			Ceres Nanotrap	0.95	pH: 6.74				WWTP	Sample	7/7/21	0.4			Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05				JL	StarCityWWTP-01	EL	5/18/21 23:55	Composite	5/18/21 23:55	5/18/21 0:00	7.38		Pass	JL	5/21/21	6.74	Monongalia	Processing	Complete
B01-0056	15968	OneStep RT-ddPCR	Human RNase P	2.947255075	3131.458517	None				11/22/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	NAB13 K7	AP0021	E01	JL	SARS-CoV-2 N1	4.421021044	1109.141006	0	4697.33486	SARS-CoV-2 N2	10.3170085	1229.36615	0	10961.82153																																				CDC N1/N2/RP Triplex	0.005	Sample		11/3/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0032	D05	JL	WWTP	Sample	11/3/21	0.4	21108255	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	K7	EP0032	B11	JL	CharlestonWWTP-01	-	10/29/21 7:00	Composite	10/29/21 7:00	10/28/21 7:00			Pass	JL	11/3/21	7.12	Kanawha	Processing	Complete
A02-0185	34	OneStep RT-ddPCR	Human RNase P			None				11/1/21	OK	ABS	58477038	QX 200	CDC nCov-2 Triplex	A8	AP0015	A08	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		10/25/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0028	B02	JL	WVU Morgantown	Sample	10/25/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	A8	EP0028	A08	JL	CollegePark-02	EL	10/22/21 10:29	Composite	10/22/21 10:02	10/20/21 10:02			Pass	JL	10/25/21	7.41	Monongalia	Processing	Confirming
A02-0281																																																																																											WVU-Morgantown												Monongalia		
A01-0025																																																																			Sample													Sample																									Unknown
A02-0017	9830	OneStep RT-ddPCR	Human RNase P	62.72422791	66644.49215					8/20/21	Manual	DQ	58477036	QX One	CDC nCov-2 Triplex	B1	AP0005	A01	JL	SARS-CoV-2 N1	105.7108402	0	2615.09491	112317.7677	SARS-CoV-2 N2	75.94480991	0	2786.116028	80691.36053																																				CDC N1/N2/RP Triplex	0.005	Sample		8/27/21	10	NT04155	Kookaburra	Ceres Nanotrap	0.425		CP0005	A01	JL	WVU Morgantown	Sample	8/27/21	0.4	2102028	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	B1	EP0005	A01	JL	OaklandE-02	EL	8/18/21 9:38	Composite	8/18/21 9:38	8/16/21 9:41			Pass	JL	8/18/21	7.15	Monongalia	Processing	Complete
H01-0086																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
A02-0225	12905	OneStep RT-ddPCR	Human RNase P	0	0	None				2021-12-03	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	E5	AP0023	A05	JL	SARS-CoV-2 N1	0	0	1030.21682739258	0	SARS-CoV-2 N2	0	0	1109.43168640137	0																																					0.005			2021-11-29	10	NT04474	Halcyon	Ceres Nanotrap	0.475		CP0040	B01	AJ	WVU Morgantown		2021-11-29	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075	E5	EP0040	A05	AJ	Evansdale-01	CA	11/22/21 9:37	Composite	11/22/21 9:38	11/20/21 9:38			Pass	AJ	11/22/21	7.22	Monongalia	Processing	Complete
A1084	14915	OneStep RT-ddPCR		0		BRSV		0		7/9/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005	Sample		7/9/21	10			Ceres Nanotrap	0.95	pH - 6.48				WWTP	Sample	7/9/21	0.4			Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05				JL	StarCityWWTP-01	EL	7/4/21 23:55	Composite	7/4/21 23:55	7/4/21 0:00	6.306		Pass	JL	7/9/21	6.48	Monongalia	Processing	Complete
A02-0288																																																																																											WVU-Morgantown												Monongalia		
A01-0124																																																																																											StarCityWWTP-01												Monongalia		
A03-0031	17145	OneStep RT-ddPCR	Human RNase P	8.582396507	9118.796289					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	H8	AP0012	H02	JL	SARS-CoV-2 N1	0	0	1593.187866	0	SARS-CoV-2 N2	0	0	2077.493896	0																																				CDC N1/N2/RP Triplex	0.005	Sample		10/7/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0021	B04	JL	K-12	Sample	10/7/21	0.4	2108052	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	H8	EP0021	A08	JL	MountainviewES-01	BL	9/28/21 9:35	Composite	9/27/21 14:00	9/27/21 6:00			Pass	JL	10/6/21	5.3	Monongalia	Processing	Complete
A0104	14007	OneStep RT-ddPCR	Human RNase P		17136					11/10/20	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				13708.8	SARS-CoV-2 N2				13708.8																																				CDC N1/N2/RP Triplex	0.005	Sample		11/9/20	100			PEG Precipitation	3.4				MS	WWTP	Sample	11/10/20	0.2			Qiagen QiaAMP Viral Mini-RNA Kit	0.06				MS	StarCityWWTP-01	GS	11/5/20 0:00	Composite	11/5/20 23:59	11/5/20 0:00	6.009		Pass	TD	11/9/20		Monongalia	Processing	Complete
J01-0001																																																																															WWTP												AlpineLakeWWTP-01												Preston		
A01-0002	15989	OneStep RT-ddPCR	Human RNase P	29.45042133	31291.07267					8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A01	JL	SARS-CoV-2 N1	33.87116671	0	1714.019012	35988.11412	SARS-CoV-2 N2	38.29274178	0	1783.141785	40686.03611																																				CDC N1/N2/RP Triplex	0.005	Sample		8/16/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP000000	A01	JL	WWTP	Sample	8/16/21	0.4	2102028	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		EP000000	A01	JL	StarCityWWTP-01	GG	8/10/21 23:55	Composite	8/10/21 23:55	8/10/21 0:00	8.166		Pass	Josh Lambert	8/13/21	6.9	Monongalia	Processing	Complete
A02-0232	9066	OneStep RT-ddPCR	Human RNase P	2.59548962116242	4623.21588769556	None				2021-12-03	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	E4	AP0023	A04	JL	SARS-CoV-2 N1	0	0	1030.21682739258	0	SARS-CoV-2 N2	10.383677482605	0	1109.43168640137	18495.9255158901																																					0.005			2021-11-29	10	NT04474	Halcyon	Ceres Nanotrap	0.475		CP0040	A04	AJ	WVU Morgantown		2021-11-29	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075	E4	EP0040	A04	AJ	CollegePark-02	CA	11/22/21 10:39	Composite	11/22/21 10:39	11/20/21 10:39			Pass	AJ	11/19/21	7.22	Monongalia	Processing	Complete
A01-0030	16491	OneStep RT-ddPCR	Human RNase P	34.26821947	36409.98319					9/20/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	A2	AP0008	A02	JL	SARS-CoV-2 N1	147.4215889	0	1320.22522	156635.4382	SARS-CoV-2 N2	180.4675293	0	1524.019623	191746.7499																																				CDC N1/N2/RP Triplex	0.005	Sample		9/13/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0011	A02	JL	WWTP	Sample	9/13/21	0.4	2105033	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	A2	EP0011	A02	JL	StarCityWWTP-01	GG	9/8/21 23:55	Composite	9/8/21 23:55	9/8/21 0:00	8.923		Pass	JL	9/13/21	6.76	Monongalia	Processing	Complete
G01-0029																																																																			Sample		11/12/21	10	NT04474	Kookaburra	Ceres Nanotrap	0.425		CP0035	C04	AJ	WWTP	Sample	11/12/21	0.4	2108255	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	H4	EP0035	B04	AJ	KeyserWWTP-01	-	11/10/21 8:30	Composite	11/10/21 8:00	11/9/21 9:00			Pass	JL	11/12/21	7.02	Mineral	Processing	Processing
A02-0227	12846	OneStep RT-ddPCR	Human RNase P	5.49560010433198	9789.03768584134	None				2021-12-03	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	NAB16 A5	AP0023	H01	JL	SARS-CoV-2 N1	154.364070892334	0	1030.21682739258	274961.00127697	SARS-CoV-2 N2	165.428924560547	0	1109.43168640137	294670.271873474																																					0.005	Sample		2021-11-19	10	NT04474	Halcyon	Ceres Nanotrap	0.475		CP0038	C02	AJ	WVU Morgantown	Sample	2021-11-19	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.075	A5	EP0038	B02	AJ	OaklandE-02	EL	11/19/21 10:13	Composite	11/19/21 9:10	11/17/21 9:10						7.31	Monongalia	Processing	Confirming
A02-0190	23	OneStep RT-ddPCR	Human RNase P			None				11/1/21	OK	ABS	58477038	QX 200	CDC nCov-2 Triplex	B7	AP0015	F07	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		10/28/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0030	C03	LW	WVU Morgantown	Sample	10/28/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	B7	EP0030	B07	LW	Evansdale-01	EL	10/27/21 9:25	Composite	10/27/21 9:00	10/25/21 9:00			Pass	JL	10/27/21		Monongalia	Processing	Confirming
C01-0045	11006	OneStep RT-ddPCR	Human RNase P	4.27613139152526	7616.85904115437	None				2021-12-03	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	G3	AP0023	C03	JL	SARS-CoV-2 N1	36.371910572052	0	1030.21682739258	64787.4657064676	SARS-CoV-2 N2	51.3649368286132	0	1109.43168640137	91493.7937259673																																					0.005			2021-11-30	10	NT04474	Halcyon	Ceres Nanotrap	0.475		CP0041	A03	AJ	WWTP		2021-11-30	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075	G3	EP0041	A03	AJ	WheelingWWTP-01	-	11/25/2021 07:00 AM	Composite	11/25/2021 07:00 AM	11/24/2021 07:00 AM			Pass	AJ	11/30/2021	6.62	Ohio	Processing	Complete
K01-0018																																																																																											ParkersburgWWTP-01												Wood		
A03-0190																																																																																											MountainviewES-01												Monongalia		
L01-0048																																																																																											WestUnionWWTP-01												Doddridge		
A1101	12264	OneStep RT-ddPCR		241.05		BRSV		572493.75		7/30/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	11.51			27336.25	SARS-CoV-2 N2	13.43			31896.25																																				N1/N2/BRSV Triplex	0.005	Sample		7/30/21	10			Ceres Nanotrap	0.95					WWTP	Sample	7/30/21	0.4			Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05				JL	StarCityWWTP-01	EL	7/26/21 23:55	Composite	7/26/21 23:55	7/26/21 0:00	8.172		Pass	JL	7/30/21		Monongalia	Processing	Complete
B01-0064	11514	OneStep RT-ddPCR	Human RNase P	2.043636739	3640.227942	None				11/29/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	D6	AP0022	D06	JL	SARS-CoV-2 N1	6.131442785	0	1092.976303	10921.63246	SARS-CoV-2 N2	12.26448417	0	1279.930573	21846.11242																																				CDC N1/N2/RP Triplex	0.005	Sample		2021-11-22	10	NT04474	Halcyon	Ceres Nanotrap	0.475		CP0039	D02	AJ	WWTP	Sample	2021-11-22	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.075	D6	EP0039	B06	AJ	CharlestonWWTP-01	-	11/16/21 7:20	Composite	11/16/21 7:00	11/15/21 7:00			Pass	AJ	11/19/21	6.94	Kanawha	Processing	Complete
A03-0008																																																																			Sample													Sample																									Unknown
G01-0012	17442	OneStep RT-ddPCR	Human RNase P	1.349047422	1433.362886	None				11/4/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	J1	AP0016	E01	JL	SARS-CoV-2 N1	4.047374427	0	1040.980072	4300.335329	SARS-CoV-2 N2	6.74601078	0	1205.935364	7167.636454																																					0.005	Sample		11/3/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0032	B03	JL	WWTP	Sample	11/3/21	0.4	21108255	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	J1	EP0032	A09	JL	KeyserWWTP-01													Processing	Confirming
A01-0022																																																																			Sample													Sample																									Unknown
A1068		OneStep RT-ddPCR				BRSV		0		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005	Sample		7/7/21	10			Ceres Nanotrap	0.95	pH - 6.48				WWTP	Sample	7/7/21	0.4			Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05				JL	StarCityWWTP-01	EL	6/10/21 23:55	Composite	6/10/21 23:55	6/10/21 0:00	6.787		Pass	JL	6/11/21	6.48	Monongalia	Processing	Complete
C01-0015	15510	OneStep RT-ddPCR	Human RNase P	24.53186274	26065.10416					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	A6	AP0012	F06	JL	SARS-CoV-2 N1	16.35140777	0	1593.187866	17373.37075	SARS-CoV-2 N2	29.98725653	0	2077.493896	31861.46006																																				CDC N1/N2/RP Triplex	0.005	Sample	FLOW: 5.913	10/8/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0022	D04	JL	WWTP	Sample	10/8/21	0.4	2108052	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	A6	EP0022	C06	JL	WheelingWWTP-01	MVC	10/6/21 7:05	Composite	10/6/21 7:00	10/5/21 7:00	5.913		Pass	JL	10/8/21	6.55	Ohio	Processing	Complete
A03-0098																																																																															K-12												SuncrestES-01	GZ	12/03/2021 02:21 PM	Composite	12/03/2021 02:00 PM	12/03/2021 06:00 AM							Monongalia		
C01-0001	17369	OneStep RT-ddPCR	Human RNase P	0	0					9/24/21	Manual	DQ	XXXXXX	QX 200	CDC nCov-2 Triplex	H1	AP0009	A01	JL	SARS-CoV-2 N1	13.55068684	0	878.4640503	14397.60476	SARS-CoV-2 N2	8.129475713	0	968.4371185	8637.567945																																				CDC N1/N2/RP Triplex	0.005	Sample	Water was very dirty with solid matter; water was colored black essentially when unsettled.	9/17/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0013	B01	JL	WWTP	Sample	9/17/21	0.4	2105033	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	F5	EP0012	A05	JL	WheelingWWTP-01	MVC	9/13/21 7:00	Composite	9/13/21 7:00	9/12/21 7:00			Pass	JL	9/17/21	6.28	Ohio	Processing	Complete
A02-0318																																																																																											WVU-Morgantown												Monongalia		
A02-0296																																																																																											WVU-Morgantown												Monongalia		
B01-0013	20670	OneStep RT-ddPCR	Human RNase P	0	0					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	L3	AP0012	C05	JL	SARS-CoV-2 N1	44.37372684	0	1593.187866	47147.08477	SARS-CoV-2 N2	15.29424906	0	2077.493896	16250.13962																																				CDC N1/N2/RP Triplex	0.005	Sample		10/8/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0022	B05	JL	WWTP	Sample	10/8/21	0.4	2108052	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	L3	EP0022	B03	JL	CharlestonWWTP-01	KM	10/7/21 8:00	Composite	10/7/21 7:00	10/6/21 7:00			Pass	JL	10/8/21	7.19	Kanawha	Processing	Complete
L01-0042																																																																																											WestUnionWWTP-01												Doddridge		
A03-0028	12669	OneStep RT-ddPCR	Human RNase P	16.72112703	17766.19747					9/24/21	Manual	DQ	XXXXXX	QX 200	CDC nCov-2 Triplex	I5	AP0009	B05	JL	SARS-CoV-2 N1	52.06035614	0	878.4640503	55314.1284	SARS-CoV-2 N2	70.68129063	0	968.4371185	75098.87129																																				CDC N1/N2/RP Triplex	0.005	Sample		9/24/21	10		Halcyon	Ceres Nanotrap	0.425		CP0016	C01	JL	K-12	Sample	9/24/21	0.4	XXXXXX	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	I5	EP0016	B01	JL	MorgantownHS-01	BL	9/20/21 10:00	Composite	9/17/21 14:00	9/17/21 6:00			Pass	TD	9/21/21	7.59	Monongalia	Processing	Complete
A03-0010	11656	OneStep RT-ddPCR	Human RNase P	16.1547637	17164.43643					9/24/21	Manual	DQ	XXXXXX	QX 200	CDC nCov-2 Triplex	I3	AP0009	B03	JL	SARS-CoV-2 N1	2.018738836	0	878.4640503	2144.910013	SARS-CoV-2 N2	2.018738836	0	968.4371185	2144.910013																																				CDC N1/N2/RP Triplex	0.005	Sample		9/24/21	10		Halcyon	Ceres Nanotrap	0.425		CP0016	B05	JL	K-12	Sample	9/24/21	0.4	XXXXXX	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	I3	EP0016	A11	JL	BrookhavenES-01	BL	9/21/21 9:00	Composite	9/20/21 14:00	9/20/21 6:00			Pass	JL	9/21/21	8.02	Monongalia	Processing	Complete
G01-0056	51.7	OneStep RT-ddPCR	Human RNase P			None				11/1/21	OK	ABS	58477038	QX 200	CDC nCov-2 Triplex	B7	AP0015	B07	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		10/25/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0028	C03	JL	WWTP	Sample	10/25/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	B7	EP0028	B07	JL	KeyserWWTP-01	--	10/20/21 8:40	Composite	10/20/21 8:00	10/19/21 9:00			Pass	JL	10/25/21	7.1	Mineral	Processing	Confirming
J01-0018																																																																															WWTP												AlpineLakeWWTP-01												Preston		
A02-0351																																																																																											WVU-Morgantown												Monongalia		
G01-0054	7978	OneStep RT-ddPCR	Human RNase P	0	0	None				10/20/21	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	K7	AP0014	G06	JL	SARS-CoV-2 N1	103.4521294	0	2152.007294	109917.8874	SARS-CoV-2 N2	41.32628918	0	2493.552246	43909.18225																																					0.005	Sample		10/20/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0027	B03	JL	WWTP	Sample	10/20/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	K7	EP0027	A07	JL	KeyserWWTP-01	KK	10/17/21 9:00	Composite	10/17/21 7:30	10/16/21 8:30			Pass	JL	10/20/21		Mineral	Processing	Confirming
G01-0055	7579	OneStep RT-ddPCR	Human RNase P	0	0	None				10/20/21	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	K8	AP0014	H06	JL	SARS-CoV-2 N1	0	0	2152.007294	0	SARS-CoV-2 N2	0	0	2493.552246	0																																					0.005	Sample		10/20/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0027	B04	JL	WWTP	Sample	10/20/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	K8	EP0027	A08	JL	KeyserWWTP-01	ML	10/18/21 9:10	Composite	10/18/21 8:00	10/17/21 9:00			Pass	JL	10/20/21		Mineral	Processing	Confirming
A0050	14694	OneStep RT-ddPCR	Human RNase P		0					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				33642	SARS-CoV-2 N2				33642																																				CDC N1/N2/RP Triplex	0.005	Sample		1/3/21	100			PEG Precipitation	7				MS	WWTP	Sample	2/17/21	0.2			Qiagen QiaAMP Viral Mini-RNA Kit	0.06				MS	StarCityWWTP-01	GG	12/29/20 0:00	Composite	12/29/20 11:59	12/29/20 12:00	10.574		Pass	TD	1/14/21		Monongalia	Processing	Complete
G01-0068	4821	OneStep RT-ddPCR	Human RNase P	4.881114364	5186.184011	None				11/8/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	A3	AP0017	A03	AJ	SARS-CoV-2 N1	4.881114364	0	560.2787018	5186.184011	SARS-CoV-2 N2	0	0	653.7683868	0																																					0.005	Sample		11/5/21	10	NT04474	Kookaburra	Ceres Nanotrap	0.425		CP00033	A03	JL	WWTP	Sample	11/5/21	0.4	21108255	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	A3	EP0033	A03	JL	KeyserWWTP-01	-	11/4/21 8:45	Composite	11/4/21 8:00	11/3/21 9:00			Pass	JL	11/5/21	6.56	Mineral	Processing	Complete
A02-0226	17739	OneStep RT-ddPCR	Human RNase P	2.65299499	4725.647327	None				11/29/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	A4	AP0022	B01	JL	SARS-CoV-2 N1	6.633048654	0	1092.976303	11815.11791	SARS-CoV-2 N2	5.306289196	0	1279.930573	9451.82763																																					0.005	Sample		2021-11-19	10	NT04474	Halcyon	Ceres Nanotrap	0.475		CP0038	C01	AJ	WVU Morgantown	Sample	2021-11-19	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.075	A4	EP0038	B01	AJ	Evansdale-01	EL	11/19/21 10:12	Composite	11/19/21 9:00	11/17/21 9:00						7.31	Monongalia	Processing	Complete
