Sample ID	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
A0027	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Rejected: No NTC	Complete	Composite	11/25/20 0:00	11/25/20 23:59	11/25/20 0:00	GG	7.45	10133	SARS-CoV-2 N1				15891.6	SARS-CoV-2 N2				15891.6					Human RNase P	42362.4		100	PEG Precipitation	3.8	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	11/30/20		12/4/20						MS	12/7/20						MS	12/14/20	OneStep RT-ddPCR	Manual	DQ							
A02-0244	Sample	Sample	WVU Morgantown	Monongalia	OaklandE-02	Pass	Rejected: No Flow	Complete	Composite	12/1/21 9:00	12/3/21 9:00	12/3/21 9:23	GZ		15004	SARS-CoV-2 N1	1.568261385	0	0	2793.465592	SARS-CoV-2 N2	3.136627674	0	0	5587.118044					Human RNase P	212835.8272	119.4867802	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005	Human RNase P																																			AJ	12/1/21	8.39	12/3/21	NT04474	Halcyon		CP0043	B01	AJ	12/3/21	2110258	Halcyon	J7	EP0043	A07	AJ	12/6/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	J7	AP000024	A07	JL	
H01-0011	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Rejected: No Flow	Complete	Composite	10/8/21 8:00	10/9/21 8:00	10/9/21 8:15	DRC		10155	SARS-CoV-2 N1	57.99709797	0	2152.007294	61621.91659	SARS-CoV-2 N2	16.22478247	0	2493.552246	17238.83137	None				Human RNase P	7386.615537	6.952108741	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/15/21	7.1	10/15/21	NT04474	Halcyon		CP0025	B03	JL	10/15/21	2108255	Halcyon	F1	EP0025	B03	JL	10/20/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	F1	AP0014	A02	JL	
A0212	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Rejected: No NTC	Complete	Composite	1/4/21 0:00	1/4/21 23:59	1/4/21 0:00	GS	11.872	16156	SARS-CoV-2 N1				24480	SARS-CoV-2 N2				27960					Human RNase P	6984		100	PEG Precipitation	4	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	1/8/21		2/5/21						MS	2/17/21						MS	2/22/21	OneStep RT-ddPCR	Manual	DQ							
H01-0085	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Submitted 12-16-2021	Complete	Composite	12/6/21 8:00	12/7/21 8:00	12/7/21 8:15		2.4	11744	SARS-CoV-2 N1	14.0288651	0	721.9914246	24988.91596	SARS-CoV-2 N2	6.011345983	0	850.2881622	10707.71003					Human RNase P	35703.01428	20.04379749	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				JL	12/10/21	7.22	12/13/21	NT04474	Halcyon		CP0048	A02	AJ	12/13/21	2108255	Halcyon	H2	EP0048	A02	AJ	12/14/21	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	H2	AP0027	F02	JL	
A01-0127	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01		Processing	Processing																																																																																																
A01-0098	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	11/24/21 0:00	11/24/21 23:55	11/25/21 0:00	-	5.551	9174	SARS-CoV-2 N1	25.66191912	0	1030.216827	45710.29343	SARS-CoV-2 N2	12.82746196	0	1109.431686	22848.91661	None				Human RNase P	4568.78691	2.564933002	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	11/30/21	6.96	11/30/21	NT04474	Halcyon		CP0041	B04	AJ	11/30/21	2108255	Halcyon	H2	EP0041	B02	AJ	12/3/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	H2	AP0023	D02	JL	
K01-0003	Sample	Sample	WWTP	Wood	ParkersburgWWTP-01		Processing	Processing																																																																																																
A02-0185	Sample	Sample	WVU Morgantown	Monongalia	CollegePark-02	Pass	Processing	Confirming	Composite	10/20/21 10:02	10/22/21 10:02	10/22/21 10:29	EL		34	SARS-CoV-2 N1					SARS-CoV-2 N2					None				Human RNase P			10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/25/21	7.41	10/25/21	NT04474	Halcyon		CP0028	B02	JL	10/25/21	2108255	Halcyon	A8	EP0028	A08	JL	11/1/21	OneStep RT-ddPCR	OK	ABS	58477038	QX 200	A8	AP0015	A08	JL	
J01-0015	Sample	Sample	WWTP	Preston	AlpineLakeWWTP-01		Processing	Processing																																																																																																
A0104	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Rejected: No NTC	Complete	Composite	11/5/20 0:00	11/5/20 23:59	11/5/20 0:00	GS	6.009	14007	SARS-CoV-2 N1				13708.8	SARS-CoV-2 N2				13708.8					Human RNase P	17136		100	PEG Precipitation	3.4	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	11/9/20		11/9/20						MS	11/10/20						MS	11/10/20	OneStep RT-ddPCR	Manual	DQ		QX 200					
H01-0006	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Processing	Confirming	Composite	10/3/21 8:00	10/4/21 8:00	10/4/21 8:15	DRC		3500	SARS-CoV-2 N1	0	0	2152.007294	0	SARS-CoV-2 N2	0	0	2493.552246	0	None				Human RNase P	0	0	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/8/21	6.93	10/18/21	NT04474	Halcyon		CP0026	C04	JL	10/18/21	2108255	Halcyon	I4	EP0026	B04	JL	10/20/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	I4	AP0014	D05	JL	
A02-0160	Sample	Sample	WVU Morgantown	Monongalia	Evansdale-01	Pass	Rejected: No Flow	Complete	Composite	10/4/21 10:00	10/6/21 9:00	10/6/21 9:15	BL		15808	SARS-CoV-2 N1	6.049204469	0	1593.187866	6427.279748	SARS-CoV-2 N2	21.1789155	0	2077.493896	22502.59772					Human RNase P	9641.529173	9.074380398	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/6/21	7.46	10/7/21	NT04474	Halcyon		CP0021	D02	JL	10/7/21	2108052	Halcyon	I6	EP0021	B06	JL	10/11/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX One	I6	AP0012	F03	JL	
A1088	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	7/8/21 0:00	7/8/21 23:55	7/8/21 23:55	EL	8.773	12001	SARS-CoV-2 N1	3.92			9310	SARS-CoV-2 N2	1.96			4655	BRSV			209926.25			88.39	10	Ceres Nanotrap	0.95	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	N1/N2/BRSV Triplex	BRSV Triplex	0.005																																				JL	7/9/21	6.54	7/9/21			pH - 6.54				7/9/21						JL	7/9/21	OneStep RT-ddPCR	Manual	DQ							
E02-0007	Sample	Sample	WWTP	Mercer	AthensWWTP-01	Pass	Rejected: No Flow	Complete	Composite	11/10/21 8:00	11/11/21 8:00	11/12/21 8:00	-		11375	SARS-CoV-2 N1	10.34487247	1109.141006	0	10991.427	SARS-CoV-2 N2	6.206377149	1229.36615	0	6594.27572	None				Human RNase P	2197.898645	2.068610489	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/16/21	6.95	11/17/21	NT04474	Halcyon		CP0037	B03	JL	11/17/21	2108255	Halcyon	K7	EP0037	A07	JL	11/22/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	K7	AP0021	C07	JL	
A03-0031	Sample	Sample	K-12	Monongalia	MountainviewES-01	Pass	Rejected: No Flow	Complete	Composite	9/27/21 6:00	9/27/21 14:00	9/28/21 9:35	BL		17145	SARS-CoV-2 N1	0	0	1593.187866	0	SARS-CoV-2 N2	0	0	2077.493896	0					Human RNase P	9118.796289	8.582396507	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/6/21	5.3	10/7/21	NT04474	Halcyon		CP0021	B04	JL	10/7/21	2108052	Halcyon	H8	EP0021	A08	JL	10/11/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX One	H8	AP0012	H02	JL	
A0234	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Rejected: No NTC	Complete	Composite	2/3/21 0:00	2/3/21 23:59	2/3/21 0:00	GS	10.441	18510	SARS-CoV-2 N1				75546	SARS-CoV-2 N2				51516					Human RNase P	17172		100	PEG Precipitation	4.5	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	2/4/21		2/5/21						MS	2/19/21						MS	2/22/21	OneStep RT-ddPCR	Manual	DQ							
H01-0066	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01		Processing	Processing																																																																																																
A1081	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	6/29/21 0:00	6/29/21 23:55	6/29/21 23:55	EL	7.266	12866	SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0	BRSV			139151.25			58.59	10	Ceres Nanotrap	0.95	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	N1/N2/BRSV Triplex	BRSV Triplex	0.005																																				JL	7/9/21	6.47	7/9/21			pH - 6.47				7/9/21						JL	7/9/21	OneStep RT-ddPCR	Manual	DQ							
A0207	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Rejected: No NTC	Complete	Composite	1/3/21 0:00	1/3/21 23:59	1/3/21 0:00	GG	12.379	15701	SARS-CoV-2 N1				3600	SARS-CoV-2 N2				21576					Human RNase P	14400		100	PEG Precipitation	4	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	1/7/21		1/4/21						MS	2/17/21						MS	2/22/21	OneStep RT-ddPCR	Manual	DQ							
A02-0181	Sample	Sample	WVU Morgantown	Monongalia	Evansdale-01	Pass	Processing	Processing	Composite	10/20/21 9:19	10/22/21 9:19	10/22/21 9:19	EL			SARS-CoV-2 N1					SARS-CoV-2 N2					None				Human RNase P			10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/25/21	7.58	10/25/21	NT04474	Halcyon		CP0028	A04	JL	10/25/21	2108255	Halcyon	A4	EP0028	A04	JL	11/1/21	OneStep RT-ddPCR	OK	ABS	58477038	QX 200	A4	AP0015	A04	JL	
A02-0192	Sample	Sample	WVU Morgantown	Monongalia	NorthHighSt-02 (MUB)	Pass	Processing	Confirming	Composite	10/25/21 10:10	10/27/21 10:10	10/27/21 10:10	EL		28	SARS-CoV-2 N1					SARS-CoV-2 N2					None				Human RNase P			10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/27/21	7.08	10/28/21	NT04474	Halcyon		CP0030	C01	JL	10/28/21	2108255	Halcyon	B5	EP0030	B05	JL	11/1/21	OneStep RT-ddPCR	OK	ABS	58477038	QX 200	B5	AP0015	F05	JL	
B01-0030							Processing	Processing																																																																																																
B01-0003	Sample	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Processing	Complete	Composite	9/21/21 7:00	9/22/21 7:00	9/22/21 7:55	KM		8791	SARS-CoV-2 N1	14.28930402	1355.395355	0	15182.38552	SARS-CoV-2 N2	7.143839002	1548.404388	0	7590.328939					Human RNase P	0	0	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	9/24/21	7.08	9/27/21	NT04474	Halcyon		CP0017	B06	JL	9/27/21	2105049	Halcyon	L4	EP0017	A12	JL	10/5/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX One	L4	AP0011	G04	JL	
A03-0005	Sample	Sample	K-12	Monongalia	BrookhavenES-01	Pass	Rejected: No Flow	Complete	Composite	9/15/21 6:00	9/15/21 14:00	9/16/21 17:00	TD		14939	SARS-CoV-2 N1	15.75559974	0	1320.22522	16740.32472	SARS-CoV-2 N2	33.09895277	0	1524.019623	35167.63732					Human RNase P	152751.6717	143.7662792	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	9/16/21	6.71	9/17/21	NT04155	Halcyon		CP0013	A02	JL	9/17/21	2105033	Halcyon	F2	EP0012	A02	JL	9/20/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX 200	F2	AP0008	D02	JL	
A03-0197	Sample	Sample	K-12	Monongalia	NorthES-01		Processing	Processing																																																																																																
A02-0216	Sample	Sample	WVU Morgantown	Monongalia	OaklandE-02	Pass	Rejected: No Flow	Complete	Composite	11/10/21 10:14	11/12/21 10:14	11/12/21 10:14	CA		16604	SARS-CoV-2 N1	29.77778673	0	1092.976303	31638.8984	SARS-CoV-2 N2	73.80446434	0	1279.930573	78417.24336	None				Human RNase P	40685.94441	38.29265356	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	11/12/21	7.43	11/19/21	NT04474	Halcyon		CP0038	A02	AJ	11/19/21	2108255	Halcyon	J2	EP0038	A02	AJ	11/29/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	J2	AP0022	A02	JL	
B01-0018	Sample	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	10/17/21 7:00	10/18/21 7:00	10/18/21 8:15	KM	7.471	12896	SARS-CoV-2 N1	20.07862806	0	2152.007294	21333.54232	SARS-CoV-2 N2	14.60093856	0	2493.552246	15513.49722	None				Human RNase P	5816.433392	5.474290252	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/20/21		10/20/21	NT04474	Halcyon		CP0027	C02	JL	10/20/21	2108255	Halcyon	L2	EP0027	B02	JL	10/20/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	L2	AP0014	B07	JL	
H01-0017	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Processing	Confirming	Composite	10/14/21 8:00	10/15/21 8:00	10/15/21 8:15	DRC			SARS-CoV-2 N1					SARS-CoV-2 N2					None				Human RNase P			10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/25/21	7.1	10/25/21	NT04474	Halcyon		CP0028	C06	JL	10/25/21	2108255	Halcyon	C2	EP0028	C02	JL	11/1/21	OneStep RT-ddPCR	CHECK	ABS	58477038	QX 200	C2	AP0015	C02	JL	
A03-0028	Sample	Sample	K-12	Monongalia	MorgantownHS-01	Pass	Rejected: No Flow	Complete	Composite	9/17/21 6:00	9/17/21 14:00	9/20/21 10:00	BL		12669	SARS-CoV-2 N1	52.06035614	0	878.4640503	55314.1284	SARS-CoV-2 N2	70.68129063	0	968.4371185	75098.87129					Human RNase P	17766.19747	16.72112703	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	9/21/21	7.59	9/24/21		Halcyon		CP0016	C01	JL	9/24/21	XXXXXX	Halcyon	I5	EP0016	B01	JL	9/24/21	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	I5	AP0009	B05	JL	
E02-0021							Processing	Complete							10885	SARS-CoV-2 N1	2.16173559427262	0	368.726463317872	3850.5915272981	SARS-CoV-2 N2	0	0	319.80276107788	0	None				Human RNase P	7701.53660327195	4.32366967201232	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																							2021-12-17	NT04474	Halcyon		CP0051	A04	AJ	2021-12-17	2108255	Halcyon	C4	EP0051	A04	AJ	2021-12-21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	C4	AP0028	E04	JL	
I01-0047	Sample	Sample	WWTP	Morgan	WarmSpringsWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	11/30/21 7:30	12/1/21 7:30	12/1/21 8:00	-	0.38	15031	SARS-CoV-2 N1	7.82826364	0	0	13944.09461	SARS-CoV-2 N2	7.82826364	0	0	13944.09461					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005	Human RNase P																																			AJ	12/3/21	7.24	12/3/21	NT04474	Halcyon		CP0043	D03	AJ	12/3/21	2110258	Halcyon	L5	EP0043	C05	AJ	12/6/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	L5	AP000024	C05	JL	
A02-0310	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
A03-0064	Sample	Sample	K-12	Monongalia	NorthES-01	Pass	Rejected: No Flow	Complete	Composite	11/3/21 6:00	11/3/21 14:00	11/4/21 10:30	BL		14511	SARS-CoV-2 N1	1.621543914	0	1092.976303	1722.890409	SARS-CoV-2 N2	3.243199289	0	1279.930573	3445.899244	None				Human RNase P	12062.72632	11.35315418	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/5/21	7.28	11/15/21	NT04474	Halcyon		CP0035	A02	LW	11/15/21	2108255	Halcyon	C2	EP0035	A02	JL	11/29/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	C2	AP0022	E02	JL	
A03-0081	Sample	Sample	K-12	Monongalia	MountainviewES-01	Pass	Rejected: No Flow	Complete	Composite	11/12/21 6:00	11/12/21 14:00	11/12/21 13:05	BL		17065	SARS-CoV-2 N1	4.136796892	0	1030.216827	7368.669463	SARS-CoV-2 N2	0	0	1109.431686	0	None				Human RNase P	58985.66186	33.11475754	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	11/15/21	5.12	12/2/21	NT04474	Kookaburra		CP0042	B01	LW	12/2/21	2108255	Kookaburra	E7	EP0042	A07	LW	12/3/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	E7	AP0023	E07	JL	
A02-0112	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Rejected: No Flow	Complete	Composite	9/15/21 10:21	9/17/21 10:21	9/17/21 10:21	EL		9707	SARS-CoV-2 N1	119.0749931	0	1320.22522	126517.1802	SARS-CoV-2 N2	38.81541014	0	1524.019623	41241.37327					Human RNase P	20612.18269	19.39970136	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	9/17/21	7.08	9/17/21	NT04155	Halcyon		CP0013	C03	JL	9/17/21	2105033	Halcyon	G3	EP0012	A11	JL	9/20/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX 200	G3	AP0008	E03	JL	
F01-0023	Sample	Sample	WWTP	Lewis	WestonWWTP-01	Pass	Rejected: No Flow	Complete	Composite	11/8/21 10:00	11/9/21 10:00	11/9/21 10:30	BP		17257	SARS-CoV-2 N1	16.4	0	1193.4	17425	SARS-CoV-2 N2	9.6	0	1245	10200					Human RNase P	7225	6.8	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				AJ	11/11/21	7	11/12/21	NT04474	Kookaburra		CP0035	B04	AJ	11/12/21	2108255	Kookaburra	G8	EP0035	A08	AJ	11/18/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	G8	AP0020	D08	JL	
E01-0022							Processing	Complete							12406	SARS-CoV-2 N1	51.264419555664	0	368.726463317872	91314.7473335265	SARS-CoV-2 N2	22.7704000473022	0	319.80276107788	40559.775084257	None				Human RNase P	13515.5638866126	7.58768498897552	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																							2021-12-16	NT04474	Halcyon		CP0050	B05	AJ	2021-12-16	2108355	Halcyon	B2	EP0050	B02	AJ	2021-12-21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	B2	AP0028	D02	JL	
B01-0028	G	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Submitted 12-16-2021	Complete	Composite	12/7/21 7:00	12/8/21 7:00	12/8/21 7:35		7.295	9506	SARS-CoV-2 N1	7.426822782	0	721.9914246	13229.02808	SARS-CoV-2 N2	19.81007218	0	850.2881622	35286.69108					Human RNase P	17639.63275	9.902951717	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				JL	12/10/21	7.15	12/13/21	NT04474	Halcyon		CP0048	A05	AJ	12/13/21	2108255	Halcyon	H5	EP0048	A05	AJ	12/14/21	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	H5	AP0027	F05	JL	
G02-0003	Sample	Sample	WVU Keyser	Mineral	PotomacState-01	Pass	Processing	Confirming	Grab	10/14/21 9:30	10/14/21 9:30	10/14/21 9:30	SC			SARS-CoV-2 N1					SARS-CoV-2 N2					None				Human RNase P			10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/27/21	6.96	10/27/21	NT04474	Kookaburra		CP0029	A02	JL	10/27/21	2108255	Halcyon	D2	EP0029	A02	JL	11/1/21	OneStep RT-ddPCR	CHECK	ABS	58477038	QX 200	D2	AP0015	D02	JL	
A03-0083	Sample	Sample	K-12	Monongalia	MountainviewES-01	Pass	Rejected: No Flow	Complete	Composite	11/17/21 6:00	11/17/21 14:00	11/18/21 9:00	BL		10607	SARS-CoV-2 N1	0	0	1030.216827	0	SARS-CoV-2 N2	0	0	1109.431686	0	None				Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	11/22/21	7.33	12/2/21	NT04474	Kookaburra		CP0042	B03	LW	12/2/21	2108255	Kookaburra	F1	EP0042	B01	LW	12/3/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	F1	AP0023	F01	JL	
