Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A1017	12768	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			5520	SARS-CoV-2 N2			11070																													CDC N1/N2/RP Triplex	0.005		04/09/2021 12:00 PM	100				5				MVS	Human RNase P	33180	Josh Lambert	04/09/2021 12:50 PM	04/09/2021 12:50 PM	Monongalia County	A1017	04/12/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	03/29/2021 11:55 AM	Composite	03/29/2021 11:55 AM	03/29/2021 12:00 PM	Josh Lambert	04/09/2021		StarCityWWTP-01	Available
A0233	17982	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			37704	SARS-CoV-2 N2			34560																													CDC N1/N2/RP Triplex	0.005		02/05/2021 01:00 PM	100				4				MS	Human RNase P	0	Timothy Driscoll	02/12/2021 04:27 PM	02/12/2021 04:27 PM	Monongalia County	A0233	02/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	02/02/2021 12:00 AM	Composite	02/02/2021 11:59 PM	02/02/2021 12:00 AM	TD	02/04/2021		StarCityWWTP-01	Available
A01-0012																																																																				Monongalia County	Primary																	8/22/21 23:59	Composite	8/22/21 23:59	8/22/21 0:00				StarCityWWTP-01	
A1038	9780	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			4338																													CDC N1/N2/RP Triplex	0.005		04/30/2021 11:30 AM	100				3				KED	Human RNase P	38988	Mathilda Santee	04/30/2021 11:08 AM	04/30/2021 11:08 AM	Monongalia County	A1038	05/03/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KED		Pass	Not Assessed	Not Assessed	Pass	EL	04/30/2021 11:08 AM	Composite	04/27/2021 11:59 AM	04/27/2021 12:00 PM	MVS	04/30/2021		StarCityWWTP-01	Available
A1008	11651	OneStep RT-ddPCR		03/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		03/19/2021 03:00 AM	100				3.6				TD	Human RNase P	74217.6	Josh Lambert	03/19/2021 03:33 PM	03/19/2021 03:33 PM	Monongalia County	A1008	03/21/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				TD		Pass	Not Assessed	Not Assessed	Pass	GG	03/17/2021 11:59 AM	Composite	03/17/2021 11:59 AM	03/17/2021 12:01 PM	JL	03/19/2021		StarCityWWTP-01	Available
A0246	13754	OneStep RT-ddPCR		03/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			119184	SARS-CoV-2 N2			49296																													CDC N1/N2/RP Triplex	0.005		11/13/2020 04:30 PM	100				4				MS	Human RNase P	36960	Timothy Driscoll	11/13/2020 05:12 PM	11/13/2020 05:12 PM	Monongalia County	A0246	11/17/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	11/08/2020 12:00 AM	Composite	11/08/2020 11:59 PM	11/08/2020 12:00 AM	TD	11/13/2020		StarCityWWTP-01	Available
A0236	11600	OneStep RT-ddPCR		03/11/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			6090	SARS-CoV-2 N2			48690																													CDC N1/N2/RP Triplex	0.005		02/22/2021 12:00 AM	100				5				AT	Human RNase P	12180	Timothy Driscoll	02/24/2021 10:39 AM	02/24/2021 10:39 AM	Monongalia County	A0236	02/24/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	02/07/2021 08:00 AM	Composite	02/07/2021 11:55 AM	02/07/2021 12:00 PM	TD	02/11/2021		StarCityWWTP-01	Available
A1025	14133	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			59970	SARS-CoV-2 N2			34980																													CDC N1/N2/RP Triplex	0.005		04/09/2021 12:00 PM	100				5				MVS	Human RNase P	24990	Josh Lambert	04/09/2021 12:59 PM	04/09/2021 12:59 PM	Monongalia County	A1025	04/12/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	04/08/2021 11:55 AM	Composite	04/08/2021 11:55 AM	04/08/2021 12:00 PM	Josh Lambert	04/09/2021		StarCityWWTP-01	Available
A0045	18529	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			21336	SARS-CoV-2 N2			10668																													CDC N1/N2/RP Triplex	0.005		01/03/2021 01:00 PM	100				7				MS	Human RNase P	5334	Timothy Driscoll	02/20/2021 04:13 PM	02/20/2021 04:13 PM	Monongalia County	A0045	02/17/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/21/2020 12:00 AM	Composite	12/21/2020 11:59 AM	12/21/2020 12:00 PM	TD	01/07/2021		StarCityWWTP-01	Available
A02-0007																																																																	Eric Lundstrum		8/12/21 9:14	WVU Morgantown	Secondary															Pass	EL	8/12/21 9:14	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/12/21		Evansdale-01	
A02-0031	18646	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I7	AP000002	A07	JL	SARS-CoV-2 N1	0	99.93699063	180.6101026	SARS-CoV-2 N2	0	99.94261999	324.66756																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B01	JL						WVU Morgantown	Tertiary	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A07	JL		Pass	Pass	Pass			8/23/21 9:55	Grab						NorthHighSt-02 (MUB)	
A0104	14007	OneStep RT-ddPCR		11/10/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			13708.8	SARS-CoV-2 N2			13708.8																													CDC N1/N2/RP Triplex	0.005		11/09/2020 05:30 PM	100				3.4				MS	Human RNase P	17136	Timothy Driscoll	11/09/2020 04:56 PM	11/09/2020 04:56 PM	Monongalia County	A0104	11/10/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	11/05/2020 12:00 AM	Composite	11/05/2020 11:59 PM	11/05/2020 12:00 AM	TD	11/09/2020		StarCityWWTP-01	Available
A1041	13729	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			10290	SARS-CoV-2 N2			5130																													CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	05/07/2021 02:30 PM	100				5					Human RNase P	20580	Josh Lambert	05/07/2021 03:03 PM	05/07/2021 03:03 PM	Monongalia County	A1041		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	05/02/2021 11:55 PM	Composite	05/02/2021 11:55 PM	05/02/2021 12:00 AM	Josh Lambert	05/07/2021		StarCityWWTP-01	Available
A1013	12334	OneStep RT-ddPCR		03/30/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			9168	SARS-CoV-2 N2			9168																													CDC N1/N2/RP Triplex	0.005		03/26/2021 11:00 AM	100				4				MVS	Human RNase P	64128	Mathilda Santee	03/26/2021 10:53 AM	03/26/2021 10:53 AM	Monongalia County	A1013	03/29/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	03/26/2021 10:53 AM	Composite	03/23/2021 12:00 PM	03/23/2021 12:00 PM	MVS	03/26/2021		StarCityWWTP-01	Available
A0101	13937	OneStep RT-ddPCR		11/10/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			8517.6	SARS-CoV-2 N2			12776.4																													CDC N1/N2/RP Triplex	0.005		11/09/2020 05:30 PM	100				4.2				MS	Human RNase P	17010	Timothy Driscoll	11/09/2020 04:54 PM	11/09/2020 04:54 PM	Monongalia County	A0101	11/10/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	11/02/2020 12:00 AM	Composite	11/02/2020 11:59 PM	11/02/2020 12:00 AM	TD	11/09/2020		StarCityWWTP-01	Available
A0025	12472	OneStep RT-ddPCR		12/14/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			103305.6	SARS-CoV-2 N2			70675.2																													CDC N1/N2/RP Triplex	0.005		12/04/2020 05:00 PM	100				4.8				MS	Human RNase P	27158.4	Timothy Driscoll	12/07/2020 03:15 PM	12/07/2020 03:15 PM	Monongalia County	A0025	12/07/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/24/2020 12:00 AM	Composite	11/24/2020 11:59 PM	11/24/2020 12:00 AM	TD	11/30/2020		StarCityWWTP-01	Available
A02-0018	18936	OneStep RT-ddPCR	None	8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G3	AP000000	A03	JL	SARS-CoV-2 N1	0	99.84027292	41756.86463	SARS-CoV-2 N2	31.54926549	99.85634831	50849.03944																													Multiplex	0.005		8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A03	JL			Eric Lundstrum		8/18/21 10:07	WVU Morgantown	Tertiary	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL		Pass	Pass	Pass	Pass	EL	8/18/21 10:06	Composite	8/18/21 10:05	8/16/21 10:05	JL	8/18/21	7.02	NorthHighSt-02 (MUB)	
A02-0030	13148	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I6	AP000002	A06	JL	SARS-CoV-2 N1	0	99.93699063	87239.7603	SARS-CoV-2 N2	0	99.94261999	78795.36709																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A06	JL						WVU Morgantown	Tertiary	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A06	JL		Pass	Pass	Pass			8/23/21 9:55	Composite	8/23/21 9:00	8/21/21 9:00				NorthHighSt-02 (MUB)	
A0436	12429	OneStep RT-ddPCR		03/15/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			5670	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005			100				5					Human RNase P	45450	Mathilda Santee	03/08/2021 10:54 AM	03/08/2021 10:54 AM	Monongalia County	A0436		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	03/04/2021 12:00 PM	Composite	03/04/2021 12:00 PM	03/04/2021 12:00 PM				StarCityWWTP-01	Available
A07-0018	19654	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	0																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B04	JL			Josh Lambert		8/13/21 12:24	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B04	JL	NaN	Pass	Pass	Pass	Pass	EL	8/11/21 9:00	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	NaN	TowersBB-01	
A02-0032	3664	OneStep RT-ddPCR	None	8/23/21	CHECK	DQ	58477037	QX 200	CDC nCov-2 Triplex	I8	AP000002	A08	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	0																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B02	JL						WVU Morgantown	Tertiary	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A08	JL		Fail: Droplet Counts Below Threshold	Pass	Pass			8/23/21 10:11	Grab						CollegePark-02	
A06-0017	17517	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A08	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	1427.22571																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B02	JL			Eric Lundstrum		8/11/21 9:35	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B02	JL	NaN	Pass	Pass	Pass	Pass	EL	8/11/21 9:35	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	7.55	NorthHighSt-02 (MUB)	
A1028	8596	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			13152	SARS-CoV-2 N2			26304																													CDC N1/N2/RP Triplex	0.005		04/16/2021 11:00 AM	100				8				JL	Human RNase P	39408	Aiyana-Mei Tom	04/16/2021 11:18 AM	04/16/2021 11:18 AM	Monongalia County	A1028	04/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Fail: Droplet Count Below Threshold	Not Assessed	Not Assessed	Pass	EL	04/13/2021 12:00 PM	Composite	04/14/2021 12:00 PM	04/13/2021 12:00 PM	MVS	04/16/2021		StarCityWWTP-01	Available
A02-0015	21184	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B04	JL	SARS-CoV-2 N1	0	99.94874319	105253.3469	SARS-CoV-2 N2	0	99.95073014	76826.7622	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B06	JL			Eric Lundstrum		8/16/21 10:33	WVU Morgantown	Tertiary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A12	JL		Pass	Pass	Pass	Pass	Alexander Brun	8/16/21 10:15	Composite	8/16/21 9:00	8/14/21 9:00	Josh Lambert	8/16/21	7.18	CollegePark-02	
A1043	12654	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	05/07/2021 11:55 PM	100				5					Human RNase P	39060	Josh Lambert	05/07/2021 03:23 PM	05/07/2021 03:23 PM	Monongalia County	A1043		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	05/04/2021 11:55 PM	Composite	05/04/2021 11:55 PM	05/04/2021 12:00 AM	Josh Lambert	05/07/2021		StarCityWWTP-01	Available
A0023	12579	OneStep RT-ddPCR		12/14/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			49394.4	SARS-CoV-2 N2			29647.2																													CDC N1/N2/RP Triplex	0.005		12/04/2020 05:00 PM	100				4.4				MS	Human RNase P	24684	Timothy Driscoll	12/07/2020 03:15 PM	12/07/2020 03:15 PM	Monongalia County	A0023	12/07/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/22/2020 12:00 AM	Composite	11/22/2020 11:59 PM	11/22/2020 12:00 AM	TD	11/30/2020		StarCityWWTP-01	Available
A01-0010	18269	OneStep RT-ddPCR	None	8/20/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H6	AP000000	A06	JL	SARS-CoV-2 N1	0	99.91557173	48257.43274	SARS-CoV-2 N2	0	99.91831254	52743.32898																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	6.99	CP000000	A06	JL						Monongalia County	Primary	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H6	EP000000	A06	JL		Pass	Pass	Pass			8/19/21 23:59	Composite	8/19/21 23:59	8/19/21 0:01				StarCityWWTP-01	
A1006	10779	OneStep RT-ddPCR		03/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		03/19/2021 03:00 AM	100				4.2				TD	Human RNase P	55036.8	Josh Lambert	03/19/2021 03:30 PM	03/19/2021 03:30 PM	Monongalia County	A1006	03/21/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				TD		Pass	Not Assessed	Not Assessed	Pass	GG	03/15/2021 11:59 AM	Composite	03/15/2021 11:59 AM	03/15/2021 12:01 PM	JL	03/19/2021		StarCityWWTP-01	Available
A1027	12104	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			9336	SARS-CoV-2 N2			4656																													CDC N1/N2/RP Triplex	0.005		04/16/2021 11:00 AM	100				4				JL	Human RNase P	42000	Aiyana-Mei Tom	04/16/2021 11:18 AM	04/16/2021 11:18 AM	Monongalia County	A1027	04/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Pass	Not Assessed	Not Assessed	Pass	EL	04/12/2021 12:00 PM	Composite	04/13/2021 12:00 PM	04/12/2021 12:00 PM	MVS	04/16/2021		StarCityWWTP-01	Available
A1023	10840	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			32580	SARS-CoV-2 N2			26040																													CDC N1/N2/RP Triplex	0.005		04/09/2021 12:00 PM	100				5				MVS	Human RNase P	26040	Josh Lambert	04/09/2021 12:57 PM	04/09/2021 12:57 PM	Monongalia County	A1023	04/12/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	04/06/2021 11:55 AM	Composite	04/06/2021 11:55 AM	04/06/2021 12:00 PM	Josh Lambert	04/09/2021		StarCityWWTP-01	Available
A0207	15701	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			3600	SARS-CoV-2 N2			21576																													CDC N1/N2/RP Triplex	0.005		01/04/2021 12:00 AM	100				4				MS	Human RNase P	14400	Timothy Driscoll	02/20/2021 04:13 PM	02/20/2021 04:13 PM	Monongalia County	A0207	02/17/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	01/03/2021 12:00 AM	Composite	01/03/2021 11:59 PM	01/03/2021 12:00 AM	TD	01/07/2021		StarCityWWTP-01	Available
A0214	16742	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			131712	SARS-CoV-2 N2			101280																													CDC N1/N2/RP Triplex	0.005		02/05/2021 01:00 PM	100				4				MS	Human RNase P	3384	Timothy Driscoll	02/12/2021 04:27 PM	02/12/2021 04:27 PM	Monongalia County	A0214	02/17/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	01/06/2021 12:00 AM	Composite	01/06/2021 11:59 PM	01/06/2021 12:00 AM	TD	01/08/2021		StarCityWWTP-01	Available
A1002	10921	OneStep RT-ddPCR		03/16/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			25860	SARS-CoV-2 N2			19380																													CDC N1/N2/RP Triplex	0.005		03/12/2021 11:00 AM	100				5				AHT	Human RNase P	38790	Mathilda Santee	03/12/2021 11:01 AM	03/12/2021 11:01 AM	Monongalia County	A1002	03/15/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AHT		Pass	Not Assessed	Not Assessed	Pass	EL	03/09/2021 12:00 PM	Composite	03/09/2021 12:00 PM	03/09/2021 12:00 PM	MVS	03/12/2021		StarCityWWTP-01	Available
A0027	10133	OneStep RT-ddPCR		12/14/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			15891.6	SARS-CoV-2 N2			15891.6																													CDC N1/N2/RP Triplex	0.005		12/04/2020 05:00 PM	100				3.8				MS	Human RNase P	42362.4	Timothy Driscoll	12/07/2020 03:15 PM	12/07/2020 03:15 PM	Monongalia County	A0027	12/07/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/25/2020 12:00 AM	Composite	11/25/2020 11:59 PM	11/25/2020 12:00 AM	TD	11/30/2020		StarCityWWTP-01	Available
A1035	9076	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			10878	SARS-CoV-2 N2			10878																													CDC N1/N2/RP Triplex	0.005		04/23/2021 11:00 AM	100				7				MVS	Human RNase P	43554	Mathilda Santee	04/23/2021 10:59 AM	04/23/2021 10:59 AM	Monongalia County	A1035	04/26/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	04/23/2021 10:58 AM	Composite	04/22/2021 11:59 AM	04/22/2021 12:00 PM	MVS	04/23/2021		StarCityWWTP-01	Available
A0450	12328	OneStep RT-ddPCR		03/11/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			13752	SARS-CoV-2 N2			9168																													CDC N1/N2/RP Triplex	0.005		02/19/2021 01:00 PM	100				4				AT	Human RNase P	13752	Timothy Driscoll	03/12/2021 05:32 PM	03/12/2021 05:32 PM	Monongalia County	A0450	02/24/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	02/17/2021 08:00 AM	Composite	02/17/2021 11:55 AM	02/17/2021 12:00 PM	TD	02/18/2021		StarCityWWTP-01	Available
A0047	17534	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			53163	SARS-CoV-2 N2			79761																													CDC N1/N2/RP Triplex	0.005		01/03/2021 01:00 PM	100				5.5				MS	Human RNase P	8844	Timothy Driscoll	02/20/2021 04:13 PM	02/20/2021 04:13 PM	Monongalia County	A0047	02/17/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/23/2020 12:00 AM	Composite	12/23/2020 11:59 AM	12/23/2020 12:00 PM	TD	01/07/2021		StarCityWWTP-01	Available
A0048	16737	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			35424	SARS-CoV-2 N2			50616																													CDC N1/N2/RP Triplex	0.005		01/03/2021 01:00 PM	100				6				MS	Human RNase P	10116	Timothy Driscoll	02/20/2021 04:13 PM	02/20/2021 04:13 PM	Monongalia County	A0048	02/17/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/24/2020 12:00 AM	Composite	12/24/2020 11:59 AM	12/24/2020 12:00 PM	TD	01/07/2021		StarCityWWTP-01	Available
A1019	12779	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			16560	SARS-CoV-2 N2			11040																													CDC N1/N2/RP Triplex	0.005		04/09/2021 12:00 PM	100				5				MVS	Human RNase P	16560	Josh Lambert	04/09/2021 12:52 PM	04/09/2021 12:52 PM	Monongalia County	A1019	04/12/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	03/31/2021 12:00 PM	Composite	03/31/2021 12:00 PM	03/31/2021 12:00 PM	Josh Lambert	04/09/2021		StarCityWWTP-01	Available
A0224	13877	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			44784	SARS-CoV-2 N2			44784																													CDC N1/N2/RP Triplex	0.005		02/05/2021 01:00 PM	100				4				MS	Human RNase P	4080	Timothy Driscoll	02/12/2021 04:27 PM	02/12/2021 04:27 PM	Monongalia County	A0224	02/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	01/20/2021 12:00 AM	Composite	01/20/2021 11:59 PM	01/20/2021 12:00 AM	TD	01/22/2021		StarCityWWTP-01	Available
A1009	14514	OneStep RT-ddPCR		03/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			30639	SARS-CoV-2 N2			34062																													CDC N1/N2/RP Triplex	0.005		03/19/2021 03:00 AM	100				3.5				TD	Human RNase P	115878	Josh Lambert	03/19/2021 03:34 PM	03/19/2021 03:34 PM	Monongalia County	A1009	03/21/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				TD		Pass	Not Assessed	Not Assessed	Pass	GG	03/18/2021 11:59 AM	Composite	03/18/2021 11:59 AM	03/18/2021 12:01 PM	JL	03/19/2021		StarCityWWTP-01	Available
