Sample ID	Replicate (Bio.Tech)	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
D01-0066	1.1	D01-0066	Sample	WWTP	Jefferson	CharlesTownWWTP-01	Pass	Processing	Complete	Composite	04/27/2022 07:30 AM	04/28/2022 07:30 AM	04/28/2022 07:30 AM		1.26	14457	SARS-CoV-2 N1	99.49026108	0	22.27260351	177217.0275	SARS-CoV-2 N2	86.41836166	0	33.4168148	153932.7067	BRSV	0		0				10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	05/04/2022	7.23	5/4/22	NT04473	Kookaburra		CP000135	A06	AJ	5/4/22	2108255	Halcyon	L6	EP000135	D06	AJ	5/5/22	OneStep RT-ddPCR	Manual	DQ	60394497	QX 200	L6	AP0076	D06	JL	
E02-0001	1.1	Sample	Sample	WWTP	Mercer	AthensWWTP-01	Pass	Rejected: No Flow	Complete	Grab	11/02/2021 08:00 AM	11/03/2021 08:00 AM	11/03/2021 08:00 AM	-		12931	SARS-CoV-2 N1	9	0	1193.4	9562.5	SARS-CoV-2 N2	3.6	0	1245	3825					Human RNase P	9562.5	9	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/08/2021	6.22	11/11/21	NT04474	Kookaburra		CP0034	B03	JL	11/11/21	2108255	Kookaburra	D7	EP0034	A07	JL	11/18/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	D7	AP0020	B07	JL	
F01-0014	1.1	Sample	Sample	WWTP	Lewis	WestonWWTP-01	Pass	Processing	Complete	Composite	07/18/2022 10:00 AM	07/19/2022 10:00 AM	07/19/2022 10:30 AM		1	19226	SARS-CoV-2 N1	1.2238647788763	1.21238760650158	102.893466949463	2180.00913737342	SARS-CoV-2 N2	0	0	133.849449157715	0					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/01/2022		2022-08-01	NT04473	Halcyon		CP000200	A01	AJ	2022-08-01	2108255	Kookaburra	G1	EP000200	D01	AJ	2022-08-04	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	G1	AP0105	A04	JL	
J01-0013	1.1	J01-0013	Sample	WWTP	Preston	AlpineLakeWWTP-01	Pass	Processing	Complete	Composite	03/23/2022 07:30 AM	03/24/2022 07:30 AM	03/24/2022 07:30 AM		0.131	14442	SARS-CoV-2 N1	4.888212681	0	465.9441757	8707.128838	SARS-CoV-2 N2	3.258695602	0	440.8116531	5804.551542					Human RNase P	2902.175174	1.629291326	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	03/30/2022	7.33	3/30/22	NT04473	Kookaburra		CP000108	A02	AJ	3/30/22	2110258	Halcyon	E2	EP000108	D02	AJ	3/31/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	E2	AP0059	D02	JL	
G01-0113	1.1	G01-0113	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	04/18/2022 08:00 AM	04/19/2022 08:00 AM	04/19/2022 08:00 AM		1.75	17870	SARS-CoV-2 N1	2.633545399	0	72.49384403	4691.002741	SARS-CoV-2 N2	2.633545399	0	81.57130241	4691.002741					Human RNase P	4691.002741	2.633545399	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	04/21/2022	7.26	4/21/22	NT04473	Kookaburra		CP000125	B06	AJ	4/21/22	2108255	Kookaburra	H4	EP000125	B04	AJ	4/25/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	H4	AP0069	B04	JL	
A04-0057	1.1	A04-0057	Sample	WWTP	Monongalia	CheatLakeWWTP-01	Pass	Processing	Complete	Composite	04/14/2022 08:00 AM	04/15/2022 08:00 AM	04/15/2022 08:00 AM		0.649	12554	SARS-CoV-2 N1	5.623440146	0	89.94384766	10016.75276	SARS-CoV-2 N2	3.748810887	0	80.80342293	6677.569393					Human RNase P	10016.75276	5.623440146	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	04/19/2022	7.12	4/19/22	NT04473	Halcyon		CP0122	C01	AJ	4/19/22	2108255	Kookaburra	K5	EP0122	B05	AJ	4/20/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	K5	AP0067	B05	JL	
O01-096	1.1	Sample						Processing	Processing																																																																																																
G01-0185	1.1	G01-0185	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	06/20/2022 09:00 AM	06/21/2022 08:00 AM	06/21/2022 08:33 AM		0.557	18810	SARS-CoV-2 N1	120.393800735474	0	138.630743026733	214451.457560062	SARS-CoV-2 N2	107.823991775513	0	177.208061218262	192061.485350132					Human RNase P	2228.22327632457	1.2509323656559	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/24/2022	7.07	2022-06-24	NT04473	Halcyon		CP000174	B04	AJ	2022-06-24	2108255	Halcyon	L2	EP000175	B02	AJ	2022-06-28	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	L2	AP0094	B02	JL	
N03-0090	1.1	N03-0090	Sample	WWTP	Harrison	SalemWWTP-01	Pass	Processing	Complete	Composite	05/23/2022 07:30 AM	05/24/2022 07:30 AM	05/24/2022 07:30 AM		0.51654	20182	SARS-CoV-2 N1	3.4978437423706	0	11.750670671463	6230.53416609763	SARS-CoV-2 N2	2.33183816075326	0	14.3627274036407	4153.58672384174					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/25/2022	6.77	2022-05-25	NT04473	Halcyon		CP000151	B06	AJ	2022-05-25	2108255	Kookaburra	H4	EP000152	B04	AJ	2022-05-26	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	H4	AP0085	D02	JL	
D01-0100	1.1	D01-0100	Sample	WWTP	Jefferson	CharlesTownWWTP-01	Pass	Processing	Complete	Composite	05/24/2022 07:25 AM	05/25/2022 07:25 AM	05/25/2022 07:25 AM		1.27	19525	SARS-CoV-2 N1	334.97844696045	-20	10.7513880729675	596680.358648302	SARS-CoV-2 N2	10.8483242988586	-20	2.68738627433776	19323.577657342					Human RNase P	581441.709995271	326.423416137696	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	05/27/2022	6.96	2022-05-27	NT04473	Kookaburra		CP000155	D05	AJ	2022-05-27	2108255	Halcyon	H7	EP000155	F07	AJ	2022-06-01	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	H7	AP000000	G06	JL	
E01-0137	1.1	G	Sample	WWTP	Mercer	PrincetonWWTP-01	Pass	Processing	Complete	Composite	07/06/2022 08:15 AM	07/07/2022 08:15 AM	07/07/2022 08:16 AM		2.68	19310	SARS-CoV-2 N1	155.261793136597	0	227.09909439087	276560.069024563	SARS-CoV-2 N2	151.582355499268	0	258.021278381348	270006.07073307					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	07/14/2022		2022-07-15	NT04473	Halcyon		CP000188	A05	AJ	2022-07-15	2108255	Halcyon	L5	EP000189	A05	AJ	2022-07-18	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	L5	AP0100	E01	JL	
C01-0201	1.1	C01-0201	Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Processing	Complete	Composite	06/13/2022 07:00 AM	06/14/2022 07:00 AM	06/14/2022 07:00 AM		12.421	18732	SARS-CoV-2 N1	79.2681694030762	0	151.550321578979	141196.426749229	SARS-CoV-2 N2	81.7889976501464	0	193.529663085938	145686.652064323					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/22/2022	6.91	2022-06-22	NT04473	Halcyon		CP000172	B01	AJ	2022-06-22	2108255	Halcyon	C7	EP000173	A07	AJ	2022-06-23	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	C7	AP0093	G01	JL	
C01-0095	1.1	C01-0095	Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Processing	Complete	Composite	03/09/2022 07:00 AM	03/10/2022 07:00 AM	03/10/2022 07:00 AM		16.564	13885	SARS-CoV-2 N1	6.779344678	0	413.2713318	12075.70771	SARS-CoV-2 N2	0	0	476.7289734	0					Human RNase P	9056.455102	5.084325671	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	03/15/2022	6.9	3/15/22	NT04473	Kookaburra		CP000096	D02	AJ	3/15/22	2110258	Kookaburra	H6	EP000096	B06	AJ	3/18/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	H6	AP000054	C06	JL	
A03-0226	1.1	Sample	Sample	K-12	Monongalia	NorthES-01	Pass	Processing	Complete	Composite	01/31/2022 06:00 AM	01/31/2022 02:00 PM	02/01/2022 09:40 AM	GZ		15992	SARS-CoV-2 N1	1.471369863	0	288.2053566	2620.877568	SARS-CoV-2 N2	1.471369863	0	352.25811	2620.877568					Human RNase P	94455.00702	53.02737236	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	02/01/2022	8.62	2/1/22	NT04474	Kookaburra		CP000069	D05	AJ	2/1/22	2108255	Kookaburra	L7	EP000069	C07	AJ	2/7/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	L7	AP0041	D07	JL	
A01-0133	1.1	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Processing	Complete	Composite	12/23/2021 12:00 AM	12/23/2021 11:59 PM	12/23/2021 11:59 PM		6.3	11129	SARS-CoV-2 N1	19.03588653	0	35.78905106	33907.67287	SARS-CoV-2 N2	16.92002773	0	33.90405893	30138.7994					Human RNase P	7532.668272	4.228866398	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	12/28/2021	7.13	1/3/21	NT04474	Halcyon		CP0054	A03	JL	1/3/22	2108255	Halcyon	I3	EP0054	A03	JL	1/12/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	I3	AP0032	A03	JL	
B01-0189	1.1	B01-0189	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Processing	Complete	Composite	07/11/2022 07:00 AM	07/12/2022 07:00 AM	07/12/2022 07:00 AM		10.4	21055	SARS-CoV-2 N1	168.228168487549	0	227.09909439087	299656.425118446	SARS-CoV-2 N2	180.612354278564	0	258.021278381348	321715.756058693					Human RNase P	1990.632195957	1.11754789948463	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	07/15/2022	7.26	2022-07-15	NT04473	Kookaburra		CP000189	D05	AJ	2022-07-15	2108255	Halcyon	E7	EP000189	F07	AJ	2022-07-18	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	E7	AP0100	G06	JL	
D01-0083	1.1	D01-0083	Sample	WWTP	Jefferson	CharlesTownWWTP-01	Pass	Processing	Complete	Composite	05/11/2022 07:40 AM	05/12/2022 07:40 AM	05/12/2022 07:40 AM		1.33	11133	SARS-CoV-2 N1	48.6604023	0	14.88143802	86676.34159	SARS-CoV-2 N2	52.8965044	0	11.16019487	94221.89847					Human RNase P	7529.961448	4.227346778	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/13/2022	6.73	5/13/22	NT04473	Kookaburra		CP000143	B06	AJ	5/13/22	2108255	Halcyon	K4	EP000143	E04	AJ	5/16/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	K4	AP0080	E04	JL	
A03-0343	1.1	A03-0343	Sample	K-12	Monongalia	MorgantownHS-01	Pass	Processing	Complete	Composite	05/16/2022 06:00 AM	05/16/2022 02:00 PM	05/17/2022 10:38 AM	Gz		16885	SARS-CoV-2 N1	0	0	9.5756447315216	0	SARS-CoV-2 N2	1.39355093240738	0	10.9439122676849	2482.26259835065					Human RNase P	17378.9272271097	9.7565907239914	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/17/2022	6.9	2022-05-17	NT04473	Kookaburra		CP000144	B04	AJ	2022-05-17	2108255	Kookaburra	B2	EP000144	B02	AJ	2022-05-18	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	B2	AP0081	B02	JL	
D01-0015	1.1	G	Sample	WWTP	Jefferson	CharlesTownWWTP-01	Pass	Processing	Complete	Composite	02/14/2022 07:40 AM	02/15/2022 07:40 AM	02/15/2022 07:45 AM	RS	1.31	12047	SARS-CoV-2 N1	56.70918465	0	207.9195595	101013.2352	SARS-CoV-2 N2	15.63026667	0	249.3927956	27841.4125					Human RNase P	6958.619356	3.906593323	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	02/16/2022		2/16/22	NT04473	Halcyon		CP000079	C06	AJ	2/16/22	2108255	Halcyon	D2	EP000079	C02	AJ	2/22/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	D2	AP0047	H04	JL	
N02-0003	1.1	N02-0003	Sample	WWTP	Harrison	ClarksburgWWTP-01	Pass	Processing	Complete	Composite	03/15/2022 07:00 AM	03/16/2022 07:00 AM	03/16/2022 07:00 AM		12.36	13509	SARS-CoV-2 N1	6.968064308	0	267.0924187	12411.86455	SARS-CoV-2 N2	10.45287132	0	255.2447891	18619.17704					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	03/23/2022	7.1	3/25/22	NT04473	Halcyon		CP000103	A02	AJ	3/25/22	2110258	Kookaburra	C2	EP000104	A02	AJ	3/29/22	OneStep RT-ddPCR	Manual	DQ	58477040	QX 200	C2	AP0057	C02	JL	
P01-0009	1.1	P01-0009	Sample	WWTP	Pleasants	StMarysWWTP-01	Pass	Processing	Complete	Composite	02/10/2022 11:30 AM	02/11/2022 11:20 AM	02/11/2022 11:24 AM		0.284	16604	SARS-CoV-2 N1	11.33947492	0	207.9195595	20198.43969	SARS-CoV-2 N2	9.921742082	0	249.3927956	17673.10308					Human RNase P	5048.697917	2.834356725	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	02/17/2022	7.14	2/18/22	NT04473	Kookaburra		CP0080	A03	AJ	2/18/22	2108255	Halcyon	E3	EP0081	A03	AJ	2/22/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	E3	AP0047	A03	JL	
A02-0316	1.1	Sample	Sample	WVU Morgantown	Monongalia	OaklandE-02	Pass	Processing	Complete	Composite	01/31/2022 09:00 AM	02/02/2022 09:00 AM	02/02/2022 10:12 AM	GZ		11650	SARS-CoV-2 N1	40.42855263	0	458.9422607	72013.35937	SARS-CoV-2 N2	30.31490088	0	522.8712845	53998.41718					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	02/02/2022	7.27	2/7/22	NT04474	Kookaburra		CP000072	C01	AJ	2/7/22	2108255	Kookaburra	G5	EP000072	B05	AJ	2/10/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	G5	AP0042	D05	JL	
M04-0056	1.1	M04-0056	Sample	WWTP	Marion	FarmingtonWWTP-01	Pass	Processing	Complete	Composite	05/05/2022 11:00 AM	05/06/2022 11:00 AM	05/06/2022 11:00 AM		0.137	18579	SARS-CoV-2 N1	1.26648604869843	0	10.0329482555389	2255.92827424407	SARS-CoV-2 N2	2.53304034471512	0	15.7679808139801	4511.97811402381					Human RNase P	2255.92827424407	1.26648604869843	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/18/2022	7.39	2022-05-18	NT04473	Halcyon		CP000145	A04	AJ	2022-05-18	2108255	Halcyon	D4	EP000146	A04	AJ	2022-05-19	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	D4	AP0082	D01	JL	
A03-0097	1.1	Sample	Sample	K-12	Monongalia	MountainviewES-01	Pass	Rejected: No Flow	Complete	Composite	12/03/2021 06:00 AM	12/03/2021 02:00 PM	12/03/2021 01:09 PM	GZ		17136	SARS-CoV-2 N1	0	0	721.9914246	0	SARS-CoV-2 N2	0	0	850.2881622	0					Human RNase P	4891.947918	2.746356726	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	12/14/2021	8.12	12/9/21	NT04474	Kookaburra		CP0046	A05	LW	12/9/21	2110258	Kookaburra	H5	EP0046	A05	LW	12/14/21	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	H5	AP0027	A05	JL	
A1083	1.1	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Processing	Complete	Composite	07/01/2021 12:00 AM	07/01/2021 11:55 PM	07/01/2021 11:55 PM	EL	8.588	13044	SARS-CoV-2 N1	1.8			4275	SARS-CoV-2 N2	3.61			8573.75	BRSV			184513.75			77.69	10	Ceres Nanotrap	0.95	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	N1/N2/BRSV Triplex	BRSV Triplex	0.005																																				JL	07/09/2021	6.49	7/9/21			pH - 6.49				7/9/21						JL	7/9/21	OneStep RT-ddPCR	Manual	DQ							
Q01-0003	1.1	Q01-0003	Sample	WWTP	Boone	MadisonWWTP-01	Pass	Processing	Complete	Composite	05/06/2022 08:00 AM	05/07/2022 07:00 AM	05/07/2022 08:00 AM		1.16	13455	SARS-CoV-2 N1	10.4948318	0	14.88143802	18693.91914	SARS-CoV-2 N2	15.74400306	0	11.16019487	28044.00545					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/12/2022	6.97	5/13/22	NT0473	Halcyon		CP000142	B06	AJ	5/13/22	2108255	Halcyon	H4	EP000143	B04	AJ	5/16/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	H4	AP0080	B04	JL	
K01-0092	1.1	K01-0092	Sample	WWTP	Wood	ParkersburgWWTP-01	Pass	Processing	Complete	Composite	05/26/2022 06:59 AM	05/27/2022 06:42 AM	05/27/2022 06:42 AM		4.816	18672	SARS-CoV-2 N1	26.477918624878	0	12.0818543434143	47163.7925505639	SARS-CoV-2 N2	32.7865815162658	0	5.36894738674164	58401.0983258485					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/01/2022	6.87	2022-06-01	NT04473	Halcyon		CP000157	A06	AJ	2022-06-01	2108255	Halcyon	K6	EP000158	A06	AJ	2022-06-02	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	K6	AP0087	F01	JL	
M03-0009	1.1	M03-0009	Sample	WWTP	Marion	ManningtonWWTP-01	Pass	Processing	Complete	Composite	02/18/2022 10:30 AM	02/19/2022 10:30 AM	02/19/2022 10:30 AM		0.758	14200	SARS-CoV-2 N1	6.628937125	0	433.4650803	11807.79425	SARS-CoV-2 N2	11.60186648	0	449.5413208	20665.82467					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	02/23/2022	7.22	2/23/22	NT04473	Kookaburra		CP000084	B06	AJ	2/23/22	2108255	Halcyon	E4	EP000084	E04	AJ	2/24/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX One	E4	AP0048	E04	JL	
E02-0166	1.1	Sample	Sample	WWTP	Mercer	AthensWWTP-01	Pass	Processing	Complete	Composite	07/25/2022 08:00 AM	07/26/2022 08:00 AM	07/26/2022 08:00 AM		0.102	19649	SARS-CoV-2 N1	135.706558227539	1.21238760650158	102.893466949463	241727.306842804	SARS-CoV-2 N2	147.753782272339	0	133.849449157715	263186.424672603					Human RNase P	2133.07701051235	1.19751691818237	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/01/2022		2022-08-01	NT04473	Kookaburra		CP000199	D02	AJ	2022-08-01	2108255	Kookaburra	F4	EP000200	C04	AJ	2022-08-04	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	F4	AP0105	D03	JL	
C01-0200	1.1	C01-0200	Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Processing	Complete	Composite	06/12/2022 07:00 AM	06/13/2022 07:00 AM	06/13/2022 07:00 AM		6.35	20525	SARS-CoV-2 N1	72.3328924179078	0	146.874227523804	128842.964619398	SARS-CoV-2 N2	70.033187866211	0	184.92654800415	124746.615886688					Human RNase P	2042.03597037122	1.14640615880489	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	06/14/2022	6.77	2022-06-15	NT04473	Halcyon		CP000167	D04	AJ	2022-06-14	2108255	Halcyon	E6	EP000168	C06	AJ	2022-06-15	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	E6	AP0091	F03	JL	
N03-0091	1.1	N03-0091	Sample	WWTP	Harrison	SalemWWTP-01	Pass	Processing	Complete	Composite	05/13/2022 07:30 AM	05/14/2022 07:30 AM	05/14/2022 07:30 AM		0.49224	16626	SARS-CoV-2 N1	29.738359451294	0	10.0329482555389	52971.4527726174	SARS-CoV-2 N2	41.077151298523	0	15.7679808139801	73168.6757504941					Human RNase P	2520.93264833093	1.4152604341507	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/18/2022	6.55	2022-05-18	NT04473	Halcyon		CP000145	C04	AJ	2022-05-18	2108255	Halcyon	E8	EP000146	B08	AJ	2022-05-19	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	E8	AP0082	H02	JL	
K01-0107	1.1	K01-0107	Sample	WWTP	Wood	ParkersburgWWTP-01	Pass	Processing	Complete	Composite	07/05/2022 06:23 AM	07/06/2022 06:22 AM	07/06/2022 06:22 AM		5.207	17512	SARS-CoV-2 N1	117.185964584351	0	280.273876190186	208737.499415874	SARS-CoV-2 N2	119.886770248413	0	322.41268157959	213548.309504986					Human RNase P	7180.56564219297	4.0311947464943	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	07/13/2022	7.1	2022-07-13	NT04473	Kookaburra		CP000186	C05	AJ	2022-07-13	2108255	Halcyon	J1	EP000187	F01	AJ	2022-07-14	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	J1	AP0099	A06	JL	
