Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A07-0012	18494	OneStep RT-ddPCR	BRSV			08/13/2021	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	B01	JL	SARS-CoV-2 N1		0	99.9626002	4055.69844	SARS-CoV-2 N2		0	99.96326296	6759.86311																																				Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B03	JL			Eric Lundstrum		8/11/21 9:19	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B03	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:19 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.13	OaklandE-02	
A1039	6779	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				20820	SARS-CoV-2 N2				20820																																				CDC N1/N2/RP Triplex	0.005		4/30/21 11:30	100				5				KED	Human RNase P	20820	Mathilda Santee	4/30/21 11:10	4/30/21 11:10	Monongalia County	A1039	5/3/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KED		Fail: Droplet Count Below Threshold	Not Assessed	Not Assessed	Pass	EL	4/30/21 11:09	Composite	4/28/21 11:59	4/28/21 12:00	MVS	4/30/21		StarCityWWTP-01	Available
A1024	12696	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				46728	SARS-CoV-2 N2				33372																																				CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				6				MVS	Human RNase P	26676	Josh Lambert	4/9/21 12:58	4/9/21 12:58	Monongalia County	A1024	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	4/7/21 11:55	Composite	4/7/21 11:55	4/7/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A0205	17242	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				29484	SARS-CoV-2 N2				29484																																				CDC N1/N2/RP Triplex	0.005		1/4/21 0:00	100				6				MS	Human RNase P	4896	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0205	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/30/20 0:00	Composite	12/30/20 23:59	12/30/20 0:00	TD	1/7/21		StarCityWWTP-01	Available
A01-0012	15896	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	K2	AP0004	G03	JL	SARS-CoV-2 N1	317200	5920	239240	337025000	SARS-CoV-2 N2	317220	5920	235960	337046250																																				Multiplex	0.005		2021-08-24	10	NT04155	Halcyon	Nanotrap	0.425		CP0003	A02	JL						Monongalia County	Primary	2021-08-24	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	K2	EP0003	A02	JL		Pass	Fail: Droplet Counts Below Threshold	Pass	Pass	GG	08/22/2021 11:59 PM	Composite	08/22/2021 11:59 PM	08/22/2021 12:00 AM	JL	08/24/2021	7.06	StarCityWWTP-01	
A01-0003	19784	OneStep RT-ddPCR	None			08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A02	JL	SARS-CoV-2 N1		0	99.94874319	25285.73	SARS-CoV-2 N2		0	99.95073014	32876.44184	None																																			Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A02	JL			Josh Lambert		8/16/21 13:05	Monongalia County	Primary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL	NaN	Pass	Pass	Pass	Pass	GG	08/11/2021 11:55 PM	Composite	08/11/2021 11:55 PM	08/11/2021 12:00 AM	Josh Lambert	08/13/2021	6.87	StarCityWWTP-01	
A02-0087																																																																															WVU Morgantown																Pass	EL	09/08/2021 09:34 AM	Composite	09/08/2021 09:34 AM	09/06/2021 09:34 AM	JL	09/08/2021	7.4	OaklandE-02	
A0221	13910	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				88398	SARS-CoV-2 N2				82296																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				3				MS	Human RNase P	6084	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0221	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/17/21 0:00	Composite	1/17/21 23:59	1/17/21 0:00	TD	1/22/21		StarCityWWTP-01	Available
A0441	11186	OneStep RT-ddPCR				3/15/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				30288	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005			100				8					Human RNase P	20208	Mathilda Santee	3/3/21 11:46	3/3/21 11:46	Monongalia County	A0441		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	2/24/21 12:00	Composite	2/24/21 12:00	2/24/21 12:00				StarCityWWTP-01	Available
A01-0004	18261	OneStep RT-ddPCR	None			08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A03	JL	SARS-CoV-2 N1		0	99.94874319	67173.01846	SARS-CoV-2 N2		0	99.95073014	68545.77637	None																																			Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A03	JL			Josh Lambert		8/16/21 10:18	Monongalia County	Primary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	Pass	Pass	Pass	GG	08/12/2021 11:55 PM	Composite	08/12/2021 11:55 PM	08/12/2021 12:00 AM	Josh Lambert	08/13/2021	6.95	StarCityWWTP-01	
A0250	11742	OneStep RT-ddPCR				11/17/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				45714	SARS-CoV-2 N2				54856.8																																				CDC N1/N2/RP Triplex	0.005		11/13/20 4:30	100				3.8				MS	Human RNase P	36571.2	Timothy Driscoll	11/13/20 22:10	11/13/20 22:10	Monongalia County	A0250	11/17/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	DW	11/12/20 0:00	Composite	11/12/20 23:59	11/12/20 0:00	TD	11/13/20		StarCityWWTP-01	Available
A0230	14435	OneStep RT-ddPCR				3/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				156660	SARS-CoV-2 N2				176250																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				5				MS	Human RNase P	4890	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0230	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/28/21 0:00	Composite	1/28/21 23:59	1/28/21 0:00	TD	1/29/21		StarCityWWTP-01	Available
A02-0022	18340	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	H2	AP0004	D03	JL	SARS-CoV-2 N1	366740	5920	239240	389661250	SARS-CoV-2 N2	366640	5920	235960	389555000																																				Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	7.39	CP000000	A02	JL						WVU Morgantown	Tertiary	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H2	EP000000	A02	JL		Pass	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/20/2021 09:42 AM	Composite	08/20/2021 09:42 AM	08/18/2021 09:42 AM	Jl	08/20/2021	7.39	HonorsSummit-01 (MUB)	
A02-0031	8258	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	I7	AP0004	G01	JL	SARS-CoV-2 N1	165120	5920	239240	175440000	SARS-CoV-2 N2	165160	5920	235960	175482500																																				Multiplex	0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B01	JL						WVU Morgantown	Tertiary	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000002	A07	JL		Fail: Droplet Counts Below Threshold	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/23/2021 09:55 AM	Grab			JL	08/23/2021	8.46	NorthHighSt-02 (MUB)	
A05-0004	17870	OneStep RT-ddPCR	BRSV			08/13/2021	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	A06	JL	SARS-CoV-2 N1		0	99.9626002	0	SARS-CoV-2 N2		0	99.96326296	0																																				Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A06	JL			Eric Lundstrum		8/11/21 9:07	WVU Morgantown	Secondary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:07 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.19	Evansdale-01	
A0219	16477	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				82332	SARS-CoV-2 N2				110664																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				3				MS	Human RNase P	2574	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0219	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/13/21 0:00	Composite	1/13/21 23:59	1/13/21 0:00	TD	1/15/21		StarCityWWTP-01	Available
A0244	12491	OneStep RT-ddPCR				11/20/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				66502.8	SARS-CoV-2 N2				71240.4																																				CDC N1/N2/RP Triplex	0.005		11/16/20 17:00	100				4.2				MS	Human RNase P	37976.4	Timothy Driscoll	11/19/20 19:25	11/19/20 19:25	Monongalia County	A0244	11/17/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	DW	11/16/20 0:00	Composite	11/16/20 23:59	11/16/20 0:00	TD	12/7/20		StarCityWWTP-01	Available
A02-0072																																																																															WVU Morgantown																Pass	EL	09/01/2021 10:58 AM	Composite	09/01/2021 10:59 AM	08/30/2021 10:58 AM	JL	09/01/2021	6.98	CollegePark-02	
A02-0051																																																																															WVU Morgantown																Pass	EL	08/27/2021 09:32 AM	Composite	08/27/2021 09:33 AM	08/25/2021 09:32 AM	JL	08/27/2021	7.61	Evansdale-01	
A1010	10115	OneStep RT-ddPCR				3/30/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				11184																																				CDC N1/N2/RP Triplex	0.005		3/26/21 11:00	100				8				MVS	Human RNase P	33504	Mathilda Santee	3/26/21 10:51	3/26/21 10:51	Monongalia County	A1010	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	3/26/21 12:00	Composite	3/21/21 12:00	3/21/21 12:00	MVS	3/26/21		StarCityWWTP-01	Available
A06-0005	17313	OneStep RT-ddPCR	BRSV			08/13/2021	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	A07	JL	SARS-CoV-2 N1		0	99.9626002	0	SARS-CoV-2 N2		0	99.96326296	1444.04335																																				Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL			Eric Lundstrum		8/10/21 9:07	WVU Morgantown	Secondary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B01	JL	NaN	Pass	Pass	Pass	Pass	EL	08/10/2021 09:07 AM	Composite	08/10/2021 09:00 AM	08/09/2021 09:00 AM	JL	08/10/2021	7.43	Evansdale-01	
A1015	8511	OneStep RT-ddPCR				3/30/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				33192	SARS-CoV-2 N2				19920																																				CDC N1/N2/RP Triplex	0.005		3/26/21 11:00	100				4				MVS	Human RNase P	119568	Mathilda Santee	3/26/21 10:56	3/26/21 10:56	Monongalia County	A1015	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Fail: Droplet Count Below Threshold	Not Assessed	Not Assessed	Pass	EL	3/26/21 10:55	Composite	3/25/21 12:00	3/25/21 12:00	MVS	3/26/21		StarCityWWTP-01	Available
A0103	11366	OneStep RT-ddPCR				11/10/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				12420	SARS-CoV-2 N2				12420																																				CDC N1/N2/RP Triplex	0.005		11/9/20 17:30	100				5				MS	Human RNase P	18630	Timothy Driscoll	11/9/20 16:55	11/9/20 16:55	Monongalia County	A0103	11/10/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	11/4/20 0:00	Composite	11/4/20 23:59	11/4/20 0:00	TD	11/9/20		StarCityWWTP-01	Available
A02-0005	16325	OneStep RT-ddPCR	None			08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A04	JL	SARS-CoV-2 N1		0	99.94874319	0	SARS-CoV-2 N2		0	99.95073014	3062.97486	None																																			Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A04	JL			Eric Lundstrum		8/13/21 9:12	WVU Morgantown	Secondary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	08/13/2021 09:12 AM	Composite	08/13/2021 09:00 AM	08/12/2021 09:00 AM	Josh Lambert	08/13/2021	7.34	Evansdale-01	
A02-0030	17182	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	I6	AP0004	F01	JL	SARS-CoV-2 N1	341460	5920	239240	362801250	SARS-CoV-2 N2	341920	5920	235960	363290000																																				Multiplex	0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A06	JL						WVU Morgantown	Tertiary	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000002	A06	JL		Pass	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/23/2021 09:55 AM	Composite	08/23/2021 09:00 AM	08/21/2021 09:00 AM	JL	08/23/2021	7.28	NorthHighSt-02 (MUB)	
A1013	12334	OneStep RT-ddPCR				3/30/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				9168	SARS-CoV-2 N2				9168																																				CDC N1/N2/RP Triplex	0.005		3/26/21 11:00	100				4				MVS	Human RNase P	64128	Mathilda Santee	3/26/21 10:53	3/26/21 10:53	Monongalia County	A1013	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	3/26/21 10:53	Composite	3/23/21 12:00	3/23/21 12:00	MVS	3/26/21		StarCityWWTP-01	Available
A02-0003	16102	OneStep RT-ddPCR	BRSV			08/13/2021	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	C02	JL	SARS-CoV-2 N1		0	99.9626002	74636.199	SARS-CoV-2 N2		0	99.96326296	79308.37154																																				Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C06	JL			Eric Lundstrum		8/12/21 9:59	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C06	JL		Pass	Pass	Pass	Pass	EL	08/12/2021 09:59 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021	NaN	CollegePark-02	
A02-0057																																																																															WVU Morgantown																Pass	EL	08/27/2021 10:40 AM	Grab			JL	08/27/2021	7.86	NorthHighSt-02 (MUB)	
A1038	9780	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				4338																																				CDC N1/N2/RP Triplex	0.005		4/30/21 11:30	100				3				KED	Human RNase P	38988	Mathilda Santee	4/30/21 11:08	4/30/21 11:08	Monongalia County	A1038	5/3/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KED		Pass	Not Assessed	Not Assessed	Pass	EL	4/30/21 11:08	Composite	4/27/21 11:59	4/27/21 12:00	MVS	4/30/21		StarCityWWTP-01	Available
A1084		OneStep RT-ddPCR	BRSV	0												SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.48						Josh Lambert		07/09/2021 12:18 PM		A1084	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	07/04/2021 11:55 PM	Composite	07/04/2021 11:55 PM	07/04/2021 12:00 AM	JL	07/09/2021	6.48	StarCityWWTP-01	Available
A0046	18937	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				67140	SARS-CoV-2 N2				22410																																				CDC N1/N2/RP Triplex	0.005		1/3/21 13:00	100				15				MS	Human RNase P	22410	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0046	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/22/20 0:00	Composite	12/22/20 11:59	12/22/20 12:00	TD	1/7/21		StarCityWWTP-01	Available
A0029	10527	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				28170	SARS-CoV-2 N2				32202																																				CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				3				MS	Human RNase P	24138	Timothy Driscoll	12/7/20 15:15	12/7/20 15:15	Monongalia County	A0029	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/29/20 0:00	Composite	11/29/20 23:59	11/29/20 0:00	TD	12/4/20		StarCityWWTP-01	Available
A0041	11546	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				73416	SARS-CoV-2 N2				83208																																				CDC N1/N2/RP Triplex	0.005		12/14/20 17:00	100				4				AT	Human RNase P	34248	Timothy Driscoll	12/21/20 16:22	12/21/20 16:22	Monongalia County	A0041	12/21/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	12/15/20 0:00	Composite	12/15/20 11:59	12/15/20 12:00	TD	12/18/20		StarCityWWTP-01	Available
A02-0024	17511	OneStep RT-ddPCR	None			08/20/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H4	AP000000	A04	JL	SARS-CoV-2 N1		0	99.91557173	2855.51131	SARS-CoV-2 N2		0	99.91831254	21424.28803																																				Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	7.16	CP000000	A04	JL						WVU Morgantown	Tertiary	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H4	EP000000	A04	JL		Pass	Pass	Pass	Pass	EL	08/20/2021 10:10 AM	Composite	08/20/2021 10:10 AM	08/18/2021 10:10 AM	Jl	08/20/2021	7.16	CollegePark-02	
A02-0055																																																																															WVU Morgantown																Pass	EL	08/27/2021 10:18 AM	Grab			JL	08/27/2021	7.97	HonorsSummit-01 (MUB)	
A02-0070																																																																															WVU Morgantown																Pass	EL	09/01/2021 10:19 AM	Composite	09/01/2021 10:04 AM	08/30/2021 10:04 AM	JL	09/01/2021	7.09	HonorsSummit-01 (MUB)	
A02-0080																																																																															WVU Morgantown																Pass	EL	09/03/2021 10:46 AM	Composite	09/03/2021 10:46 AM	09/01/2021 10:59 AM	JL	09/03/2021	5.86	CollegePark-02	
A0033	9338	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				53241.6	SARS-CoV-2 N2				29030.4																																				CDC N1/N2/RP Triplex	0.005		12/7/20 17:00	100				3.2				MS	Human RNase P	24192	Timothy Driscoll	12/14/20 14:57	12/14/20 14:57	Monongalia County	A0033	12/8/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/3/20 0:00	Composite	12/3/20 23:59	12/3/20 0:00	TD	12/7/20		StarCityWWTP-01	Available
A1014	10126	OneStep RT-ddPCR				3/30/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				19530																																				CDC N1/N2/RP Triplex	0.005		3/26/21 11:00	100				7				MVS	Human RNase P	29274	Mathilda Santee	3/26/21 10:55	3/26/21 10:55	Monongalia County	A1014	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	3/26/21 10:54	Composite	3/24/21 12:00	3/24/21 12:00	MVS	3/26/21		StarCityWWTP-01	Available
A1055		OneStep RT-ddPCR	BRSV	311932.5												SARS-CoV-2 N1				6982.5	SARS-CoV-2 N2				6982.5																																				N1/N2/BRSV Triplex	0.005			10				0.95	pH - 6.88						Josh Lambert		07/08/2021 11:26 AM		A1055	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/24/2021 11:55 PM	Composite	05/24/2021 11:55 PM	05/24/2021 12:00 AM	JL	05/28/2021	6.88	StarCityWWTP-01	Available
A1017	12768	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				5520	SARS-CoV-2 N2				11070																																				CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Human RNase P	33180	Josh Lambert	4/9/21 12:50	4/9/21 12:50	Monongalia County	A1017	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	3/29/21 11:55	Composite	3/29/21 11:55	3/29/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A01-0026																																																																															Monongalia County																Pass	DW	08/31/2021 11:55 PM	Composite	08/31/2021 11:55 PM	08/31/2021 12:00 AM	JL	09/03/2021	6.42	StarCityWWTP-01	
A0223	10196	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				77592	SARS-CoV-2 N2				66504																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	11088	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0223	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/19/21 0:00	Composite	1/19/21 23:59	1/19/21 0:00	TD	1/22/21		StarCityWWTP-01	Available
A0228	11614	OneStep RT-ddPCR				3/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				1872270	SARS-CoV-2 N2				1312800																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				5				MS	Human RNase P	30390	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0228	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/26/21 0:00	Composite	1/26/21 23:59	1/26/21 0:00	TD	1/29/21		StarCityWWTP-01	Available
A0100	11518	OneStep RT-ddPCR				11/10/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				9816	SARS-CoV-2 N2				9816																																				CDC N1/N2/RP Triplex	0.005		11/9/20 17:30	100				4				MS	Human RNase P	29424	Timothy Driscoll	11/9/20 16:53	11/9/20 16:53	Monongalia County	A0100	11/10/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	11/1/20 0:00	Composite	11/1/20 23:59	11/1/20 0:00	TD	11/9/20		StarCityWWTP-01	Available
A0216	14343	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				161664	SARS-CoV-2 N2				173496																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	0	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0216	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/10/21 0:00	Composite	1/10/21 23:59	1/10/21 0:00	TD	1/15/21		StarCityWWTP-01	Available
