Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Date Added to Database
A07-0018	19654	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B04	JL		Josh Lambert	2021-08-25.16-46-26	08/13/2021 12:24 PM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B04	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:00 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	NaN	TowersBB-01		2021-08-25.16-46-49
A02-0002 100K	11472	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	100k	AP000000	B05	JL	SARS-CoV-2 N1	0	99.9626001999652	106173.550652154	SARS-CoV-2 N2	0	99.9632629606967	106173.111729002																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 100K HI-SARS	CP000000	C01	JL			2021-08-25.16-46-26				2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 100K HI-SARS	EP000000	C01	JL		Pass	Pass	Pass												2021-08-25.16-46-49
A07-0012	18494	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B01	JL	SARS-CoV-2 N1	0	99.9626001999652	4055.69844	SARS-CoV-2 N2	0	99.9632629606967	6759.86311																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B03	JL		Eric Lundstrum	2021-08-25.16-46-26	08/11/2021 09:19 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B03	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:19 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.13	OaklandE-02		2021-08-25.16-46-49
A02-0017	2402	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G2	AP000000	B01	JL	SARS-CoV-2 N1	0	99.9155717285111	0	SARS-CoV-2 N2	0	99.9183125425886	0																													Multiplex	0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A02	JL		Eric Lundstrum	2021-08-25.16-46-26	08/18/2021 09:38 AM	WVU Morgantown	G	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL		Fail: Droplet Counts Below Threshold	Pass	Pass	Pass	EL	08/18/2021 09:38 AM	Composite	08/18/2021 09:38 AM	08/16/2021 09:41 AM	JL	08/18/2021	7.15	OaklandE-02		2021-08-25.16-46-49
A02-0013	11125	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A04	JL	SARS-CoV-2 N1	0	99.9626001999652	13486.7835	SARS-CoV-2 N2	0	99.9632629606967	11238.48063																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A04	JL		Eric Lundstrum	2021-08-25.16-46-26	08/11/2021 09:48 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL		Pass	Pass	Pass	Pass	EL	08/11/2021 09:48 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.87	CollegePark-02		2021-08-25.16-46-49
A04-0009	18412	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A05	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	1357.84701																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL		Eric Lundstrum	2021-08-25.16-46-26	08/10/2021 10:00 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	EL	08/10/2021 10:00 AM	Composite	08/10/2021 09:00 AM	08/09/2021 09:00 AM	JL	08/10/2021	7.29	NorthHighSt-02 (MUB)		2021-08-25.16-46-49
A01-0002	15989	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A01	JL	SARS-CoV-2 N1	0	99.9487431908882	35988.11412	SARS-CoV-2 N2	0	99.9507301404237	40686.03611	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A01	JL		Josh Lambert	2021-08-25.16-46-26	08/16/2021 10:17 AM	Monongalia County	Star City	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL	NaN	Pass	Pass	Pass	Pass	GG	08/10/2021 11:55 PM	Composite	08/10/2021 11:55 PM	08/10/2021 12:00 AM	Josh Lambert	08/13/2021	6.9	StarCityWWTP-01		2021-08-25.16-46-49
A01-0004	18261	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A03	JL	SARS-CoV-2 N1	0	99.9487431908882	67173.01846	SARS-CoV-2 N2	0	99.9507301404237	68545.77637	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A03	JL		Josh Lambert	2021-08-25.16-46-26	08/16/2021 10:18 AM	Monongalia County	Star City	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	Pass	Pass	Pass	GG	08/12/2021 11:55 PM	Composite	08/12/2021 11:55 PM	08/12/2021 12:00 AM	Josh Lambert	08/13/2021	6.95	StarCityWWTP-01		2021-08-25.16-46-49
A02-0011	21209	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	F1	AP000000	A08	JL	SARS-CoV-2 N1	0	99.9155717285111	71987.4334447993	SARS-CoV-2 N2	0	99.9183125425886	75446.3047860758	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B03	JL		Eric Lundstrum	2021-08-25.16-46-26	08/16/2021 09:42 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A09	JL		Pass	Pass	Pass	Pass	Eric Lundstrom	08/16/2021 09:41 AM	Composite	08/16/2021 09:00 AM	08/14/2021 09:00 AM	Josh Lambert	08/16/2021	7.31	OaklandE-02		2021-08-25.16-46-49
A02-0009	19134	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A07	JL	SARS-CoV-2 N1	0	99.9487431908882	52317.69228	SARS-CoV-2 N2	0	99.9507301404237	49699.20111	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B01	JL		Eric Lundstrum	2021-08-25.16-46-26	08/13/2021 10:18 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A07	JL		Pass	Pass	Pass	Pass	Eric Lundstrom	08/13/2021 10:18 AM	Composite	08/13/2021 09:55 AM	08/11/2021 09:55 AM	Josh Lambert	08/13/2021	7.8	CollegePark-02		2021-08-25.16-46-49
A01-0001	19475	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A03	JL	SARS-CoV-2 N1	0	99.9626001999652	8987.49459	SARS-CoV-2 N2	0	99.9632629606967	10271.68584																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A03	JL	None	Josh Lambert	2021-08-25.16-46-26	08/13/2021 12:13 PM	Monongalia County	WWTP	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	Pass	Pass	Pass	GG	08/09/2021 11:55 PM	Composite	08/09/2021 11:55 PM	08/09/2021 12:00 AM	JL	08/13/2021	NaN	StarCityWWTP-01		2021-08-25.16-46-49
A02-0008	18971	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A06	JL	SARS-CoV-2 N1	0	99.9487431908882	6589.87239	SARS-CoV-2 N2	0	99.9507301404237	1317.83566	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A06	JL		Eric Lundstrum	2021-08-25.16-46-26	08/13/2021 10:02 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	08/13/2021 10:02 AM	Composite	08/13/2021 09:45 AM	08/11/2021 09:45 AM	Josh Lambert	08/13/2021	7.5	NorthHighSt-02 (MUB)		2021-08-25.16-46-49
A05-0004	17870	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A06	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A06	JL		Eric Lundstrum	2021-08-25.16-46-26	08/11/2021 09:07 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:07 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.19	Evansdale-01		2021-08-25.16-46-49
A02-0004	14984	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B08	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C04	JL		Eric Lundstrum	2021-08-25.16-46-26	08/12/2021 10:05 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C04	JL	NaN	Pass	Pass	Pass	Pass	EL	08/12/2021 10:05 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021	NaN	NorthHighSt-02 (MUB)		2021-08-25.16-46-49
A02-0015	21184	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B04	JL	SARS-CoV-2 N1	0	99.9487431908882	105253.34692	SARS-CoV-2 N2	0	99.9507301404237	76826.7622	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B06	JL		Eric Lundstrum	2021-08-25.16-46-26	08/16/2021 10:33 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A12	JL		Pass	Pass	Pass	Pass	Alexander Brun	08/16/2021 10:15 AM	Composite	08/16/2021 09:00 AM	08/14/2021 09:00 AM	Josh Lambert	08/16/2021	7.18	CollegePark-02		2021-08-25.16-46-49
