Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Date Added to Database
A02-0002	20957	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	C01	JL	SARS-CoV-2 N1	0	99.9626002	7158.53721	SARS-CoV-2 N2	0	99.96326296	5965.30548																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C05	JL			Josh Lambert	2021-08-25.16-46-49	8/16/21 13:03	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C05	JL	NaN	Pass	Pass	Pass	Pass	EL	8/12/21 9:00	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/13/21	6.65	OaklandE-02		2021-08-25.16-47-07
A02-0013	11125	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A04	JL	SARS-CoV-2 N1	0	99.9626002	13486.7835	SARS-CoV-2 N2	0	99.96326296	11238.48063																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A04	JL			Eric Lundstrum	2021-08-25.16-46-49	8/11/21 9:48	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL		Pass	Pass	Pass	Pass	EL	8/11/21 9:48	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	7.87	CollegePark-02		2021-08-25.16-47-07
A04-0009	18412	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A05	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	1357.84701																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL			Eric Lundstrum	2021-08-25.16-46-49	8/10/21 10:00	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	EL	8/10/21 10:00	Composite	8/10/21 9:00	8/9/21 9:00	JL	8/10/21	7.29	NorthHighSt-02 (MUB)		2021-08-25.16-47-07
A02-0034	19642	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	J1	AP000002	B01	JL	SARS-CoV-2 N1	0	99.93699063	314.0035393	SARS-CoV-2 N2	0	99.94261999	1317.981478																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B03	JL							G	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A09	JL		Pass	Pass	Pass			8/23/21 10:12	Composite	8/23/21 9:00	8/21/21 9:00				CollegePark-02		2021-08-25.16-47-07
A02-0026	12152	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I2	AP000002	A02	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	0																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A02	JL							G	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A02	JL		Pass	Pass	Pass			8/23/21 9:13	Grab						Evansdale-01		2021-08-25.16-47-07
A02-0017	2409	OneStep RT-ddPCR	None	8/23/21	CHECK	DQ	58477037	QX 200	CDC nCov-2 Triplex	G2	AP000002	B05	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	0																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A02	JL			Eric Lundstrum	2021-08-25.16-46-49	8/18/21 9:38	WVU Morgantown	G	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL		Fail: Droplet Counts Below Threshold	Pass	Pass	Pass	EL	8/18/21 9:38	Composite	8/18/21 9:38	8/16/21 9:41	JL	8/18/21	7.15	OaklandE-02		2021-08-25.16-47-07
A02-0014	19433	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B03	JL	SARS-CoV-2 N1	0	99.94874319	33470.65294	SARS-CoV-2 N2	0	99.95073014	32182.49166	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B05	JL			Eric Lundstrum	2021-08-25.16-46-49	8/16/21 10:05	WVU Morgantown	G	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A11	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	8/16/21 10:05	Composite	8/16/21 9:00	8/14/21 9:00	Josh Lambert	8/16/21	7.83	NorthHighSt-02 (MUB)		2021-08-25.16-47-07
A02-0021	11734	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	H1	AP000002	B02	JL	SARS-CoV-2 N1	0	99.93699063	7216.191346	SARS-CoV-2 N2	0	99.94261999	7216.191346																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	7.74	CP000000	A01	JL				2021-08-25.16-46-49			G	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H1	EP000000	A01	JL		Pass	Pass	Pass			8/20/21 9:30	Composite	8/20/21 9:30	8/18/21 9:30				OaklandE-02		2021-08-25.16-47-07
A02-0004 1K	16637	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	1k	AP000000	B04	JL	SARS-CoV-2 N1	0	99.9626002	104599.207	SARS-CoV-2 N2	0	99.96326296	105079.1047																													Multiplex	0.005		8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 1K HI-SARS	CP000000	B06	JL				2021-08-25.16-46-49				8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 1K HI-SARS	EP000000	B06	JL		Pass	Pass	Pass												2021-08-25.16-47-07
A02-0006	17196	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A05	JL	SARS-CoV-2 N1	0	99.94874319	24727.27346	SARS-CoV-2 N2	0	99.95073014	18906.8917	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A05	JL			Eric Lundstrum	2021-08-25.16-46-49	8/13/21 9:23	WVU Morgantown	G	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	8/13/21 9:22	Composite	8/13/21 9:22	8/11/21 9:45	Josh Lambert	8/13/21	7.34	OaklandE-02		2021-08-25.16-47-07
A07-0012	18494	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B01	JL	SARS-CoV-2 N1	0	99.9626002	4055.69844	SARS-CoV-2 N2	0	99.96326296	6759.86311																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B03	JL			Eric Lundstrum	2021-08-25.16-46-49	8/11/21 9:19	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B03	JL	NaN	Pass	Pass	Pass	Pass	EL	8/11/21 9:19	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	7.13	OaklandE-02		2021-08-25.16-47-07
A02-0004	14984	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B08	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	0																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C04	JL			Eric Lundstrum	2021-08-25.16-46-49	8/12/21 10:05	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C04	JL	NaN	Pass	Pass	Pass	Pass	EL	8/12/21 10:05	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/12/21	NaN	NorthHighSt-02 (MUB)		2021-08-25.16-47-07
A01-0007	18545	OneStep RT-ddPCR	None	8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G7	AP000000	A07	JL	SARS-CoV-2 N1	0	99.84027292	37091.69707	SARS-CoV-2 N2	31.54926549	99.85634831	19131.09471																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL			Josh Lambert	2021-08-25.16-46-49	8/18/21 13:15		Star City	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A07	JL	NaN	Pass	Pass	Pass	Pass	GG	8/16/21 23:55	Composite	8/16/21 23:55	8/16/21 0:00	JL	8/18/21	6.86	StarCityWWTP-01		2021-08-25.16-47-07
A02-0020	17034	OneStep RT-ddPCR	None	8/20/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H7	AP000000	A07	JL	SARS-CoV-2 N1	0	99.91557173	24390.67784	SARS-CoV-2 N2	0	99.91831254	27662.65936																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	6.88	CP000000	B01	JL				2021-08-25.16-46-49			G	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H7	EP000000	A07	JL		Pass	Pass	Pass			8/20/21 9:17	Composite	8/20/21 9:30	8/20/21 9:18				Evansdale-01		2021-08-25.16-47-07
A02-0005	16325	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A04	JL	SARS-CoV-2 N1	0	99.94874319	0	SARS-CoV-2 N2	0	99.95073014	3062.97486	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A04	JL			Eric Lundstrum	2021-08-25.16-46-49	8/13/21 9:12	WVU Morgantown	G	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	8/13/21 9:12	Composite	8/13/21 9:00	8/12/21 9:00	Josh Lambert	8/13/21	7.34	Evansdale-01		2021-08-25.16-47-07
A1104	15713	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A01	JL	SARS-CoV-2 N1	0	99.9626002	1285.241823	SARS-CoV-2 N2	0	99.96326296	1519.474278																													Multiplex	0.005		8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL				2021-08-25.16-46-49				8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL		Pass	Pass	Pass												2021-08-25.16-47-07
A01-0010	18269	OneStep RT-ddPCR	None	8/20/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H6	AP000000	A06	JL	SARS-CoV-2 N1	0	99.91557173	48257.43274	SARS-CoV-2 N2	0	99.91831254	52743.32898																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	6.99	CP000000	A06	JL				2021-08-25.16-46-49			Star City	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H6	EP000000	A06	JL		Pass	Pass	Pass			8/19/21 23:59	Composite	8/19/21 23:59	8/19/21 0:01				StarCityWWTP-01		2021-08-25.16-47-07
A01-0004	18261	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A03	JL	SARS-CoV-2 N1	0	99.94874319	67173.01846	SARS-CoV-2 N2	0	99.95073014	68545.77637	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A03	JL			Josh Lambert	2021-08-25.16-46-49	8/16/21 10:18	Monongalia County	Star City	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	Pass	Pass	Pass	GG	8/12/21 23:55	Composite	8/12/21 23:55	8/12/21 0:00	Josh Lambert	8/13/21	6.95	StarCityWWTP-01		2021-08-25.16-47-07
A01-0013																																																																					Star City																	8/23/21 23:59	Composite	8/23/21 23:59	8/23/21 0:00				StarCityWWTP-01		2021-08-25.16-47-07
A02-0003 0	16649	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	0k	AP000000	B06	JL	SARS-CoV-2 N1	0	99.9626002	104905.313	SARS-CoV-2 N2	0	99.96326296	105150.1992																													Multiplex	0.005		8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425	Labeled 0	CP000000	C02	JL				2021-08-25.16-46-49				8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Labeled 0	EP000000	C02	JL		Pass	Pass	Pass												2021-08-25.16-47-07
A01-0009	17879	OneStep RT-ddPCR	None	8/20/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H5	AP000000	A05	JL	SARS-CoV-2 N1	0	99.91557173	42236.6682	SARS-CoV-2 N2	0	99.91831254	58698.82864																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	6.97	CP000000	A05	JL				2021-08-25.16-46-49			Star City	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H5	EP000000	A05	JL		Pass	Pass	Pass			8/18/21 11:59	Composite	8/18/21 11:59	8/18/21 12:01				StarCityWWTP-01		2021-08-25.16-47-07
A02-0030	13148	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I6	AP000002	A06	JL	SARS-CoV-2 N1	0	99.93699063	87239.7603	SARS-CoV-2 N2	0	99.94261999	78795.36709																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A06	JL							H	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A06	JL		Pass	Pass	Pass			8/23/21 9:55	Composite	8/23/21 9:00	8/21/21 9:00				NorthHighSt-02 (MUB)		2021-08-25.16-47-07
A02-0009	19134	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A07	JL	SARS-CoV-2 N1	0	99.94874319	52317.69228	SARS-CoV-2 N2	0	99.95073014	49699.20111	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B01	JL			Eric Lundstrum	2021-08-25.16-46-49	8/13/21 10:18	WVU Morgantown	G	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A07	JL		Pass	Pass	Pass	Pass	Eric Lundstrom	8/13/21 10:18	Composite	8/13/21 9:55	8/11/21 9:55	Josh Lambert	8/13/21	7.8	CollegePark-02		2021-08-25.16-47-07
