Sample ID	Replicate (Bio.Tech)	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
H01-0192	1.1	H01-0192	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Processing	Complete	Composite	04/17/2022 08:00 AM	04/18/2022 08:00 AM	04/18/2022 08:00 AM		2	15427	SARS-CoV-2 N1	3.050617278	0	72.49384403	5433.912026	SARS-CoV-2 N2	1.525259167	0	81.57130241	2716.867891					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	04/22/2022	7.1	4/22/22	NT04473	Kookaburra		CP0126	A05	AJ	4/22/22	2108255	Kookaburra	J5	EP0126	A05	AJ	4/25/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	J5	AP0069	C05	JL	
L01-0034	1.1	L01-0034	Sample	WWTP	Doddridge	WestUnionWWTP-01	Pass	Processing	Complete	Composite	02/20/2022 09:10 AM	02/21/2022 09:10 AM	02/21/2022 09:10 AM		0.345	13866	SARS-CoV-2 N1	20.37178755	0	305.7337761	36287.24657	SARS-CoV-2 N2	45.86134911	0	356.0894394	81690.52809					Human RNase P	12092.25655	6.788635254	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	03/02/2022	6.89	3/2/22	NT04473	Kookaburra		CP000088	A02	AJ	3/2/22	2110258	Kookaburra	D2	EP000088	D02	AJ	3/2/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	D2	AP000050	E02	JL	
G01-0134	1.1	G01-0134	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	03/27/2022 09:00 AM	03/28/2022 08:00 AM	03/28/2022 08:40 AM		0.977	14212	SARS-CoV-2 N1	16.56184435	0	339.5400238	29500.78525	SARS-CoV-2 N2	14.90513563	0	386.9182968	26549.77284					Human RNase P	11797.82163	6.623338461	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	03/31/2022	7.05	3/31/22	NT04473	Kookaburra		CP000110	A03	AJ	3/31/22	2110258	Kookaburra	H3	EP000110	A03	AJ	4/4/22	OneStep RT-ddPCR	Manual	DQ	58477040	QX 200	H3	AP0060	A03	JL	
O01-0139	1.1	Sample	Sample	WWTP	Taylor	GraftonWWTP-01	Pass	Processing	Complete	Composite	08/15/2022 06:10 AM	08/16/2022 06:10 AM	08/16/2022 06:10 AM		1.6	19131	SARS-CoV-2 N1	6.150354743	0	262.9683495	10955.31939	SARS-CoV-2 N2	4.920155108	1.885747313	250.8826065	8764.026286					Human RNase P	2190.83484	1.229942366	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/17/2022		8/17/22	NT04473	Kookaburra		CP000212	D02	AJ	8/17/22	2108255	Kookaburra	C4	EP000214	C04	AJ	8/18/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	C4	AP0109	D03	JL	
A02-0070	1.1	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Rejected: No Flow	Complete	Composite	08/30/2021 10:04 AM	09/01/2021 10:04 AM	09/01/2021 10:19 AM	EL		13720	SARS-CoV-2 N1	8.272762299	0	3138.026123	8789.809942	SARS-CoV-2 N2	4.963295758	0	3336.080627	5273.501743					Human RNase P	22860.17373	21.51545763	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	BRSV Triplex	0.005																																				JL	09/01/2021	7.09	9/2/21	 NT04155	Kookaburra		CP0007	C03	JL	9/2/21	2102028	Halcyon	G7	EP0007	B03	JL	9/2/21	OneStep RT-ddPCR	Manual	DQ		QX One	G7	AP000000	G02	JL	
O01-0029	1.1	O01-0029	Sample	WWTP	Taylor	GraftonWWTP-01	Pass	Processing	Complete	Composite	03/11/2022 06:25 AM	03/12/2022 06:25 AM	03/14/2022 06:15 AM		2.02	12737	SARS-CoV-2 N1	7.390471101	0	427.0280838	13164.27665	SARS-CoV-2 N2	3.694945276	0	46.17351055	6581.621272					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	03/16/2022	6.52	3/16/22	NT04473	Halcyon		CP000097	B05	AJ	3/16/22	2110258	Kookaburra	J3	EP000098	B03	AJ	3/28/22	OneStep RT-ddPCR	Manual	DQ	58477040	QX 200	J3	AP0055	B03	JL	
G01-0192	1.1	G01-0192	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	06/13/2022 08:00 AM	06/14/2022 08:00 AM	06/14/2022 08:00 AM		0.703	18272	SARS-CoV-2 N1	111.0062695	0	117.9133224	197729.9175	SARS-CoV-2 N2	136.8969059	0	172.7571106	243847.6136					Human RNase P	2293.832833	1.287765801	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	06/16/2022	7.19	6/17/22	NT04473	Kookaburra		CP000170	B05	AJ	6/17/22	2108255	Halcyon	A3	EP000170	E03	AJ	6/20/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	A3	AP0092	C05	JL	
L01-0092	1.1	L01-0092	Sample	WWTP	Doddridge	WestUnionWWTP-01	Pass	Processing	Complete	Composite	04/07/2022 09:00 AM	04/08/2022 09:00 AM	04/08/2022 09:00 AM		0.399	16576	SARS-CoV-2 N1	1.419529617	0	82.14226723	2528.53713	SARS-CoV-2 N2	1.419529617	0	74.92531776	2528.53713					Human RNase P	5057.226615	2.839144766	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	04/20/2022	7.3	4/20/22	NT04473	Halcyon		CP000123	B01	AJ	4/20/22	2108255	Halcyon	A7	EP0124	A07	AJ	4/21/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	A7	AP0068	A07	JL	
C01-0304	1.1		Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Processing	Processing	Composite	11/10/2022 07:00 AM	11/11/2022 07:00 AM	11/11/2022 07:00 AM		4.746																																																															AJ	11/16/2022																										
G01-0024	1.1	Sample	Sample	WWTP	Mineral	KeyserWWTP-01	Fail: Temperature Above Threshold	Rejected	Rejected	Composite	11/21/2021 09:00 AM	11/22/2021 08:00 AM	11/22/2021 08:20 AM		0.606																																																															JL	11/29/2021																										SAT AT FEDEX
L01-0124	1.1	L01-0124	Sample	WWTP	Doddridge	WestUnionWWTP-01	Pass	Processing	Complete	Composite	05/18/2022 09:00 AM	05/19/2022 09:00 AM	05/19/2022 09:00 AM		0.345	19532	SARS-CoV-2 N1	10.8444345	0	11.75067067	19316.64895	SARS-CoV-2 N2	9.639250636	0	14.3627274	17169.9152					Human RNase P	4291.819744	2.409442663	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/25/2022	7.03	5/25/22	NT04473	Kookaburra		CP000152	A06	AJ	5/25/22	2108255	Kookaburra	J6	EP000152	D06	AJ	5/26/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	J6	AP0085	F04	JL	
L01-0133	1.1	L01-0133	Sample	WWTP	Doddridge	WestUnionWWTP-01	Pass	Processing	Complete	Composite	05/25/2022 09:00 AM	05/26/2022 09:00 AM	05/26/2022 09:00 AM		0.313	16528	SARS-CoV-2 N1	510.8877182	0	12.08185434	910018.748	SARS-CoV-2 N2	528.3524704	0	5.368947387	941127.8379					Human RNase P	5071.91428	2.847390473	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/01/2022	7.19	6/1/22	NT04473	Kookaburra		CP000158	A04	AJ	6/1/22	2108255	Halcyon	B4	EP000158	D04	AJ	6/2/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	B4	AP0087	D04	JL	
G01-0033	1.1	G	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	01/04/2022 09:00 AM	01/05/2022 08:00 AM	01/05/2022 08:42 AM		1.217	13224	SARS-CoV-2 N1	5.338494182	0	35.78905106	9509.192761	SARS-CoV-2 N2	5.338494182	0	33.90405893	9509.192761					Human RNase P	3169.490886	1.779363304	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	01/06/2022	7.26	1/6/22	NT04474	Halcyon		CP0056	D01	AJ	1/6/22	2108255	Halcyon	C3	EP0056	C03	AJ	1/12/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	C3	AP0032	G03	JL	
A01-0277	1.1	A01-0277	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Processing	Complete	Composite	06/17/2022 12:00 AM	06/18/2022 12:00 AM	06/18/2022 12:00 AM		6.2	18608	SARS-CoV-2 N1	178.970356	0	151.5503216	318790.9466	SARS-CoV-2 N2	196.8149757	0	193.5296631	350576.6755					Human RNase P	20276.06964	11.38305664	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/22/2022	6.55	6/22/22	NT04473	Halcyon		CP000172	A01	AJ	6/22/22	2108255	Halcyon	NAB 47 C1	EP000173	A01	AJ	6/23/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	NAB 47 C1	AP0093	A01	JL	
G01-0123	1.1	G01-0123	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	04/08/2022 09:00 AM	04/09/2022 08:00 AM	04/09/2022 08:00 AM		2.06	14703	SARS-CoV-2 N1	0	0	60.10069847	0	SARS-CoV-2 N2	4.801430702	0	36.04199409	8552.548438					Human RNase P	2850.655541	1.600368023	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	04/14/2022	7.15	4/18/22	NT04473	Halcyon		CP000120	D04	AJ	4/18/22	2108255	Halcyon	F6	EP000121	C06	AJ	4/19/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	F6	AP0066	C06	JL	
A02-0605	1.1	Sample	Sample	WVU Morgantown	Monongalia	MtValley-01	Pass	Processing	Complete	Composite	08/17/2022 09:00 AM	08/19/2022 09:00 AM	08/19/2022 10:22 AM	GZ		20044	SARS-CoV-2 N1	68.18419933	2.671216726	288.859539	121453.1051	SARS-CoV-2 N2	56.41420364	1.335570365	326.150589	100487.8002					Human RNase P	4182.184618	2.347893119	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/19/2022		8/19/22	NT04473	Halcyon		CP000000	D03	AJ	8/19/22	2108255	Kookaburra	B5	EP0000216	F05	AJ	8/23/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	B5	AP0110	E06	JL	
L01-0023	1.1	G	Sample	WWTP	Doddridge	WestUnionWWTP-01	Pass	Processing	Complete	Composite	01/16/2022 09:00 AM	01/17/2022 09:00 AM	01/17/2022 09:00 AM		0.346	15972	SARS-CoV-2 N1	707.3336792	0	335.9238052	1259938.116	SARS-CoV-2 N2	751.4006042	0	415.0937271	1338432.326					Human RNase P	13122.44112	7.366984487	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	01/26/2022	7.14	1/26/22	NT04474	Kookaburra		CP000066	B03	AJ	1/26/22	2108255	Kookaburra	C1	EP000065	B01	AJ	2/2/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	C1	AP0040	B01	JL	
C01-0085	1.1	C01-0085	Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Processing	Complete	Composite	02/23/2022 07:00 AM	02/24/2022 07:00 AM	02/24/2022 07:00 AM	GZ	17.898	14603	SARS-CoV-2 N1	9.669621587	0	305.7337761	17224.01345	SARS-CoV-2 N2	6.445972323	0	356.0894394	11481.8882					Human RNase P	2870.177161	1.611327529	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	03/01/2022	6.92	3/2/22	NT04473	Halcyon		CP000087	D01	aj	3/2/22	2110258	Kookaburra	C3	EP000088	C03	AJ	3/2/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	C3	AP000050	D03	JL	
B01-0173	1.1	B01-0173	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Processing	Complete	Composite	06/09/2022 07:00 AM	06/10/2022 07:00 AM	06/10/2022 07:00 AM		8.01	21066	SARS-CoV-2 N1	291.0799408	0	117.9133224	518486.1445	SARS-CoV-2 N2	285.4264069	0	172.7571106	508415.7872					Human RNase P	3979.279795	2.233981639	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	06/14/2022	6.97	6/17/22	NT04473	Kookaburra		CP000170	A03	AJ	6/17/22	2108255	Halcyon	L3	EP000170	D03	AJ	6/20/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	L3	AP0092	C04	JL	
A0103	1.1	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Rejected: No NTC	Complete	Composite	11/04/2020 12:00 AM	11/04/2020 11:59 PM	11/04/2020 12:00 AM	GS	6.95	11366	SARS-CoV-2 N1				12420	SARS-CoV-2 N2				12420					Human RNase P	18630		100	PEG Precipitation	5	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	11/09/2020		11/9/20						MS	11/10/20						MS	11/10/20	OneStep RT-ddPCR	Manual	DQ		QX 200					
H01-0033	1.1	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Rejected: No Flow	Complete	Composite	11/08/2021 08:00 AM	11/09/2021 08:00 AM	11/09/2021 08:15 AM	DRC		15719	SARS-CoV-2 N1	28.4	0	1193.4	30175	SARS-CoV-2 N2	33	0	1245	35062.5					Human RNase P	6375	6	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				AJ	11/11/2021	6.85	11/12/21	NT04474	Kookaburra		CP0035	B01	AJ	11/12/21	2108255	Kookaburra	G5	EP0035	A05	AJ	11/18/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	G5	AP0020	D05	JL	
N03-0117	1.2	N03-0117	Sample	WWTP	Harrison	SalemWWTP-01	Pass	Processing	Complete	Composite	06/21/2022 07:30 AM	06/22/2022 07:30 AM	06/27/2022 07:30 AM		0.39718	19891	SARS-CoV-2 N1	21.30215406	0	228.8021851	37944.46193	SARS-CoV-2 N2	14.19929266	0	265.4844093	25292.49005					Human RNase P	2107.124627	1.182947159	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/29/2022	6.88	7/7/22	NT04473	Kookaburra		CP000182	D01	AJ	7/7/22	2108255	Kookaburra	L5	EP000182	C05	AJ	7/11/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	L5	AP0098	E03	JL	
N03-0117	1.1	N03-0117	Sample	WWTP	Harrison	SalemWWTP-01	Pass	Processing	Complete	Composite	06/21/2022 07:30 AM	06/22/2022 07:30 AM	06/27/2022 07:30 AM		0.39718	16662	SARS-CoV-2 N1	0	0	135.2418232	0	SARS-CoV-2 N2	0	0	165.2563286	0					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/29/2022	6.88	6/29/22	NT04473	Halcyon		CP000176	D03	AJ	6/29/22	2108255	Kookaburra	G5	EP000178	C05	AJ	6/30/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	G5	AP0095	E03	JL	
H01-0123	1.1	G	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Processing	Complete	Composite	02/08/2022 08:00 AM	02/09/2022 08:00 AM	02/09/2022 08:15 AM		2.1	16205	SARS-CoV-2 N1	39.2362833	0	299.8709679	69889.62963	SARS-CoV-2 N2	45.05463123	0	334.8871231	80253.56188					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	02/11/2022	7.13	2/14/22	NT04473	Halcyon		CP000076	B02	AJ	2/14/22	2108255	Halcyon	E8	EP000076	A08	AJ	2/16/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	E8	AP000045	B08	JL	
N02-0052	1.1	N02-0052	Sample	WWTP	Harrison	ClarksburgWWTP-01	Pass	Processing	Complete	Composite	04/12/2022 07:00 AM	04/13/2022 07:00 AM	04/13/2022 07:00 AM		10.43	14572	SARS-CoV-2 N1	3.229621947	0	82.14226723	5752.764093	SARS-CoV-2 N2	4.844599366	0	74.92531776	8629.442621					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	04/20/2022	7.41	4/20/22	NT04473	Kookaburra		CP000124	A05	AJ	4/20/22	2108255	Halcyon	D5	EP0124	D05	AJ	4/21/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	D5	AP0068	D05	JL	
E01-0186	1.1	Sample	Sample	WWTP	Mercer	PrincetonWWTP-01	Pass	Processing	Complete	Composite	10/05/2022 08:35 AM	10/06/2022 08:35 AM	10/06/2022 08:35 AM		2.72	19076	SARS-CoV-2 N1	48.15403461	0	3.743840158	85774.37416	SARS-CoV-2 N2	62.99051285	1.139245704	7.488276362	112201.851	BRSV				Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	10/13/2022		10/17/22	NT04455	Halcyon		CP000261	A02	AJ	10/17/22	2108255	Kookaburra	D2	EP000262	G02	AJ	10/18/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	D2	AP0127	B07	JL	
D01-0181	1.1	Sample	Sample	WWTP	Jefferson	CharlesTownWWTP-01	Pass	Processing	Processing	Composite	11/02/2022 07:40 AM	11/03/2022 07:40 AM	11/03/2022 07:40 AM		1.16																																																															AJ	11/11/2022																										
Q01-0170	1.1	Sample	Sample	WWTP	Boone	MadisonWWTP-01	Pass	Processing	Complete	Composite	11/07/2022 08:00 AM	11/08/2022 08:00 AM	11/08/2022 08:00 AM		0.296	19768	SARS-CoV-2 N1	32.1594667434692	0	197.161045074463	57284.0501368045	SARS-CoV-2 N2	40.5042886734008	1.32968336343765	203.42737197876	72148.2641994952					Human RNase P	21207.1873247623	11.9057893753052	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	11/10/2022		2022-11-10	NT04455	Halcyon		CP000280	D06	AJ	2022-11-10	2204324	Halcyon	L8	EP000281	F08	AJ	2022-11-15	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	L8	AP0133	H07	JL	
A02-0450	1.1	A02-0450	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)		Processing	Complete	Composite	04/11/2022 09:00 AM	04/13/2022 09:00 AM	04/13/2022 09:31 AM	GZ		14097	SARS-CoV-2 N1	88.62941742	0	95.19289017	157871.1498	SARS-CoV-2 N2	65.18541336	0	110.6279945	116111.5175					Human RNase P	8920.243308	5.007855892	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																						7.4	4/13/22	NT04473	Kookaburra		CP000119	B02	JL	4/13/22	2110258	Kookaburra	J8	EP000119	A08	AJ	4/14/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	J8	AP0064	D08	JL	
G01-0099	1.1	G	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	02/08/2022 09:00 AM	02/09/2022 08:00 AM	02/09/2022 08:40 AM	TD	1.084	15102	SARS-CoV-2 N1	48.3486557	0	299.8709679	86121.04297	SARS-CoV-2 N2	56.15613937	0	334.8871231	100028.1233					Human RNase P	8326.565009	4.674562812	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	02/10/2022	7.19	2/14/22	NT04473	Kookaburra		CP000077	B01	AJ	2/14/22	2108255	Halcyon	H7	EP000076	D07	AJ	2/16/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	H7	AP000045	E07	JL	
L01-0199	1.1	Sample	Sample	WWTP	Doddridge	WestUnionWWTP-01	Pass	Processing	Complete	Composite	08/09/2022 09:00 AM	08/10/2022 09:00 AM	08/10/2022 09:00 AM		0.334	17633	SARS-CoV-2 N1	447.2433472	0	262.9683495	796652.2121	SARS-CoV-2 N2	535.810051	1.885747313	250.8826065	954411.6533					Human RNase P	4754.057033	2.668944299	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/17/2022		8/17/22	NT04473	Kookaburra		CP0000213	B05	AJ	8/17/22	2108255	Kookaburra	E3	EP000214	E03	AJ	8/18/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	E3	AP0109	C05	JL	
O01-0122	1.1	Sample	Sample	WWTP	Taylor	GraftonWWTP-01	Pass	Processing	Complete	Composite	07/19/2022 07:00 AM	07/20/2022 07:00 AM	07/20/2022 07:00 AM		1.7	18038	SARS-CoV-2 N1	1.304471791	0	174.3351555	2323.590377	SARS-CoV-2 N2	6.523082852	0	166.6729355	11619.24133					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	07/27/2022		7/27/22	NT04473	Halcyon		CP0195	D02	AJ	7/27/22	NT04473	Halcyon		EP0196	C04	AJ	7/28/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	H4	AP0103	D04	JL	
M03-0011	1.1	M03-0011	Sample	WWTP	Marion	ManningtonWWTP-01	Pass	Processing	Complete	Composite	03/10/2022 11:00 AM	03/11/2022 11:00 AM	03/11/2022 11:00 AM		0.508	12214	SARS-CoV-2 N1	0	0	427.0280838	0	SARS-CoV-2 N2	3.853175044	0	46.17351055	6863.468047					Human RNase P	3431.593347	1.926508546	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	03/16/2022	6.89	3/16/22	NT04473	Kookaburra		CP000098	A03	AJ	3/16/22	2110258	Kookaburra	L3	EP000098	D03	AJ	3/28/22	OneStep RT-ddPCR	Manual	DQ	58477040	QX 200	L3	AP0055	D03	JL	
O01-0094	1.1	O01-0094	Sample	WWTP	Taylor	GraftonWWTP-01	Pass	Processing	Complete	Composite	06/21/2022 07:00 AM	06/22/2022 07:00 AM	06/22/2022 07:00 AM		1.89	20088	SARS-CoV-2 N1	2.342750132	0	135.2418232	4173.023673	SARS-CoV-2 N2	1.171345934	0	165.2563286	2086.459945					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/29/2022	7.24	6/29/22	NT04473	Kookaburra		CP000177	D03	AJ	6/29/22	2108255	Kookaburra	J5	EP000178	F05	AJ	6/30/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	J5	AP0095	E06	JL	
