assay_id	extraction_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_target	assay_target_category	assay_target_genetic_locus	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_calculated_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
A02-0421.a2.a2	A02-0421.e1	AP59	G04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	2405	0	0	
A02-0421.a2.a3	A02-0421.e1	AP59	G04	5	Human	Internal Control	RNase P	RNA	HEX	2405	0	0	
A02-0421.a3	A02-0421.e1	AP58	F02	5	Human	Internal Control	RNase P	RNA	HEX	7092	0	0	
A02-0422.a1	A02-0422.e1	AP58	E08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13689	0	0	
A02-0422.a2	A02-0422.e1	AP58	E08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13689	0	0	
A02-0422.a3	A02-0422.e1	AP58	E08	5	Human	Internal Control	RNase P	RNA	HEX	13689	0	25.79696655	
A02-0423.a1	A02-0423.e1	AP59	C04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13562	0	0	
A02-0423.a2	A02-0423.e1	AP59	C04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13562	0	0	
A02-0423.a3	A02-0423.e1	AP59	C04	5	Human	Internal Control	RNase P	RNA	HEX	13562	0	19.09220934	
A02-0424.a1	A02-0424.e1	AP58	E07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13649	0	0	
A02-0424.a2	A02-0424.e1	AP58	E07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13649	0	0	
A02-0424.a3	A02-0424.e1	AP58	E07	5	Human	Internal Control	RNase P	RNA	HEX	13649	0	5.172246695	
A02-0425.a1	A02-0425.e1	AP59	C05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	8336	0	0	
A02-0425.a2	A02-0425.e1	AP59	C05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	8336	0	0	
A02-0425.a2.a1	A02-0425.e1	AP60	B08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	5820	0	0	
A02-0425.a2.a2	A02-0425.e1	AP60	B08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	5820	0	0	
A02-0425.a2.a3	A02-0425.e1	AP60	B08	5	Human	Internal Control	RNase P	RNA	HEX	5820	0	0	
A02-0425.a3	A02-0425.e1	AP59	C05	5	Human	Internal Control	RNase P	RNA	HEX	8336	0	5.645929575	
A02-0426.a1	A02-0426.e1	AP59	C06	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12800	0	0	
A02-0426.a2	A02-0426.e1	AP59	C06	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12800	0	0	
A02-0426.a3	A02-0426.e1	AP59	C06	5	Human	Internal Control	RNase P	RNA	HEX	12800	0	11.0319972	
A02-0427.a1	A02-0427.e1	AP59	C03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14966	0	1.572243571	
A02-0427.a2	A02-0427.e1	AP59	C03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14966	0	0	
A02-0427.a3	A02-0427.e1	AP59	C03	5	Human	Internal Control	RNase P	RNA	HEX	14966	0	12.58089185	
A02-0428.a1	A02-0428.e1	AP63	D03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	7934	0	0	
A02-0428.a2	A02-0428.e1	AP63	D03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	7934	0	0	
A02-0428.a2.a1	A02-0428.e1	AP64	G01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	3248	0	0	
A02-0428.a2.a2	A02-0428.e1	AP64	G01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	3248	0	0	
A02-0428.a2.a3	A02-0428.e1	AP64	G01	5	Human	Internal Control	RNase P	RNA	HEX	3248	0	0	
A02-0429.a1	A02-0429.e1	AP61	D01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13714	0	0	
A02-0429.a2	A02-0429.e1	AP61	D01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13714	0	0	
A02-0430.a1	A02-0430.e1	AP63	D01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15980	0	8.836231828	
A02-0430.a2	A02-0430.e1	AP63	D01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15980	0	2.945041955	
A02-0431.a1	A02-0431.e1	AP63	C08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17130	0	67.401824	
A02-0431.a2	A02-0431.e1	AP63	C08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17130	0	56.3842535	
A02-0432.a1	A02-0432.e1	AP61	D02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14237	0	0	
A02-0432.a2	A02-0432.e1	AP61	D02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14237	0	1.652752608	
A02-0433.a1	A02-0433.e1	AP63	D04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16138	0	1.458058059	
A02-0433.a2	A02-0433.e1	AP63	D04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16138	0	1.458058059	
A02-0434.a1	A02-0434.e1	AP63	D05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14343	0	0	
A02-0434.a2	A02-0434.e1	AP63	D05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14343	0	0	
A02-0435.a1	A02-0435.e1	AP63	D02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13256	0	0	
A02-0435.a2	A02-0435.e1	AP63	D02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13256	0	0	
A02-0436.a1	A02-0436.e1	AP61	D03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15638	0	0	
A02-0436.a2	A02-0436.e1	AP61	D03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15638	0	0	
A02-0437.a1	A02-0437.e1	AP61	D04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15767	0	0	
A02-0437.a2	A02-0437.e1	AP61	D04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15767	0	0	
A02-0439.a1	A02-0439.e1	AP63	C05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15709	0	0	
A02-0439.a2	A02-0439.e1	AP63	C05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15709	0	0	
A02-0440.a1	A02-0440.e1	AP63	C06	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10445	0	0	
A02-0440.a2	A02-0440.e1	AP63	C06	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10445	0	0	
A02-0441.a1	A02-0441.e1	AP63	C07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16071	0	7.32159555	
A02-0441.a2	A02-0441.e1	AP63	C07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16071	0	2.928364873	
A02-0442.a1	A02-0442.e1	AP64	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16782	0	270.7477379	
A02-0442.a2	A02-0442.e1	AP64	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16782	0	267.9113197	
A02-0442.a3	A02-0442.e1	AP64	A01	5	Human	Internal Control	RNase P	RNA	HEX	16782	0	14.02480245	
A02-0443.a1	A02-0443.e1	AP64	A08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18100	0	0	
A02-0443.a2	A02-0443.e1	AP64	A08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18100	0	0	
A02-0443.a3	A02-0443.e1	AP64	A08	5	Human	Internal Control	RNase P	RNA	HEX	18100	0	5.20044446	
A02-0444.a1	A02-0444.e1	AP64	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	5535	0	0	
A02-0444.a2	A02-0444.e1	AP64	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	5535	0	0	
A02-0444.a2.a1	A02-0444.e1	AP65	D01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	5430	0	0	
A02-0444.a2.a2	A02-0444.e1	AP65	D01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	5430	0	0	
A02-0444.a2.a3	A02-0444.e1	AP65	D01	5	Human	Internal Control	RNase P	RNA	HEX	5430	0	0	
A02-0444.a3	A02-0444.e1	AP64	A03	5	Human	Internal Control	RNase P	RNA	HEX	5535	0	0	
A02-0445.a1	A02-0445.e1	AP64	B01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	9604	0	0	
A02-0445.a2	A02-0445.e1	AP64	B01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	9604	0	0	
A02-0445.a2.a1	A02-0445.e1	AP65	D02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	2101	0	0	
A02-0445.a2.a2	A02-0445.e1	AP65	D02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	2101	0	0	
A02-0445.a2.a3	A02-0445.e1	AP65	D02	5	Human	Internal Control	RNase P	RNA	HEX	2101	0	0	
A02-0445.a3	A02-0445.e1	AP64	B01	5	Human	Internal Control	RNase P	RNA	HEX	9604	0	0	
A02-0446.a1	A02-0446.e1	AP64	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14387	0	4.906901717	
A02-0446.a2	A02-0446.e1	AP64	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14387	0	1.63552016	
A02-0446.a3	A02-0446.e1	AP64	A02	5	Human	Internal Control	RNase P	RNA	HEX	14387	0	1.63552016	
A02-0447.a1	A02-0447.e1	AP64	D06	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13705	0	42.96041012	
A02-0447.a2	A02-0447.e1	AP64	D06	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13705	0	46.40063763	
A02-0447.a3	A02-0447.e1	AP64	D06	5	Human	Internal Control	RNase P	RNA	HEX	13705	0	20.61120987	
A02-0448.a1	A02-0448.e1	AP64	D07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14955	0	1.573400199	
A02-0448.a2	A02-0448.e1	AP64	D07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14955	0	0	
A02-0448.a3	A02-0448.e1	AP64	D07	5	Human	Internal Control	RNase P	RNA	HEX	14955	0	14.16439056	
A02-0449.a1	A02-0449.e1	AP64	E04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14629	0	0	
A02-0449.a2	A02-0449.e1	AP64	E04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14629	0	0	
A02-0449.a3	A02-0449.e1	AP64	E04	5	Human	Internal Control	RNase P	RNA	HEX	14629	0	17.69915104	
A02-0450.a1	A02-0450.e1	AP64	D08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14097	0	88.62941742	
A02-0450.a2	A02-0450.e1	AP64	D08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14097	0	65.18541336	
A02-0450.a3	A02-0450.e1	AP64	D08	5	Human	Internal Control	RNase P	RNA	HEX	14097	0	5.007855892	
A02-0451.a1	A02-0451.e1	AP64	D05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14395	0	0	
A02-0451.a2	A02-0451.e1	AP64	D05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14395	0	0	
A02-0451.a3	A02-0451.e1	AP64	D05	5	Human	Internal Control	RNase P	RNA	HEX	14395	0	16.35122538	
A02-0452.a1	A02-0452.e1	AP66	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16649	0	5.653730035	
A02-0452.a2	A02-0452.e1	AP66	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16649	0	4.240170121	
A02-0452.a3	A02-0452.e1	AP66	A02	5	Human	Internal Control	RNase P	RNA	HEX	16649	0	7.067374587	
A02-0453.a1	A02-0453.e1	AP69	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17854	0	1.317915916	
A02-0453.a2	A02-0453.e1	AP69	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17854	0	0	
A02-0453.a3	A02-0453.e1	AP69	A03	5	Human	Internal Control	RNase P	RNA	HEX	17854	0	5.272106528	
A02-0454.a1	A02-0454.e1	AP66	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	7469	0	0	
A02-0454.a2	A02-0454.e1	AP66	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	7469	0	0	
A02-0454.a2.a1	A02-0454.e1	AP68	G01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	9844	0	45.45823097	
A02-0454.a2.a2	A02-0454.e1	AP68	G01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	9844	0	9.562857747	
A02-0454.a2.a3	A02-0454.e1	AP68	G01	5	Human	Internal Control	RNase P	RNA	HEX	9844	0	0	
A02-0454.a3	A02-0454.e1	AP66	A03	5	Human	Internal Control	RNase P	RNA	HEX	7469	0	0	
A02-0455.a1	A02-0455.e1	AP66	A04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16051	0	63.11895847	
A02-0455.a2	A02-0455.e1	AP66	A04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16051	0	60.17943382	
A02-0455.a3	A02-0455.e1	AP66	A04	5	Human	Internal Control	RNase P	RNA	HEX	16051	0	24.93377209	
A02-0456.a1	A02-0456.e1	AP66	A05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	7672	0	0	
A02-0456.a2	A02-0456.e1	AP66	A05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	7672	0	0	
A02-0456.a2.a1	A02-0456.e1	AP68	G02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	5217	0	0	
A02-0456.a2.a2	A02-0456.e1	AP68	G02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	5217	0	0	
A02-0456.a2.a3	A02-0456.e1	AP68	G02	5	Human	Internal Control	RNase P	RNA	HEX	5217	0	0	
A02-0456.a3	A02-0456.e1	AP66	A05	5	Human	Internal Control	RNase P	RNA	HEX	7672	0	0	
A02-0457.a1	A02-0457.e1	AP66	D08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14634	0	0	
A02-0457.a2	A02-0457.e1	AP66	D08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14634	0	0	
A02-0457.a3	A02-0457.e1	AP66	D08	5	Human	Internal Control	RNase P	RNA	HEX	14634	0	8.040670156	
A02-0459.a1	A02-0459.e1	AP70	A04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16264	0	36.19576216	
A02-0459.a2	A02-0459.e1	AP70	A04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16264	0	36.19576216	
A02-0459.a3	A02-0459.e1	AP70	A04	5	Human	Internal Control	RNase P	RNA	HEX	16264	0	2.893612683	
A02-0460.a1	A02-0460.e1	AP69	A04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16976	0	2.772243023	
A02-0460.a2	A02-0460.e1	AP69	A04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16976	0	1.386080682	
A02-0460.a3	A02-0460.e1	AP69	A04	5	Human	Internal Control	RNase P	RNA	HEX	16976	0	8.317708969	
A02-0461.a1	A02-0461.e1	AP66	E01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13814	0	0	
A02-0461.a2	A02-0461.e1	AP66	E01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13814	0	0	
A02-0461.a2.a1	A02-0461.e1	AP68	G04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	8672	0	13.57022405	
A02-0461.a2.a2	A02-0461.e1	AP68	G04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	8672	0	21.71611786	
A02-0461.a2.a3	A02-0461.e1	AP68	G04	5	Human	Internal Control	RNase P	RNA	HEX	8672	0	19.0005064	
A02-0461.a3	A02-0461.e1	AP66	E01	5	Human	Internal Control	RNase P	RNA	HEX	13814	0	0	
A02-0462.a1	A02-0462.e1	AP69	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16961	0	0	
A02-0462.a2	A02-0462.e1	AP69	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16961	0	0	
A02-0462.a3	A02-0462.e1	AP69	A02	5	Human	Internal Control	RNase P	RNA	HEX	16961	0	9.712863564	
A02-0463.a1	A02-0463.e1	AP70	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16080	0	0	
A02-0463.a2	A02-0463.e1	AP70	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16080	0	0	
A02-0463.a3	A02-0463.e1	AP70	A03	5	Human	Internal Control	RNase P	RNA	HEX	16080	0	5.853815675	
A02-0464.a1	A02-0464.e1	AP70	B04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17448	0	17.53761768	
A02-0464.a2	A02-0464.e1	AP70	B04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17448	0	20.23687363	
A02-0464.a3	A02-0464.e1	AP70	B04	5	Human	Internal Control	RNase P	RNA	HEX	17448	0	8.092660904	
A02-0465.a1	A02-0465.e1	AP70	C01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18567	0	0	
A02-0465.a2	A02-0465.e1	AP70	C01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18567	0	2.534677684	
A02-0465.a3	A02-0465.e1	AP70	C01	5	Human	Internal Control	RNase P	RNA	HEX	18567	0	6.337205768	
A02-0466.a1	A02-0466.e1	AP70	A06	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10727	0	0	
A02-0466.a2	A02-0466.e1	AP70	A06	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10727	0	0	
A02-0466.a2.a1	A02-0466.e1	AP71	C04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	8683	0	2.709981203	
A02-0466.a2.a2	A02-0466.e1	AP71	C04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	8683	0	2.709981203	
A02-0466.a2.a3	A02-0466.e1	AP71	C04	5	Human	Internal Control	RNase P	RNA	HEX	8683	0	0	
A02-0466.a3	A02-0466.e1	AP70	A06	5	Human	Internal Control	RNase P	RNA	HEX	10727	0	0	
A02-0467.a1	A02-0467.e1	AP70	B05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17505	0	6.72172904	
A02-0467.a2	A02-0467.e1	AP70	B05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17505	0	1.344192177	
A02-0467.a3	A02-0467.e1	AP70	B05	5	Human	Internal Control	RNase P	RNA	HEX	17505	0	10.75568795	
A02-0468.a1	A02-0468.e1	AP70	B08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17411	0	0	
A02-0468.a2	A02-0468.e1	AP70	B08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17411	0	1.35144949	
A02-0468.a3	A02-0468.e1	AP70	B08	5	Human	Internal Control	RNase P	RNA	HEX	17411	0	2.702976763	
A02-0469.a1	A02-0469.e1	AP75	B01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16673	0	1.411270797	
A02-0469.a2	A02-0469.e1	AP75	B01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16673	0	0	
A02-0470.a1	A02-0470.e1	AP70	B06	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15493	0	9.11403954	
A02-0470.a2	A02-0470.e1	AP70	B06	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15493	0	0	
A02-0470.a3	A02-0470.e1	AP70	B06	5	Human	Internal Control	RNase P	RNA	HEX	15493	0	18.23161006	
A02-0471.a1	A02-0471.e1	AP70	B07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16678	0	408.4254456	
A02-0471.a2	A02-0471.e1	AP70	B07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16678	0	501.9189835	
A02-0471.a3	A02-0471.e1	AP70	B07	5	Human	Internal Control	RNase P	RNA	HEX	16678	0	9.877710342	
A02-0472.a1	A02-0472.e1	AP73	C01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14732	0	129.7271919	
A02-0472.a2	A02-0472.e1	AP73	C01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14732	0	132.9394054	
A02-0472.a3	A02-0472.e1	AP73	C01	5	Human	Internal Control	RNase P	RNA	HEX	14732	0	22.3709178	
A02-0473.a1	A02-0473.e1	AP73	C02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14759	0	7.972558737	
A02-0473.a2	A02-0473.e1	AP73	C02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14759	0	12.75739074	
A02-0473.a3	A02-0473.e1	AP73	C02	5	Human	Internal Control	RNase P	RNA	HEX	14759	0	19.1386807	
A02-0474.a1	A02-0474.e1	AP72	C08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	1837	0	0	
A02-0474.a2	A02-0474.e1	AP72	C08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	1837	0	0	
A02-0474.a3	A02-0474.e1	AP72	C08	5	Human	Internal Control	RNase P	RNA	HEX	1837	0	0	
A02-0475.a1	A02-0475.e1	AP73	B08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13902	0	939.2295837	
A02-0475.a2	A02-0475.e1	AP73	B08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13902	0	999.1951752	
A02-0475.a3	A02-0475.e1	AP73	B08	5	Human	Internal Control	RNase P	RNA	HEX	13902	0	40.65557957	
A02-0476.a1	A02-0476.e1	AP73	C03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15686	0	0	
A02-0476.a2	A02-0476.e1	AP73	C03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15686	0	1.500074118	
A02-0476.a3	A02-0476.e1	AP73	C03	5	Human	Internal Control	RNase P	RNA	HEX	15686	0	30.01966476	
A02-0477.a1	A02-0477.e1	AP75	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15418	0	728.4269714	
A02-0477.a2	A02-0477.e1	AP75	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15418	0	783.5845184	
A02-0478.a1	A02-0478.e1	AP74	C08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14886	0	77.57912636	
A02-0478.a2	A02-0478.e1	AP74	C08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14886	0	90.26943207	
A02-0478.a3	A02-0478.e1	AP74	C08	5	Human	Internal Control	RNase P	RNA	HEX	14886	0	14.23006535	
A02-0479.a1	A02-0479.e1	AP74	C03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14493	0	14.6160543	
A02-0479.a2	A02-0479.e1	AP74	C03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14493	0	11.36725783	
A02-0479.a3	A02-0479.e1	AP74	C03	5	Human	Internal Control	RNase P	RNA	HEX	14493	0	17.86530018	
A02-0481.a1	A02-0481.e1	AP74	C07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16551	0	0	
A02-0481.a2	A02-0481.e1	AP74	C07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16551	0	0	
A02-0481.a3	A02-0481.e1	AP74	C07	5	Human	Internal Control	RNase P	RNA	HEX	16551	0	11.37579679	
A02-0484.a1	A02-0484.e1	AP75	B03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	6613	0	0	
A02-0484.a2	A02-0484.e1	AP75	B03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	6613	0	0	
A02-0484.a2.a1	A02-0484.e1	AP77	F03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	5450	0	0	
A02-0484.a2.a2	A02-0484.e1	AP77	F03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	5450	0	0	
A02-0484.a2.a3	A02-0484.e1	AP77	F03	5	Human	Internal Control	RNase P	RNA	HEX	5450	0	0	
A02-0485.a1	A02-0485.e1	AP75	B02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17124	0	151.6342068	
A02-0485.a2	A02-0485.e1	AP75	B02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17124	0	166.8515205	
A02-0487.a1	A02-0487.e1	AP75	A06	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18064	0	40.41399002	
A02-0487.a2	A02-0487.e1	AP75	A06	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18064	0	52.16010094	
A02-0488.a1	A02-0488.e1	AP77	A04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15815	0	14.88261461	
A02-0488.a2	A02-0488.e1	AP77	A04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15815	0	13.393929	
A02-0488.a3	A02-0488.e1	AP77	A04	5	Human	Internal Control	RNase P	RNA	HEX	15815	0	2.975769639	
A02-0489.a1	A02-0489.e1	AP77	A05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15141	0	29.54491615	
A02-0489.a2	A02-0489.e1	AP77	A05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15141	0	27.98899412	
A02-0489.a3	A02-0489.e1	AP77	A05	5	Human	Internal Control	RNase P	RNA	HEX	15141	0	4.662520885	
A02-0490.a1	A02-0490.e1	AP79	A05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM		0		
A02-0490.a2	A02-0490.e1	AP79	A05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX		0		
A02-0490.a2.a1	A02-0490.e1	AP80	F07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	4929	0	0	
A02-0490.a2.a2	A02-0490.e1	AP80	F07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	4929	0	0	
A02-0490.a2.a3	A02-0490.e1	AP80	F07	5	Human	Internal Control	RNase P	RNA	HEX	4929	0	0	
A02-0491.a1	A02-0491.e1	AP77	A06	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16704	0	1.40865162	
A02-0491.a2	A02-0491.e1	AP77	A06	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16704	0	2.817387581	
A02-0491.a3	A02-0491.e1	AP77	A06	5	Human	Internal Control	RNase P	RNA	HEX	16704	0	0	
A02-0492.a1	A02-0492.e1	AP77	A07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16489	0	29.9856019	
A02-0492.a2	A02-0492.e1	AP77	A07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16489	0	25.69960356	
A02-0492.a3	A02-0492.e1	AP77	A07	5	Human	Internal Control	RNase P	RNA	HEX	16489	0	2.854125798	
A02-0493.a1	A02-0493.e1	AP77	E07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14311	0	26.32109642	
A02-0493.a2	A02-0493.e1	AP77	E07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14311	0	34.55247879	
A02-0493.a3	A02-0493.e1	AP77	E07	5	Human	Internal Control	RNase P	RNA	HEX	14311	0	1.644206196	
A02-0494.a1	A02-0494.e1	AP77	F02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12513	0	314.2349434	
A02-0494.a2	A02-0494.e1	AP77	F02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12513	0	243.8302803	
