assay_id	extraction_id	assay_template	assay_type	assay_target_macromolecule	assay_target_fluorophore	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment	sample_id	assay_batch_id	assay_location_in_batch	assay_accepted_droplets	assay_target	assay_target_genetic_locus	assay_input_ul	assay_class
A02-1087.a3	A02-1087.e1	sample	sample	RNA	HEX	0	3.204334736		A02-1087	AP180	E07	15707	Homo sapiens	RNase P	5	unknown
A02-1088.a1	A02-1088.e1	sample	sample	RNA	FAM	0	4.877796173		A02-1088	AP180	F07	12384	SARS-CoV-2	N1:SARS	5	unknown
A02-1088.a2	A02-1088.e1	sample	sample	RNA	FAM/HEX	0	0.406302452		A02-1088	AP180	F07	12384	SARS-CoV-2	N2:SARS	5	unknown
A02-1088.a3	A02-1088.e1	sample	sample	RNA	HEX	0	8.946241379		A02-1088	AP180	F07	12384	Homo sapiens	RNase P	5	unknown
A02-1089.a1	A02-1089.e1	sample	sample	RNA	FAM	0	3.237322569		A02-1089	AP180	H06	15547	SARS-CoV-2	N1:SARS	5	unknown
A02-1089.a2	A02-1089.e1	sample	sample	RNA	FAM/HEX	0	1.942143559		A02-1089	AP180	H06	15547	SARS-CoV-2	N2:SARS	5	unknown
A02-1089.a3	A02-1089.e1	sample	sample	RNA	HEX	0	1.942143559		A02-1089	AP180	H06	15547	Homo sapiens	RNase P	5	unknown
A02-1090.a1	A02-1090.e1	sample	sample	RNA	FAM	0	88.28833771		A02-1090	AP184	C01	17707	SARS-CoV-2	N1:SARS	5	unknown
A02-1090.a2	A02-1090.e1	sample	sample	RNA	FAM/HEX	0	91.18096924		A02-1090	AP184	C01	17707	SARS-CoV-2	N2:SARS	5	unknown
A02-1090.a3	A02-1090.e1	sample	sample	RNA	HEX	0	3.126622677		A02-1090	AP184	C01	17707	Homo sapiens	RNase P	5	unknown
A02-1091.a1	A02-1091.e1	sample	sample	RNA	FAM	0	1.101033211		A02-1091	AP184	D01	18281	SARS-CoV-2	N1:SARS	5	unknown
A02-1091.a2	A02-1091.e1	sample	sample	RNA	FAM/HEX	0	0.825752318		A02-1091	AP184	D01	18281	SARS-CoV-2	N2:SARS	5	unknown
A02-1091.a3	A02-1091.e1	sample	sample	RNA	HEX	0	0.550486505		A02-1091	AP184	D01	18281	Homo sapiens	RNase P	5	unknown
A02-1092.a1	A02-1092.e1	sample	sample	RNA	FAM	0	1.867203474		A02-1092	AP184	E01	18866	SARS-CoV-2	N1:SARS	5	unknown
A02-1092.a2	A02-1092.e1	sample	sample	RNA	FAM/HEX	0	1.33364594		A02-1092	AP184	E01	18866	SARS-CoV-2	N2:SARS	5	unknown
A02-1092.a3	A02-1092.e1	sample	sample	RNA	HEX	0	3.735100269		A02-1092	AP184	E01	18866	Homo sapiens	RNase P	5	unknown
A02-1093.a1	A02-1093.e1	sample	sample	RNA	FAM	0	3.100567818		A02-1093	AP184	F01	6493	SARS-CoV-2	N1:SARS	5	unknown
A02-1093.a2	A02-1093.e1	sample	sample	RNA	FAM	0	4.286642551		A02-1093	AP187	D09	4697	SARS-CoV-2	N1:SARS	5	unknown
A02-1093.a3	A02-1093.e1	sample	sample	RNA	FAM/HEX	0	2.325246811		A02-1093	AP184	F01	6493	SARS-CoV-2	N2:SARS	5	unknown
A02-1093.a4	A02-1093.e1	sample	sample	RNA	FAM/HEX	0	2.142864943		A02-1093	AP187	D09	4697	SARS-CoV-2	N2:SARS	5	unknown
A02-1093.a5	A02-1093.e1	sample	sample	RNA	HEX	0	0.774962842		A02-1093	AP184	F01	6493	Homo sapiens	RNase P	5	unknown
A02-1093.a6	A02-1093.e1	sample	sample	RNA	HEX	0	3.214639664		A02-1093	AP187	D09	4697	Homo sapiens	RNase P	5	unknown
A02-1094.a1	A02-1094.e1	sample	sample	RNA	FAM	0	3.332083702		A02-1094	AP184	G01	18126	SARS-CoV-2	N1:SARS	5	unknown
A02-1094.a2	A02-1094.e1	sample	sample	RNA	FAM/HEX	0	4.443269253		A02-1094	AP184	G01	18126	SARS-CoV-2	N2:SARS	5	unknown
A02-1094.a3	A02-1094.e1	sample	sample	RNA	HEX	0	4.443269253		A02-1094	AP184	G01	18126	Homo sapiens	RNase P	5	unknown
A02-1095.a1	A02-1095.e1	sample	sample	RNA	FAM	0	98.25841522		A02-1095	AP184	C05	19649	SARS-CoV-2	N1:SARS	5	unknown
A02-1095.a2	A02-1095.e1	sample	sample	RNA	FAM/HEX	0	101.9153671		A02-1095	AP184	C05	19649	SARS-CoV-2	N2:SARS	5	unknown
A02-1095.a3	A02-1095.e1	sample	sample	RNA	HEX	0	4.611305714		A02-1095	AP184	C05	19649	Homo sapiens	RNase P	5	unknown
A02-1096.a1	A02-1096.e1	sample	sample	RNA	FAM	0	0.819520593		A02-1096	AP184	D05	18420	SARS-CoV-2	N1:SARS	5	unknown
A02-1096.a2	A02-1096.e1	sample	sample	RNA	FAM/HEX	0	1.365941763		A02-1096	AP184	D05	18420	SARS-CoV-2	N2:SARS	5	unknown
A02-1096.a3	A02-1096.e1	sample	sample	RNA	HEX	0	0.819520593		A02-1096	AP184	D05	18420	Homo sapiens	RNase P	5	unknown
A02-1097.a1	A02-1097.e1	sample	sample	RNA	FAM	0	0		A02-1097	AP184	A06	16132	SARS-CoV-2	N1:SARS	5	unknown
A02-1097.a2	A02-1097.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1097	AP184	A06	16132	SARS-CoV-2	N2:SARS	5	unknown
A02-1097.a3	A02-1097.e1	sample	sample	RNA	HEX	0	9.990466118		A02-1097	AP184	A06	16132	Homo sapiens	RNase P	5	unknown
A02-1098.a1	A02-1098.e1	sample	sample	RNA	FAM	0	5.234728813		A02-1098	AP184	B06	14425	SARS-CoV-2	N1:SARS	5	unknown
A02-1098.a2	A02-1098.e1	sample	sample	RNA	FAM/HEX	0	2.093238115		A02-1098	AP184	B06	14425	SARS-CoV-2	N2:SARS	5	unknown
A02-1098.a3	A02-1098.e1	sample	sample	RNA	HEX	0	0.69764924		A02-1098	AP184	B06	14425	Homo sapiens	RNase P	5	unknown
A02-1099.a1	A02-1099.e1	sample	sample	RNA	FAM	0	0.896365106		A02-1099	AP184	E06	16841	SARS-CoV-2	N1:SARS	5	unknown
A02-1099.a2	A02-1099.e1	sample	sample	RNA	FAM/HEX	0	1.792889833		A02-1099	AP184	E06	16841	SARS-CoV-2	N2:SARS	5	unknown
A02-1099.a3	A02-1099.e1	sample	sample	RNA	HEX	0	8.671559334		A02-1099	AP184	E06	16841	Homo sapiens	RNase P	5	unknown
A02-1100.a1	A02-1100.e1	sample	sample	RNA	FAM	0	6.015907288		A02-1100	AP184	F06	17574	SARS-CoV-2	N1:SARS	5	unknown
A02-1100.a2	A02-1100.e1	sample	sample	RNA	FAM/HEX	0	5.156051159		A02-1100	AP184	F06	17574	SARS-CoV-2	N2:SARS	5	unknown
A02-1100.a3	A02-1100.e1	sample	sample	RNA	HEX	0	11.752038		A02-1100	AP184	F06	17574	Homo sapiens	RNase P	5	unknown
A02-1101.a1	A02-1101.e1	sample	sample	RNA	FAM	0	1.141694307		A02-1101	AP184	G06	17630	SARS-CoV-2	N1:SARS	5	unknown
A02-1101.a2	A02-1101.e1	sample	sample	RNA	FAM/HEX	0	1.427158237		A02-1101	AP184	G06	17630	SARS-CoV-2	N2:SARS	5	unknown
A02-1101.a3	A02-1101.e1	sample	sample	RNA	HEX	0	3.425860167		A02-1101	AP184	G06	17630	Homo sapiens	RNase P	5	unknown
A02-1102.a1	A02-1102.e1	sample	sample	RNA	FAM	0	10.39197636		A02-1102	AP187	D08	17448	SARS-CoV-2	N1:SARS	5	unknown
A02-1102.a2	A02-1102.e1	sample	sample	RNA	FAM/HEX	0	10.68094826		A02-1102	AP187	D08	17448	SARS-CoV-2	N2:SARS	5	unknown
A02-1102.a3	A02-1102.e1	sample	sample	RNA	HEX	0	8.080792427		A02-1102	AP187	D08	17448	Homo sapiens	RNase P	5	unknown
A02-1103.a1	A02-1103.e1	sample	sample	RNA	FAM	0	1.14221251		A02-1103	AP187	E08	17622	SARS-CoV-2	N1:SARS	5	unknown
A02-1103.a2	A02-1103.e1	sample	sample	RNA	FAM/HEX	0	1.14221251		A02-1103	AP187	E08	17622	SARS-CoV-2	N2:SARS	5	unknown
A02-1103.a3	A02-1103.e1	sample	sample	RNA	HEX	0	1.713416219		A02-1103	AP187	E08	17622	Homo sapiens	RNase P	5	unknown
A02-1104.a1	A02-1104.e1	sample	sample	RNA	FAM	0	0		A02-1104	AP187	F08	18198	SARS-CoV-2	N1:SARS	5	unknown
A02-1104.a2	A02-1104.e1	sample	sample	RNA	FAM/HEX	0	0.829518795		A02-1104	AP187	F08	18198	SARS-CoV-2	N2:SARS	5	unknown
A02-1104.a3	A02-1104.e1	sample	sample	RNA	HEX	0	8.578296661		A02-1104	AP187	F08	18198	Homo sapiens	RNase P	5	unknown
A02-1105.a1	A02-1105.e1	sample	sample	RNA	FAM	0	1.064818859		A02-1105	AP187	G08	14177	SARS-CoV-2	N1:SARS	5	unknown
A02-1105.a2	A02-1105.e1	sample	sample	RNA	FAM/HEX	0	1.419808507		A02-1105	AP187	G08	14177	SARS-CoV-2	N2:SARS	5	unknown
A02-1105.a3	A02-1105.e1	sample	sample	RNA	HEX	0	2.484927893		A02-1105	AP187	G08	14177	Homo sapiens	RNase P	5	unknown
A02-1106.a1	A02-1106.e1	sample	sample	RNA	FAM	0	28.09910011		A02-1106	AP187	H08	17597	SARS-CoV-2	N1:SARS	5	unknown
A02-1106.a2	A02-1106.e1	sample	sample	RNA	FAM/HEX	0	25.22464561		A02-1106	AP187	H08	17597	SARS-CoV-2	N2:SARS	5	unknown
A02-1106.a3	A02-1106.e1	sample	sample	RNA	HEX	0	25.5120182		A02-1106	AP187	H08	17597	Homo sapiens	RNase P	5	unknown
A02-1107.a1	A02-1107.e1	sample	sample	RNA	FAM	0	27.93082809		A02-1107	AP187	A09	18064	SARS-CoV-2	N1:SARS	5	unknown
A02-1107.a2	A02-1107.e1	sample	sample	RNA	FAM/HEX	0	23.17163467		A02-1107	AP187	A09	18064	SARS-CoV-2	N2:SARS	5	unknown
A02-1107.a3	A02-1107.e1	sample	sample	RNA	HEX	0	15.06338692		A02-1107	AP187	A09	18064	Homo sapiens	RNase P	5	unknown
A02-1108.a1	A02-1108.e1	sample	sample	RNA	FAM	0	0.311111242		A02-1108	AP190	A01	16173	SARS-CoV-2	N1:SARS	5	unknown
A02-1108.a2	A02-1108.e1	sample	sample	RNA	FAM/HEX	0	1.866955996		A02-1108	AP190	A01	16173	SARS-CoV-2	N2:SARS	5	unknown
A02-1108.a3	A02-1108.e1	sample	sample	RNA	HEX	0	1.244560361		A02-1108	AP190	A01	16173	Homo sapiens	RNase P	5	unknown
A02-1109.a1	A02-1109.e1	sample	sample	RNA	FAM	0	0		A02-1109	AP190	B01	18716	SARS-CoV-2	N1:SARS	5	unknown
A02-1109.a2	A02-1109.e1	sample	sample	RNA	FAM/HEX	0	0.80655849		A02-1109	AP190	B01	18716	SARS-CoV-2	N2:SARS	5	unknown
A02-1109.a3	A02-1109.e1	sample	sample	RNA	HEX	0	13.45955086		A02-1109	AP190	B01	18716	Homo sapiens	RNase P	5	unknown
A02-1110.a1	A02-1110.e1	sample	sample	RNA	FAM	0	5.084837914		A02-1110	AP190	C01	17820	SARS-CoV-2	N1:SARS	5	unknown
A02-1110.a2	A02-1110.e1	sample	sample	RNA	FAM/HEX	0	5.367479801		A02-1110	AP190	C01	17820	SARS-CoV-2	N2:SARS	5	unknown
A02-1110.a3	A02-1110.e1	sample	sample	RNA	HEX	0	6.780926228		A02-1110	AP190	C01	17820	Homo sapiens	RNase P	5	unknown
A02-1111.a1	A02-1111.e1	sample	sample	RNA	FAM	0	3.018135071		A02-1111	AP190	D01	11673	SARS-CoV-2	N1:SARS	5	unknown
A02-1111.a2	A02-1111.e1	sample	sample	RNA	FAM/HEX	0	1.724426866		A02-1111	AP190	D01	11673	SARS-CoV-2	N2:SARS	5	unknown
A02-1111.a3	A02-1111.e1	sample	sample	RNA	HEX	0	4.312175751		A02-1111	AP190	D01	11673	Homo sapiens	RNase P	5	unknown
A02-1112.a1	A02-1112.e1	sample	sample	RNA	FAM	0	0.289554656		A02-1112	AP190	E01	17377	SARS-CoV-2	N1:SARS	5	unknown
A02-1112.a2	A02-1112.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1112	AP190	E01	17377	SARS-CoV-2	N2:SARS	5	unknown
A02-1112.a3	A02-1112.e1	sample	sample	RNA	HEX	0	8.983952522		A02-1112	AP190	E01	17377	Homo sapiens	RNase P	5	unknown
A02-1113.a1	A02-1113.e1	sample	sample	RNA	FAM	0	1.741487026		A02-1113	AP191	D01	17338	SARS-CoV-2	N1:SARS	5	unknown
A02-1113.a2	A02-1113.e1	sample	sample	RNA	FAM/HEX	0	3.483577251		A02-1113	AP191	D01	17338	SARS-CoV-2	N2:SARS	5	unknown
A02-1113.a3	A02-1113.e1	sample	sample	RNA	HEX	0	7.260175705		A02-1113	AP191	D01	17338	Homo sapiens	RNase P	5	unknown
A02-1114.a1	A02-1114.e1	sample	sample	RNA	FAM	0	10.77223206		A02-1114	AP190	F01	15430	SARS-CoV-2	N1:SARS	5	unknown
A02-1114.a2	A02-1114.e1	sample	sample	RNA	FAM/HEX	0	8.811927795		A02-1114	AP190	F01	15430	SARS-CoV-2	N2:SARS	5	unknown
A02-1114.a3	A02-1114.e1	sample	sample	RNA	HEX	0	15.02217865		A02-1114	AP190	F01	15430	Homo sapiens	RNase P	5	unknown
A02-1115.a1	A02-1115.e1	sample	sample	RNA	FAM	0	0.318294883		A02-1115	AP191	E01	15808	SARS-CoV-2	N1:SARS	5	unknown
A02-1115.a2	A02-1115.e1	sample	sample	RNA	FAM/HEX	0	0.318294883		A02-1115	AP191	E01	15808	SARS-CoV-2	N2:SARS	5	unknown
A02-1115.a3	A02-1115.e1	sample	sample	RNA	HEX	0	3.502351761		A02-1115	AP191	E01	15808	Homo sapiens	RNase P	5	unknown
A02-1116.a1	A02-1116.e1	sample	sample	RNA	FAM	0	6.211314678		A02-1116	AP190	G01	17832	SARS-CoV-2	N1:SARS	5	unknown
A02-1116.a2	A02-1116.e1	sample	sample	RNA	FAM/HEX	0	7.058906555		A02-1116	AP190	G01	17832	SARS-CoV-2	N2:SARS	5	unknown
A02-1116.a3	A02-1116.e1	sample	sample	RNA	HEX	0	60.74711609		A02-1116	AP190	G01	17832	Homo sapiens	RNase P	5	unknown
A02-1117.a1	A02-1117.e1	sample	sample	RNA	FAM	0	0.565299332		A02-1117	AP191	F01	17802	SARS-CoV-2	N1:SARS	5	unknown
A02-1117.a2	A02-1117.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1117	AP191	F01	17802	SARS-CoV-2	N2:SARS	5	unknown
A02-1117.a3	A02-1117.e1	sample	sample	RNA	HEX	0	4.524173737		A02-1117	AP191	F01	17802	Homo sapiens	RNase P	5	unknown
A02-1118.a1	A02-1118.e1	sample	sample	RNA	FAM	0	20.0473175		A02-1118	AP191	G01	17855	SARS-CoV-2	N1:SARS	5	unknown
A02-1118.a2	A02-1118.e1	sample	sample	RNA	FAM/HEX	0	21.17912292		A02-1118	AP191	G01	17855	SARS-CoV-2	N2:SARS	5	unknown
A02-1118.a3	A02-1118.e1	sample	sample	RNA	HEX	0	19.48151016		A02-1118	AP191	G01	17855	Homo sapiens	RNase P	5	unknown
A02-1119.a1	A02-1119.e1	sample	sample	RNA	FAM	0	0		A02-1119	AP191	H01	17708	SARS-CoV-2	N1:SARS	5	unknown
A02-1119.a2	A02-1119.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1119	AP191	H01	17708	SARS-CoV-2	N2:SARS	5	unknown
A02-1119.a3	A02-1119.e1	sample	sample	RNA	HEX	0	2.557856798		A02-1119	AP191	H01	17708	Homo sapiens	RNase P	5	unknown
A02-1120.a1	A02-1120.e1	sample	sample	RNA	FAM	0	5.259352207		A02-1120	AP191	A02	17229	SARS-CoV-2	N1:SARS	5	unknown
A02-1120.a2	A02-1120.e1	sample	sample	RNA	FAM/HEX	0	4.967021465		A02-1120	AP191	A02	17229	SARS-CoV-2	N2:SARS	5	unknown
A02-1120.a3	A02-1120.e1	sample	sample	RNA	HEX	0	1.460379839		A02-1120	AP191	A02	17229	Homo sapiens	RNase P	5	unknown
A02-1121.a1	A02-1121.e1	sample	sample	RNA	FAM	0	384.0752563		A02-1121	AP191	B02	17117	SARS-CoV-2	N1:SARS	5	unknown
A02-1121.a2	A02-1121.e1	sample	sample	RNA	FAM/HEX	0	432.5315552		A02-1121	AP191	B02	17117	SARS-CoV-2	N2:SARS	5	unknown
A02-1121.a3	A02-1121.e1	sample	sample	RNA	HEX	0	4.999537945		A02-1121	AP191	B02	17117	Homo sapiens	RNase P	5	unknown
A02-1122.a1	A02-1122.e1	sample	sample	RNA	FAM	0	3.771295309		A02-1122	AP191	C02	18685	SARS-CoV-2	N1:SARS	5	unknown
A02-1122.a2	A02-1122.e1	sample	sample	RNA	FAM/HEX	0	4.040781498		A02-1122	AP191	C02	18685	SARS-CoV-2	N2:SARS	5	unknown
A02-1122.a3	A02-1122.e1	sample	sample	RNA	HEX	0	3.501823187		A02-1122	AP191	C02	18685	Homo sapiens	RNase P	5	unknown
A02-1123.a1	A02-1123.e1	sample	sample	RNA	FAM	0	0		A02-1123	AP191	D02	18101	SARS-CoV-2	N1:SARS	5	unknown
A02-1123.a2	A02-1123.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1123	AP191	D02	18101	SARS-CoV-2	N2:SARS	5	unknown
A02-1123.a3	A02-1123.e1	sample	sample	RNA	HEX	0	3.893017292		A02-1123	AP191	D02	18101	Homo sapiens	RNase P	5	unknown
A02-1124.a1	A02-1124.e1	sample	sample	RNA	FAM	0	0.566508651		A02-1124	AP195	A04	17764	SARS-CoV-2	N1:SARS	5	unknown
A02-1124.a2	A02-1124.e1	sample	sample	RNA	FAM/HEX	0	1.699717283		A02-1124	AP195	A04	17764	SARS-CoV-2	N2:SARS	5	unknown
A02-1124.a3	A02-1124.e1	sample	sample	RNA	HEX	0	0.566508651		A02-1124	AP195	A04	17764	Homo sapiens	RNase P	5	unknown
A02-1125.a1	A02-1125.e1	sample	sample	RNA	FAM	0	0		A02-1125	AP191	E02	18043	SARS-CoV-2	N1:SARS	5	unknown
A02-1125.a2	A02-1125.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1125	AP191	E02	18043	SARS-CoV-2	N2:SARS	5	unknown
A02-1125.a3	A02-1125.e1	sample	sample	RNA	HEX	0	2.510353804		A02-1125	AP191	E02	18043	Homo sapiens	RNase P	5	unknown
A02-1126.a1	A02-1126.e1	sample	sample	RNA	FAM	0	0		A02-1126	AP191	F02	16462	SARS-CoV-2	N1:SARS	5	unknown
A02-1126.a2	A02-1126.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1126	AP191	F02	16462	SARS-CoV-2	N2:SARS	5	unknown
A02-1126.a3	A02-1126.e1	sample	sample	RNA	HEX	0	2.445714712		A02-1126	AP191	F02	16462	Homo sapiens	RNase P	5	unknown
A02-1127.a1	A02-1127.e1	sample	sample	RNA	FAM	0	0.272448719		A02-1127	AP191	G02	18468	SARS-CoV-2	N1:SARS	5	unknown
A02-1127.a2	A02-1127.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1127	AP191	G02	18468	SARS-CoV-2	N2:SARS	5	unknown
A02-1127.a3	A02-1127.e1	sample	sample	RNA	HEX	0	0.817390382		A02-1127	AP191	G02	18468	Homo sapiens	RNase P	5	unknown
A02-1128.a1	A02-1128.e1	sample	sample	RNA	FAM	0	9.233073235		A02-1128	AP191	H02	17454	SARS-CoV-2	N1:SARS	5	unknown
A02-1128.a2	A02-1128.e1	sample	sample	RNA	FAM/HEX	0	7.500580788		A02-1128	AP191	H02	17454	SARS-CoV-2	N2:SARS	5	unknown
A02-1128.a3	A02-1128.e1	sample	sample	RNA	HEX	0	12.12188721		A02-1128	AP191	H02	17454	Homo sapiens	RNase P	5	unknown
A02-1129.a1	A02-1129.e1	sample	sample	RNA	FAM	0	9.477574348		A02-1129	AP195	E04	15410	SARS-CoV-2	N1:SARS	5	unknown
A02-1129.a2	A02-1129.e1	sample	sample	RNA	FAM/HEX	0	8.496306419		A02-1129	AP195	E04	15410	SARS-CoV-2	N2:SARS	5	unknown
A02-1129.a3	A02-1129.e1	sample	sample	RNA	HEX	0	3.266112804		A02-1129	AP195	E04	15410	Homo sapiens	RNase P	5	unknown
A02-1130.a1	A02-1130.e1	sample	sample	RNA	FAM	0	0.914836168		A02-1130	AP195	E05	16501	SARS-CoV-2	N1:SARS	5	unknown
A02-1130.a2	A02-1130.e1	sample	sample	RNA	FAM/HEX	0	0.304926902		A02-1130	AP195	E05	16501	SARS-CoV-2	N2:SARS	5	unknown
A02-1130.a3	A02-1130.e1	sample	sample	RNA	HEX	0	0		A02-1130	AP195	E05	16501	Homo sapiens	RNase P	5	unknown
A02-1131.a1	A02-1131.e1	sample	sample	RNA	FAM	0	0		A02-1131	AP195	C04	16967	SARS-CoV-2	N1:SARS	5	unknown
A02-1131.a2	A02-1131.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1131	AP195	C04	16967	SARS-CoV-2	N2:SARS	5	unknown
A02-1131.a3	A02-1131.e1	sample	sample	RNA	HEX	0	3.263031721		A02-1131	AP195	C04	16967	Homo sapiens	RNase P	5	unknown
A02-1132.a1	A02-1132.e1	sample	sample	RNA	FAM	0	143.0807037		A02-1132	AP195	A05	14909	SARS-CoV-2	N1:SARS	5	unknown
A02-1132.a2	A02-1132.e1	sample	sample	RNA	FAM/HEX	0	89.54866028		A02-1132	AP195	A05	14909	SARS-CoV-2	N2:SARS	5	unknown
A02-1132.a3	A02-1132.e1	sample	sample	RNA	HEX	0	0.337488443		A02-1132	AP195	A05	14909	Homo sapiens	RNase P	5	unknown
A02-1133.a1	A02-1133.e1	sample	sample	RNA	FAM	0	0		A02-1133	AP195	D04	16959	SARS-CoV-2	N1:SARS	5	unknown
A02-1133.a2	A02-1133.e1	sample	sample	RNA	FAM/HEX	0	0.296691716		A02-1133	AP195	D04	16959	SARS-CoV-2	N2:SARS	5	unknown
A02-1133.a3	A02-1133.e1	sample	sample	RNA	HEX	0	5.046139717		A02-1133	AP195	D04	16959	Homo sapiens	RNase P	5	unknown
A02-1134.a1	A02-1134.e1	sample	sample	RNA	FAM	0	2.421584129		A02-1134	AP195	B06	16626	SARS-CoV-2	N1:SARS	5	unknown
A02-1134.a2	A02-1134.e1	sample	sample	RNA	FAM/HEX	0	4.238537312		A02-1134	AP195	B06	16626	SARS-CoV-2	N2:SARS	5	unknown
A02-1134.a3	A02-1134.e1	sample	sample	RNA	HEX	0	2.421584129		A02-1134	AP195	B06	16626	Homo sapiens	RNase P	5	unknown
A02-1135.a1	A02-1135.e1	sample	sample	RNA	FAM	0	0		A02-1135	AP195	B05	15684	SARS-CoV-2	N1:SARS	5	unknown
A02-1135.a2	A02-1135.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1135	AP195	B05	15684	SARS-CoV-2	N2:SARS	5	unknown
A02-1135.a3	A02-1135.e1	sample	sample	RNA	HEX	0	0		A02-1135	AP195	B05	15684	Homo sapiens	RNase P	5	unknown
A02-1136.a1	A02-1136.e1	sample	sample	RNA	FAM	0	0		A02-1136	AP195	D06	15201	SARS-CoV-2	N1:SARS	5	unknown
A02-1136.a2	A02-1136.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1136	AP195	D06	15201	SARS-CoV-2	N2:SARS	5	unknown
A02-1136.a3	A02-1136.e1	sample	sample	RNA	HEX	0	13.9210062		A02-1136	AP195	D06	15201	Homo sapiens	RNase P	5	unknown
A02-1137.a1	A02-1137.e1	sample	sample	RNA	FAM	0	0		A02-1137	AP195	E06	14997	SARS-CoV-2	N1:SARS	5	unknown
A02-1137.a2	A02-1137.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1137	AP195	E06	14997	SARS-CoV-2	N2:SARS	5	unknown
A02-1137.a3	A02-1137.e1	sample	sample	RNA	HEX	0	4.699150085		A02-1137	AP195	E06	14997	Homo sapiens	RNase P	5	unknown
A02-1138.a1	A02-1138.e1	sample	sample	RNA	FAM	0	0		A02-1138	AP195	C06	17431	SARS-CoV-2	N1:SARS	5	unknown
A02-1138.a2	A02-1138.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1138	AP195	C06	17431	SARS-CoV-2	N2:SARS	5	unknown
A02-1138.a3	A02-1138.e1	sample	sample	RNA	HEX	0	0		A02-1138	AP195	C06	17431	Homo sapiens	RNase P	5	unknown
A02-1139.a1	A02-1139.e1	sample	sample	RNA	FAM	0	1.094506502		A02-1139	AP195	H05	18390	SARS-CoV-2	N1:SARS	5	unknown
A02-1139.a2	A02-1139.e1	sample	sample	RNA	FAM/HEX	0	0.273604304		A02-1139	AP195	H05	18390	SARS-CoV-2	N2:SARS	5	unknown
A02-1139.a3	A02-1139.e1	sample	sample	RNA	HEX	0	17.81529999		A02-1139	AP195	H05	18390	Homo sapiens	RNase P	5	unknown
A02-1140.a1	A02-1140.e1	sample	sample	RNA	FAM	0	785.5053101		A02-1140	AP198	D07	16272	SARS-CoV-2	N1:SARS	5	unknown
A02-1140.a2	A02-1140.e1	sample	sample	RNA	FAM/HEX	0	797.0852051		A02-1140	AP198	D07	16272	SARS-CoV-2	N2:SARS	5	unknown
A02-1140.a3	A02-1140.e1	sample	sample	RNA	HEX	0	9.59461689		A02-1140	AP198	D07	16272	Homo sapiens	RNase P	5	unknown
A02-1141.a1	A02-1141.e1	sample	sample	RNA	FAM	0	4.534622192		A02-1141	AP198	E07	17761	SARS-CoV-2	N1:SARS	5	unknown
A02-1141.a2	A02-1141.e1	sample	sample	RNA	FAM/HEX	0	3.684069157		A02-1141	AP198	E07	17761	SARS-CoV-2	N2:SARS	5	unknown
A02-1141.a3	A02-1141.e1	sample	sample	RNA	HEX	0	1.700004458		A02-1141	AP198	E07	17761	Homo sapiens	RNase P	5	unknown
A02-1142.a1	A02-1142.e1	sample	sample	RNA	FAM	0	0.904204607		A02-1142	AP198	F07	16695	SARS-CoV-2	N1:SARS	5	unknown
A02-1142.a2	A02-1142.e1	sample	sample	RNA	FAM/HEX	0	0		A02-1142	AP198	F07	16695	SARS-CoV-2	N2:SARS	5	unknown
A02-1142.a3	A02-1142.e1	sample	sample	RNA	HEX	0	8.445568085		A02-1142	AP198	F07	16695	Homo sapiens	RNase P	5	unknown
A02-1143.a1	A02-1143.e1	sample	sample	RNA	FAM	0	1.46131289		A02-1143	AP198	G07	17218	SARS-CoV-2	N1:SARS	5	unknown
A02-1143.a2	A02-1143.e1	sample	sample	RNA	FAM/HEX	0	0.584474266		A02-1143	AP198	G07	17218	SARS-CoV-2	N2:SARS	5	unknown
A02-1143.a3	A02-1143.e1	sample	sample	RNA	HEX	0	16.09783363		A02-1143	AP198	G07	17218	Homo sapiens	RNase P	5	unknown
A02-1144.a1	A02-1144.e1	sample	sample	RNA	FAM	0	11.57985878		A02-1144	AP198	H07	18270	SARS-CoV-2	N1:SARS	5	unknown
A02-1144.a2	A02-1144.e1	sample	sample	RNA	FAM/HEX	0	9.648030281		A02-1144	AP198	H07	18270	SARS-CoV-2	N2:SARS	5	unknown
A02-1144.a3	A02-1144.e1	sample	sample	RNA	HEX	0	8.26860714		A02-1144	AP198	H07	18270	Homo sapiens	RNase P	5	unknown
A02-1145.a1	A02-1145.e1	sample	sample	RNA	FAM	0	0.297322869		A02-1145	AP198	A08	16923	SARS-CoV-2	N1:SARS	5	unknown
