control_id	control_batch_id	control_type	control_location_in_batch	control_input_ul	control_template	control_macromolecule	control_fluorophore	control_accepted_droplets	control_calculated_copies_per_ul_reaction	control_copies_per_ul_reaction	control_comment
AP16.b2	AP16	PCR Positive		5	LV-SARS_N	RNA	FAM			1040.980072	
AP0.3.b2	AP0.3	PCR Positive		5	LV-SARS_N	RNA	FAM			1047.2155	
AP0.3.b4	AP0.3	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1082.352142	
AP22.b2	AP22	PCR Positive		5	LV-SARS_N	RNA	FAM			1092.976303	
AP10.b2	AP10	PCR Positive		5	LV-SARS_N	RNA	FAM			1097.667847	
AP21.b2	AP21	PCR Positive		5	LV-SARS_N	RNA	FAM			1109.141006	
AP23.b4	AP23	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1109.431686	
AP19.b2	AP19	PCR Positive		5	LV-SARS_N	RNA	FAM			1166.6	
AP20.b2	AP20	PCR Positive		5	LV-SARS_N	RNA	FAM			1193.4	
AP10.b4	AP10	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1200.682373	
AP16.b4	AP16	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1205.935364	
AP20.b4	AP20	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1245	
AP22.b4	AP22	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1279.930573	
AP7.b2	AP7	PCR Positive		5	LV-SARS_N	RNA	FAM			1303.838043	
AP8.b2	AP8	PCR Positive		5	LV-SARS_N	RNA	FAM			1320.22522	
AP19.b4	AP19	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1342.8	
AP11.b2	AP11	PCR Positive		5	LV-SARS_N	RNA	FAM			1355.395355	
AP7.b4	AP7	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1366.207123	
AP8.b4	AP8	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1524.019623	
AP12.b2	AP12	PCR Positive		5	LV-SARS_N	RNA	FAM			1593.187866	
AP0.2.b2	AP0.2	PCR Positive		5	LV-SARS_N	RNA	FAM			1685.59967	
AP13.b2	AP13	PCR Positive		5	LV-SARS_N	RNA	FAM			1707.766876	
AP15.b2	AP15	PCR Positive		5	LV-SARS_N	RNA	FAM			1707.766876	
AP0.1.b2	AP0.1	PCR Positive		5	LV-SARS_N	RNA	FAM			1714.019012	
AP0.1.b4	AP0.1	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1783.141785	
AP13.b4	AP13	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1836.244965	
AP15.b4	AP15	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1836.244965	
AP0.2.b4	AP0.2	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1874.414978	
AP12.b4	AP12	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			2077.493896	
AP14.b2	AP14	PCR Positive		5	LV-SARS_N	RNA	FAM			2152.007294	
AP0.b2	AP0	PCR Positive		5	LV-SARS_N	RNA	FAM			2236.361694	
AP0.b4	AP0	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			2276.707153	
AP14.b4	AP14	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			2493.552246	
AP5.b2	AP5	PCR Positive		5	LV-SARS_N	RNA	FAM			2615.09491	
AP5.b4	AP5	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			2786.116028	
AP4.b2	AP4	PCR Positive		5	LV-SARS_N	RNA	FAM			2835.271912	
AP0.4.b2	AP0.4	PCR Positive		5	LV-SARS_N	RNA	FAM			3138.026123	
AP0.5.b2	AP0.5	PCR Positive		5	LV-SARS_N	RNA	FAM			3138.026123	
AP4.b4	AP4	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			3151.898499	
AP0.4.b4	AP0.4	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			3336.080627	
AP0.5.b4	AP0.5	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			3336.080627	
