concentration_batch_id	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by	concentration_batch_comment
CP293	1.0.0	11/30/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT0455	0.475	AJ	
CP294	1.0.0	12/05/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP295	1.0.0	12/05/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP296	1.0.0	12/07/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP297	1.0.0	12/07/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP298	1.0.0	12/08/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP299	1.0.0	12/12/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP3	1.0.0	08/24/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	
CP30	1.0.0	10/28/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	
CP300	1.0.0	12/12/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP301	1.0.0	12/14/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP302	1.0.0	12/14/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP303	1.0.0	12/14/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP304	1.0.0	12/19/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP305	1.0.0	12/19/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP306	1.0.0	12/21/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT0455	0.475	AJ	
CP307	1.0.0	12/21/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP308	1.0.0	12/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP309	1.0.0	12/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP31	1.0.0	11/02/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	
CP310	1.0.0	12/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP311	1.0.0	01/04/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP312	1.0.0	01/04/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP313	1.0.0	01/04/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP314	1.0.0	01/09/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP315	1.0.0	01/09/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP316	1.0.0	01/11/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP317	1.0.0	01/11/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP318	1.0.0	01/11/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP319	1.0.0	01/11/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP32	1.0.0	11/03/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	
CP320	1.0.0	01/18/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP321	1.0.0	01/18/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP322	1.0.0	01/18/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP323	1.0.0	01/18/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP324	1.0.0	01/18/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP325	1.0.0	01/25/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	JL	
CP326	1.0.0	01/25/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	JL	
CP327	1.0.0	01/25/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	JL	
CP328	1.0.0	01/26/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP329	1.0.0	01/26/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP33	1.0.0	11/05/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	
CP330	1.0.0	01/30/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP331	1.0.0	01/30/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP332	1.0.0	01/30/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP333	1.0.0	02/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP334	1.0.0	02/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP335	1.0.0	02/06/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP336	1.0.0	02/06/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP337	1.0.0	02/08/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP338	1.0.0	02/08/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP339	1.0.0	02/13/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP34	1.0.0	11/11/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	
CP340	1.0.0	02/13/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP341	1.0.0	02/15/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP342	1.0.0	02/15/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP343	1.0.0	02/15/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP344	1.0.0	02/20/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP345	1.0.0	02/20/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP346	1.0.0	02/20/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP347	1.0.0	02/22/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP348	1.0.0	02/22/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP349	1.0.0	02/27/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP35	1.0.0	11/15/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	LW	
CP350	1.0.0	02/27/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP351	1.0.0	02/27/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP352	1.0.0	03/01/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP353	1.0.0	03/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP354	1.0.0	03/02/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP355	1.0.0	03/02/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP356	1.0.0	03/06/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP357	1.0.0	03/06/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP358	1.0.0	03/08/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP359	1.0.0	03/08/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP36	1.0.0	11/16/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	AJ	
CP360	1.0.0	03/08/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP361	1.0.0	03/10/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP362	1.0.0	03/10/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP363	1.0.0	03/15/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP364	1.0.0	03/15/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP365	1.0.0	03/15/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP366	1.0.0	03/16/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP367	1.0.0	03/20/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP368	1.0.0	03/20/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP369	1.0.0	03/22/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP370	1.0.0	03/22/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP37	1.0.0	11/17/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	
CP371	1.0.0	03/23/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	
CP372	1.0.0	03/27/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP373	1.0.0	03/27/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP374	1.0.0	03/29/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP375	1.0.0	03/29/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP376	1.0.0	03/30/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP377	1.0.0	04/03/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP378	1.0.0	04/03/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP379	1.0.0	04/05/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP38	1.0.0	11/19/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP380	1.0.0	04/05/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP381	1.0.0	04/06/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP382	1.0.0	04/06/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP383	1.0.0	04/10/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	JL	
CP384	1.0.0	04/10/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	JL	
CP385	1.0.0	04/12/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP386	1.0.0	04/12/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP387	1.0.0	04/13/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP388	1.0.0	04/13/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP389	1.0.0	04/17/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP39	1.0.0	11/22/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP390	1.0.0	04/17/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP391	1.0.0	04/19/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP392	1.0.0	04/19/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP393	1.0.0	04/20/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP393.1	1.0.0	04/24/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP394	1.0.0	04/24/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP396	1.0.0	04/26/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP397	1.0.0	04/26/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP398	1.0.0	04/27/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP399	1.0.0	05/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP4	1.0.0	08/25/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	
CP40	1.0.0	11/29/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP400	1.0.0	05/01/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP401	1.0.0	05/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP402	1.0.0	05/03/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP403	1.0.0	05/03/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP404	1.0.0	05/04/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP405	1.0.0	05/04/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP406	1.0.0	05/08/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP407	1.0.0	05/08/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP408	1.0.0	05/10/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	SB	
CP409	1.0.0	05/10/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP41	1.0.0	11/30/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP410	1.0.0	05/11/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP411	1.0.0	05/15/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04665	0.475	AJ	
CP412	1.0.0	05/15/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP413	1.0.0	05/17/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	SB	
CP414	1.0.0	05/17/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP415	1.0.0	05/18/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP416	1.0.0	05/23/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP417	1.0.0	05/24/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP418	1.0.0	05/24/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP42	1.0.0	12/02/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	LW	
CP420	1.0.0	05/30/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP421	1.0.0	06/01/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP422	1.0.0	06/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP423	1.0.0	06/01/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW/AJ	
CP424	1.0.0	06/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW/AJ	
CP425	1.0.0	06/05/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP426	1.0.0	06/08/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP427	1.0.0	06/08/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP428	1.0.0	06/08/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP429	1.0.0	06/12/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP43	1.0.0	12/03/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP430	1.0.0	06/14/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP431	1.0.0	06/14/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP432	1.0.0	06/15/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP433	1.0.0	06/15/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP434	1.0.0	06/21/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	SB	
CP435	1.0.0	06/21/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	SB	
CP436	1.0.0	06/22/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP437	1.0.0	06/22/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP438	1.0.0	06/26/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP439	1.0.0	06/26/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	GC	
CP44	1.0.0	12/06/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP440	1.0.0	06/28/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	SB	
CP441	1.0.0	06/28/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	GC	
CP442	1.0.0	06/29/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP443	1.0.0	07/05/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP444	1.0.0	07/07/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP445	1.0.0	07/07/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP446	1.0.0	07/13/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	SB	
CP447	1.0.0	07/13/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	GC	
CP448	1.0.0	07/13/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	SB	
CP449	1.0.0	07/13/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	GC	
CP45	1.0.0	12/08/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP450	1.0.0	07/17/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP451	1.0.0	07/19/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	SB	
CP452	1.0.0	07/19/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP453	1.0.0	07/20/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	LW	
CP454	1.0.0	07/26/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP455	1.0.0	07/26/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP456	1.0.0	07/27/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP457	1.0.0	07/27/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP458	1.0.0	08/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP459	1.0.0	08/01/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP46	1.0.0	12/09/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	LW	
CP460	1.0.0	08/02/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP461	1.0.0	08/02/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP462	1.0.0	08/09/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP463	1.0.0	08/09/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP464	1.0.0	08/10/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP465	1.0.0	08/10/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP466	1.0.0	08/16/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	JL	
CP467	1.0.0	08/16/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	JL	
CP468	1.0.0	08/21/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP469	1.0.0	08/21/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP47	1.0.0	12/10/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP470	1.0.0	08/23/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP471	1.0.0	08/23/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP472	1.0.0	08/24/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP473	1.0.0	08/24/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP474	1.0.0	08/30/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP475	1.0.0	08/30/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP476	1.0.0	08/30/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP477	1.0.0	09/05/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	GC	
CP478	1.0.0	09/05/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465	0.475	AJ	
CP479	1.0.0	09/07/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04465/ NT4473	0.475	GC	
CP48	1.0.0	12/13/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP480	1.0.0	09/11/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	
CP481	1.0.0	09/11/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	
CP482	1.0.0	09/13/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP483	1.0.0	09/13/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP484	1.0.0	09/13/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP485	1.0.0	09/18/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP486	1.0.0	09/18/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP487	1.0.0	09/18/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT0487	0.475	AJ	
CP488	1.0.0	09/20/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP489	1.0.0	09/20/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP49	1.0.0	12/15/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP490	1.0.0	09/26/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	
CP491	1.0.0	09/27/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP492	1.0.0	03/27/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
