concentration_batch_id	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by	concentration_batch_record_version	concentration_batch_comment
CP159	06/02/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP16	09/24/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP160	06/02/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP161	06/03/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP162	06/08/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP163	06/08/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP164	06/08/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP165	06/10/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP166	06/10/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP167	06/15/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP168	06/14/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP169	06/17/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP17	09/27/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP170	06/17/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP172	06/22/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP173	06/22/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP174	06/24/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP175	06/24/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP176	06/29/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP177	06/29/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP178	06/29/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP179	06/30/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP18	09/29/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP180	07/06/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP181	07/06/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP182	07/07/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP183	07/08/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP184	07/08/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP185	07/13/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP186	07/13/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP187	07/13/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP188	07/15/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP189	07/15/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP19	10/01/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP190	07/20/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP191	07/20/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP192	07/20/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP193	07/22/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP194	07/22/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP195	07/27/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP196	07/27/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP197	07/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP198	07/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP199	08/01/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP2	08/23/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP20	10/05/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP200	08/01/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP201	08/03/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP202	08/02/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP203	08/03/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP205	08/05/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP206	08/08/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP207	08/10/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP208	08/10/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP209	08/10/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP21	10/07/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP210	08/15/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	JL	1.0.0	
CP211	08/15/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	JL	1.0.0	
CP212	08/17/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP213	08/17/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP214	08/17/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP216	08/19/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP217	08/23/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP218	08/24/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP219	08/24/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP22	10/08/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP220	08/24/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP221	08/26/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.53	AJ	1.0.0	
CP222	08/26/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.53	AJ	1.0.0	
CP223	08/31/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP224	08/31/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP225	08/31/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP226	09/02/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP227	09/02/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP228	09/07/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP229	09/07/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP23	10/11/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP230	09/07/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP231	09/07/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP232	09/13/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP233	09/13/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP234	09/13/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP235	09/14/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP236	09/14/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP237	09/16/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP238	09/16/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP239	09/21/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP24	10/13/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP240	09/21/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP241	09/21/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP242	09/21/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP243	09/26/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP244	09/26/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP245	09/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP246	09/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP247	10/12/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP247.1	09/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP248	10/12/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	SB	1.0.0	
CP248.1	09/30/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP249	10/03/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP25	10/15/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP250	10/03/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP251	10/04/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT0445	0.475	AJ	1.0.0	
CP252	10/04/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP253	10/04/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP254	10/07/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP255	10/07/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP256	10/07/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP259	10/17/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP26	10/18/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP260	10/17/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP261	10/17/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP262	10/17/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP263	10/19/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP264	10/19/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP265	10/19/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP266	10/24/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP267	10/24/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP268	10/26/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP269	10/26/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP27	10/20/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP270	10/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP271	10/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP272	10/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP273	11/03/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	SB	1.0.0	
CP274	11/03/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	SB	1.0.0	
CP275	11/04/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	SB	1.0.0	
CP276	11/04/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	SB	1.0.0	
CP277	11/09/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP278	11/09/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP279	11/10/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP28	10/25/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP280	11/10/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP281	11/10/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP282	11/15/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP283	11/15/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP284	11/18/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP285	11/18/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP286	11/18/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP287	11/18/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP288	11/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP289	11/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP29	10/27/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP290	11/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP291	11/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP292	11/30/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP293	11/30/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT0455	0.475	AJ	1.0.0	
CP294	12/05/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP295	12/05/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP296	12/07/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP297	12/07/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP298	12/08/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP299	12/12/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP3	08/24/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP30	10/28/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP300	12/12/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP301	12/14/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP302	12/14/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP303	12/14/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP304	12/19/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP305	12/19/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP306	12/21/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT0455	0.475	AJ	1.0.0	
CP307	12/21/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP308	12/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP309	12/28/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP31	11/02/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP310	12/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP311	01/04/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP312	01/04/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP313	01/04/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP314	01/09/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP315	01/09/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP316	01/11/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP317	01/11/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP318	01/11/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP319	01/11/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP32	11/03/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP320	01/18/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP321	01/18/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP322	01/18/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP323	01/18/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP324	01/18/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP325	01/25/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	JL	1.0.0	
CP326	01/25/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	JL	1.0.0	
CP327	01/25/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	JL	1.0.0	
CP328	01/26/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP329	01/26/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP33	11/05/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP330	01/30/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP331	01/30/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP332	01/30/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP333	02/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP334	02/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP335	02/06/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP336	02/06/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP337	02/08/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP338	02/08/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP339	02/13/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP34	11/11/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	JL	1.0.0	
CP340	02/13/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP341	02/15/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP342	02/15/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP343	02/15/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP344	02/20/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP345	02/20/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP346	02/20/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP347	02/22/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP348	02/22/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP349	02/27/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP35	11/15/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.425	LW	1.0.0	
CP350	02/27/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP351	02/27/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP352	03/01/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP353	03/01/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP354	03/02/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP355	03/02/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP356	03/06/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP357	03/06/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP358	03/08/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
CP359	03/08/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04455	0.475	AJ	1.0.0	
