assay_id	sample_id	collection_start_datetime	collection_end_datetime	sample_flow	sample_qc	location_id	target	target_category	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_lday	target_copies_flownorm	target_copies_flownorm_per_person	target_copies_per_ldayperson	target_result_validated
A03-0344.a3	A03-0344	5/16/22 6:00	5/16/22 14:00	NA	NA	SuncrestES-01	Human	Internal Control	RNase P	ZooWVU	58054.370075625	174163.110226875	NA	NA	338.180796557039	1
D01-0056.a1	D01-0056	2/22/22 7:35	2/23/22 7:35	1.3	NA	CharlesTownWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	375948.976275	375948.976275	1850057318565.49	108826901.092088	22.1146456632353	1
A02-0059.a2	A02-0059	8/27/21 10:59	8/27/21 10:59	NA	NA	CollegePark-02	SARS-CoV-2	Pathogen	N2	ZooWVU	14602.326375	7301.1631875	NA	NA	12.8768310185185	1
A0039.a2	A0039	12/13/20 12:00	12/13/20 11:59	6.302	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	0	0	0	1
A01-0296.a2	A01-0296	7/3/22 0:00	7/4/22 0:00	5.7	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	818722.34715	818722.34715	17665438632713	365532168.364364	16.9409523909535	1
A03-0039.a2	A03-0039	10/8/21 6:00	10/8/21 14:00	NA	NA	MorgantownHS-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	NA	NA	0	1
A03-0107.a1	A03-0107	10/15/21 6:00	10/15/21 14:00	NA	NA	NorthES-01	SARS-CoV-2	Pathogen	N1	ZooWVU	92165.812275	276497.436825	NA	NA	401.885809338663	1
A01-0044.a2	A01-0044	9/23/21 0:00	9/23/21 23:55	9.101	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	96913.09036125	96913.09036125	3338754466379.24	69085301.820461	2.00531969792356	1
G01-0076.a3	G01-0076	1/18/22 9:00	1/19/22 8:00	0.86	NA	KeyserWWTP-01	Human	Internal Control	RNase P	ZooWVU	18421.4672425	18421.4672425	59970213430.4115	7342092.73144117	2.25532165064887	1
A02-0348.a1	A02-0348	2/12/22 9:00	2/14/22 9:00	NA	NA	OaklandE-02	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	0	1
B01-0108.a1	B01-0108	3/23/22 7:00	3/24/22 7:00	7.16	NA	CharlestonWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	5936.930581875	5936.930581875	160911809380.578	3218236.18761156	0.1187386116375	1
A02-0459.a2	A02-0459	4/20/22 9:00	4/22/22 9:00	NA	NA	HonorsSummit-01	SARS-CoV-2	Pathogen	N2	ZooWVU	64473.7013475	32236.85067375	NA	NA	36.8842685054348	1
A01-0159.a2	A01-0159	1/23/22 0:00	1/24/22 0:00	9.9	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	636774.11205	636774.11205	23863465805802.4	493781364.960321	13.1760907144926	1
Q01-0053.a1	Q01-0053	6/25/22 8:00	6/26/22 8:00	0.287	NA	MadisonWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	329918.425171875	329918.425171875	358427557173.172	78688816.0643626	72.4299506414654	1
K01-0013.a2	K01-0013	1/5/22 6:29	1/6/22 6:25	6.316	NA	ParkersburgWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	45795.586771875	45795.586771875	1094910635523.33	22786901.8839403	0.953081930736212	1
A02-0300.a1	A02-0300	1/19/22 9:00	1/21/22 9:00	NA	NA	NorthHighSt-02	SARS-CoV-2	Pathogen	N1	ZooWVU	1957192.287125	978596.1435625	NA	NA	NA	1
A03-0276.a2	A03-0276	4/6/22 6:00	4/6/22 14:00	NA	NA	SuncrestES-01	SARS-CoV-2	Pathogen	N2	ZooWVU	2914.283139375	8742.849418125	NA	NA	16.9764066371359	1
L01-0132.a1	L01-0132	5/29/22 9:00	5/30/22 9:00	0.273	NA	WestUnionWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	1718616.92191875	1718616.92191875	1776047823295.32	3149020963.28958	3047.19312396941	1
O01-0097.a3	O01-0097	6/1/22 6:30	6/2/22 6:30	1.73	NA	GraftonWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
L01-0056.a2	L01-0056	3/24/22 9:00	3/25/22 9:00	0.377	NA	WestUnionWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	8481.5876025	8481.5876025	12104070020.4451	21461117.0575267	15.0382758909574	1
A02-0336.a2	A02-0336	2/7/22 9:00	2/9/22 9:00	NA	NA	NorthHighSt-02	SARS-CoV-2	Pathogen	N2	ZooWVU	199234.0429875	99617.02149375	NA	NA	NA	1
B01-0140.a1	B01-0140	5/16/22 7:00	5/17/22 7:00	11	NA	CharlestonWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	361470.340725	361470.340725	15051447867322	301028957.346441	7.2294068145	1
A04-0013.a3	A04-0013	2/10/22 9:00	2/11/22 9:00	0.74	NA	CheatLakeWWTP-01	Human	Internal Control	RNase P	ZooWVU	29335.139739375	29335.139739375	82173693177.4124	41086846.5887062	14.6675698696875	1
N03-0011.a1	N03-0011	3/15/22 7:30	3/16/22 7:30	0.811	NA	SalemWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	3733.28874375	3733.28874375	11461075148.7612	6185145.7899413	2.01472679101457	1
A1085.a1	A1085	7/5/21 0:00	7/5/21 23:55	6.52	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	0	0	0	1
O01-0062.a2	O01-0062	4/21/22 6:00	4/22/22 6:00	2.05	NA	GraftonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	2522.2980225	2522.2980225	19573260922.571	3224058.79139697	0.415466648410476	1
A02-0065.a1	A02-0065	8/30/21 9:08	9/1/21 9:08	NA	NA	Evansdale-01	SARS-CoV-2	Pathogen	N1	ZooWVU	9508.02777125	4754.013885625	NA	NA	NA	1
A03-0356.a2	A03-0356	5/23/22 6:00	5/23/22 14:00	NA	NA	SuncrestES-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	NA	NA	0	1
C01-0134.a1	C01-0134	3/23/22 7:00	3/24/22 7:00	10.435	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	2993.37666	2993.37666	118240633130.307	2364812.66260614	0.0598675332	1
E02-0025.a3	E02-0025	12/20/21 8:00	12/21/21 8:00	0.119	NA	AthensWWTP-01	Human	Internal Control	RNase P	ZooWVU	2558.793946875	2558.793946875	1152644019.13837	482076.126783091	1.07017730944166	1
E02-0001.a3	E02-0001	11/2/21 8:00	11/3/21 8:00	NA	NA	AthensWWTP-01	Human	Internal Control	RNase P	ZooWVU	9562.5	9562.5	NA	NA	3.99937264742785	1
E01-0134.a2	E01-0134	6/30/22 8:30	7/1/22 8:30	2.134	NA	PrincetonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	442859.25883125	442859.25883125	3577445852119.11	99373495.8921974	12.3016460786458	1
N02-0061.a1	N02-0061	5/4/22 7:00	5/5/22 7:00	9.32	NA	ClarksburgWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	34432.933670625	34432.933670625	1214794629877.84	45844766.7702409	1.29945405957525	1
O01-0084.a3	O01-0084	6/24/22 7:00	6/25/22 7:00	1.71	NA	GraftonWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
N03-0078.a2	N03-0078	5/25/22 7:30	5/26/22 7:31	0.43368	NA	SalemWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	36372.722544375	36372.722544375	59711520345.022	32224241.956299	19.6291001318807	1
R01-0049.a1	R01-0049	3/31/22 9:00	4/1/22 8:30	NA	NA	HuttonsvilleWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	16549.56147375	16549.56147375	NA	NA	7.87699261006663	1
E01-0101.a3	E01-0101	4/27/22 9:00	4/28/22 9:00	1.909	NA	PrincetonWWTP-01	Human	Internal Control	RNase P	ZooWVU	11731.77384375	11731.77384375	84777876815.3852	2354941.02264959	0.325882606770833	1
E01-0125.a3	E01-0125	6/13/22 8:00	6/14/22 8:00	2.059	NA	PrincetonWWTP-01	Human	Internal Control	RNase P	ZooWVU	2231.30753625	2231.30753625	17391166139.3792	483087.948316089	0.0619807648958333	1
A01-0272.a1	A01-0272	6/11/22 0:00	6/12/22 0:00	7.2	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	419868.7167375	419868.7167375	11443501720982.2	236788232.928782	8.687897631549	1
A02-0465.a1	A02-0465	4/23/22 9:00	4/25/22 9:00	NA	NA	Evansdale-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	NA	1
G01-0067.a1	G01-0067	11/2/21 9:00	11/3/21 8:00	NA	NA	KeyserWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	21607.60641125	21607.60641125	NA	NA	2.64539745485431	1
A04-0104.a1	A04-0104	6/28/22 8:00	6/29/22 8:00	0.497	NA	CheatLakeWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	619206.297375	619206.297375	1164943005942.71	582471502.971355	309.6031486875	1
A01-0165.a1	A01-0165	1/30/22 0:00	1/31/22 0:00	8.4	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	406174.11369375	406174.11369375	12915298634426.6	267242564.029686	8.40452974867054	1
O01-0024.a2	O01-0024	3/23/22 7:00	3/24/22 7:00	2.08	NA	GraftonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	3087.0816675	3087.0816675	24306609215.14	4003724.13360897	0.508496403804974	1
A02-0531.a1	A02-0531	5/16/22 9:00	5/18/22 9:00	NA	NA	NorthHighSt-02	SARS-CoV-2	Pathogen	N1	ZooWVU	2149.486494375	1074.7432471875	NA	NA	NA	1
P01-0045.a1	P01-0045	3/31/22 10:00	4/1/22 10:00	0.197	NA	StMarysWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	9872.81916375	9872.81916375	7362415672.95823	2545786.88553189	3.41383788511411	1
G01-0179.a2	G01-0179	6/21/22 9:00	6/22/22 9:00	0.647	NA	KeyserWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	185325.807684375	185325.807684375	453892605186.232	55569613.759333	22.6892516753642	1
A03-0136.a3	A03-0136	12/20/21 6:00	12/20/21 14:00	NA	NA	MorgantownHS-01	Human	Internal Control	RNase P	ZooWVU	122526.71243625	367580.13730875	NA	NA	198.584623073339	1
A02-0210.a1	A02-0210	11/3/21 11:22	11/5/21 11:22	NA	NA	NorthHighSt-02	SARS-CoV-2	Pathogen	N1	ZooWVU	72530.00646875	36265.003234375	NA	NA	NA	1
O01-0035.a3	O01-0035	3/15/22 6:15	3/16/22 6:15	1.69	NA	GraftonWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
H01-0053.a1	H01-0053	12/25/21 8:00	12/26/21 8:00	2.6	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	13205.1311475	13205.1311475	129965772292.351	10830481.0243626	1.100427595625	1
H01-0161.a2	H01-0161	3/18/22 8:00	3/19/22 8:00	2.2	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	15461.601975	15461.601975	128762706010.806	10730225.5009005	1.28846683125	1
A02-0156.a3	A02-0156	8/10/21 9:00	8/11/21 9:00	NA	NA	TowersBB-01	Bovine Respiratory Syncitial Virus (BRSV)	Pre-concentration Spike (Biol)	BRSV	ZooWVU	2036830.20414	1018415.10207	NA	NA	1126.56537839602	1
F01-0016.a2	F01-0016	9/29/21 10:00	9/30/21 10:00	NA	NA	WestonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	74670.2593575	74670.2593575	NA	NA	7.20477222669818	1
C01-0158.a3	C01-0158	4/20/22 7:00	4/21/22 7:00	10.036	NA	WheelingWWTP-01	Human	Internal Control	RNase P	ZooWVU	12087.89823	12087.89823	459223783818.441	9184475.67636881	0.2417579646	1
A01-0281.a1	A01-0281	5/23/22 0:00	5/24/22 0:00	7.2	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	438098.527275	438098.527275	11940354332150.8	247069076.563293	9.06510774861364	1
R01-0073.a3	R01-0073	6/14/22 9:00	6/15/22 8:30	0.194	NA	HuttonsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	2216.556826875	2216.556826875	1627771817.33605	774760.503253714	1.05500086952642	1
C01-0185.a1	C01-0185	5/29/22 7:00	5/30/22 7:00	6.752	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	153435.300909375	153435.300909375	3921666407348.49	78433328.1469698	3.0687060181875	1
H01-0225.a3	H01-0225	5/20/22 8:00	5/21/22 8:00	2.3	NA	MoundsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	99781.671159375	99781.671159375	868743432393.842	72395286.0328202	8.31513926328125	1
H01-0201.a3	H01-0201	4/26/22 8:00	4/27/22 8:00	1.8	NA	MoundsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	2991.88098	2991.88098	20385893124.9032	1698824.42707527	0.249323415	1
A01-0056.a3	A01-0056	10/5/21 0:00	10/5/21 23:55	7.802	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	48680.76860375	48680.76860375	1437726565923.07	29749349.5680158	1.00729946622558	1
A02-0299.a3	A02-0299	1/19/22 9:00	1/21/22 9:00	NA	NA	CollegePark-02	Human	Internal Control	RNase P	ZooWVU	69220.671655	34610.3358275	NA	NA	61.0411566622575	1
A03-0260.a1	A03-0260	3/23/22 6:00	3/23/22 14:00	NA	NA	SuncrestES-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	0	1
H01-0234.a2	H01-0234	5/30/22 8:00	5/31/22 8:00	1.7	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	221198.245040625	221198.245040625	1423454282890.69	118621190.240891	18.4331870867187	1
J01-0010.a2	J01-0010	3/18/22 9:00	3/19/22 9:00	0.122	NA	AlpineLakeWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	0	0	0	1
E02-0085.a2	E02-0085	2/9/22 8:00	2/10/22 8:00	0.135	NA	AthensWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	55286.13703875	55286.13703875	28252893961.0604	11816350.4646844	23.1226001835006	1
A1005.a3	A1005	3/14/21 5:30	3/14/21 11:59	8.712	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A04-0015.a3	A04-0015	2/14/22 8:00	2/15/22 8:00	0.625	NA	CheatLakeWWTP-01	Human	Internal Control	RNase P	ZooWVU	139709.48384625	139709.48384625	330536048279.021	165268024.13951	69.854741923125	1
A03-0131.a2	A03-0131	12/6/21 6:00	12/6/21 2:00	NA	NA	SuncrestES-01	SARS-CoV-2	Pathogen	N2	ZooWVU	2453.203940625	7359.611821875	NA	NA	14.2905083919903	1
K01-0107.a2	K01-0107	7/5/22 6:23	7/6/22 6:22	5.207	NA	ParkersburgWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	213548.30941875	213548.30941875	4209171686317.22	87599826.978506	4.44429364034859	1
K01-0039.a1	K01-0039	2/16/22 6:25	2/17/22 6:12	5.676	NA	ParkersburgWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	237045.362596875	237045.362596875	5093153617094	105996953.529532	4.93330619348335	1
A02-0214.a2	A02-0214	11/8/21 10:00	11/10/21 9:58	NA	NA	HonorsSummit-01	SARS-CoV-2	Pathogen	N2	ZooWVU	5100	2550	NA	NA	2.91762013729977	1
A03-0282.a3	A03-0282	3/25/22 6:00	3/25/22 12:59	NA	NA	NorthES-01	Human	Internal Control	RNase P	ZooWVU	31498.39686375	94495.19059125	NA	NA	137.347660743096	1
H01-0166.a3	H01-0166	3/23/22 8:00	3/24/22 8:00	3.2	NA	MoundsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	6732.272814375	6732.272814375	81550121069.6425	6795843.4224702	0.56102273453125	1
E02-0023.a3	E02-0023	12/16/21 8:00	12/17/21 8:00	0.109	NA	AthensWWTP-01	Human	Internal Control	RNase P	ZooWVU	6164.40144375	6164.40144375	2543491768.74124	1063777.40223389	2.57816873431619	1
O01-0020.a1	O01-0020	4/12/22 6:10	4/13/22 6:10	2.15	NA	GraftonWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	2759.258956875	2759.258956875	22456591863.08	3698993.88289903	0.454498263362708	1
F01-0011.a3	F01-0011	9/27/21 10:00	9/28/21 10:00	NA	NA	WestonWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	NA	NA	0	1
A02-0151.a2	A02-0151	8/9/21 9:00	8/10/21 9:00	NA	NA	NorthHighSt-02	SARS-CoV-2	Pathogen	N2	ZooWVU	3258.832833	1629.4164165	NA	NA	NA	1
A02-0063.a1	A02-0063	8/30/21 10:19	8/30/21 10:19	NA	NA	NorthHighSt-02	SARS-CoV-2	Pathogen	N1	ZooWVU	83533.12671625	41766.563358125	NA	NA	NA	1
A03-0104.a3	A03-0104	10/25/21 6:00	10/25/21 14:00	NA	NA	SuncrestES-01	Human	Internal Control	RNase P	ZooWVU	11522.134363125	34566.403089375	NA	NA	67.1192292997573	1
P01-0079.a3	P01-0079	6/6/22 9:48	6/7/22 9:48	0.143	NA	StMarysWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A02-0392.a2.a2	A02-0392	3/12/22 9:00	3/14/22 9:00	NA	NA	Evansdale-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	NA	NA	NA	1
H01-0230.a1	H01-0230	5/26/22 8:00	5/27/22 8:00	2.2	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	123283.93086	123283.93086	1026696494376.86	85558041.1980713	10.273660905	1
J01-0014.a1	J01-0014	3/24/22 7:30	3/25/22 7:30	0.148	NA	AlpineLakeWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	8388.78426375	8388.78426375	4699738200.2966	6713911.71470943	11.9839775196429	1
A03-0264.a2	A03-0264	3/25/22 6:00	3/25/22 13:40	NA	NA	SuncrestES-01	SARS-CoV-2	Pathogen	N2	ZooWVU	14344.747003125	43034.241009375	NA	NA	83.5616330279126	1
A0042.a1	A0042	12/16/20 12:00	12/16/20 11:59	8.322	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	0	0	0	1
A03-0013.a1	A03-0013	9/29/21 6:00	9/29/21 14:00	NA	NA	SuncrestES-01	SARS-CoV-2	Pathogen	N1	ZooWVU	1580.10563	4740.31689	NA	NA	9.20449881553398	1
N03-0124.a3	N03-0124	6/16/22 7:30	6/17/22 7:30	0.60314	NA	SalemWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A02-0463.a1	A02-0463	4/20/22 9:00	4/22/22 8:18	NA	NA	Evansdale-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	NA	1
H01-0028.a2	H01-0028	11/1/21 8:00	11/2/21 8:00	NA	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	10625	10625	NA	NA	0.885416666666667	1
A01-0051.a2	A01-0051	9/29/21 0:00	9/29/21 23:55	7.542	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	374986.8608375	374986.8608375	10705710715162.7	221521906.868952	7.75920503305537	1
A01-0163.a1	A01-0163	1/28/22 0:00	1/29/22 0:00	8.5	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	276697.05474375	276697.05474375	8903000282979.08	184220333.61569	5.72539841797198	1
D01-0040.a3	D01-0040	6/19/22 7:40	6/20/22 7:40	1.25	NA	CharlesTownWWTP-01	Human	Internal Control	RNase P	ZooWVU	10788.3764625	10788.3764625	51048035181.1402	3002825.5988906	0.634610380147059	1
E01-0123.a3	E01-0123	6/8/22 8:00	6/9/22 8:00	2.029	NA	PrincetonWWTP-01	Human	Internal Control	RNase P	ZooWVU	2709.140780625	2709.140780625	20807818254.2405	577994.951506682	0.0752539105729167	1
A03-0271.a3	A03-0271	3/30/22 6:00	3/30/22 14:00	NA	NA	MountainviewES-01	Human	Internal Control	RNase P	ZooWVU	0	0	NA	NA	0	1
A01-0226.a1	A01-0226	4/13/22 0:00	4/13/22 11:59	10.8	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	56683.123569375	56683.123569375	2317343718140.08	47950333.5155619	1.17288370239561	1
P01-0043.a1	P01-0043	3/30/22 9:50	3/31/22 9:50	0.229	NA	StMarysWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	3165.660763125	3165.660763125	2744181175.23909	948886.990055011	1.09462681989108	1
C01-0130.a2	C01-0130	3/20/22 7:00	3/21/22 7:00	7.407	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	3341.31342375	3341.31342375	93685522919.4732	1873710.45838946	0.066826268475	1
A02-0331.a3	A02-0331	2/5/22 9:00	2/7/22 9:00	NA	NA	HonorsSummit-01	Human	Internal Control	RNase P	ZooWVU	110505.675241875	55252.8376209375	NA	NA	63.2183496807065	1
C01-0106.a1	C01-0106	1/13/22 7:00	1/14/22 7:00	8.363	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	254645.605996875	254645.605996875	8061413689666.02	161228273.79332	5.0929121199375	1
R01-0002.a2	R01-0002	5/9/22 9:00	5/10/22 8:30	0.143	NA	HuttonsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	0	0	0	1
H01-0088.a3	H01-0088	12/10/21 8:00	12/11/21 8:00	3.7	NA	MoundsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	18027.119998125	18027.119998125	252488149154.779	21040679.0962316	1.50225999984375	1
B01-0144.a2	B01-0144	4/18/22 7:00	4/19/22 7:00	16.8	NA	CharlestonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	13407.903553125	13407.903553125	852674124775.786	17053482.4955157	0.2681580710625	1
O01-0033.a3	O01-0033	3/9/22 6:15	3/10/22 6:15	2.1	NA	GraftonWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A0022.a1	A0022	11/19/20 0:00	11/19/20 23:59	9.875	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	0	0	0	1
E02-0006.a2	E02-0006	11/9/21 8:00	11/10/21 8:00	NA	NA	AthensWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	12401.56300625	12401.56300625	NA	NA	5.18676830039732	1
R01-0053.a2.a3	R01-0053	6/8/22 9:00	6/9/22 8:30	0.156	NA	HuttonsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
H01-0055.a1	H01-0055	12/27/21 8:00	12/28/21 8:00	3.4	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	2809.570363125	2809.570363125	36160277544.1418	3013356.46201182	0.23413086359375	1
A03-0351.a3	A03-0351	5/20/22 6:00	5/20/22 13:46	NA	NA	MountainviewES-01	Human	Internal Control	RNase P	ZooWVU	2394.2056275	7182.6168825	NA	NA	9.8934116838843	1
A02-0304.a2	A02-0304	1/22/22 9:00	1/24/22 9:00	NA	NA	HonorsSummit-01	SARS-CoV-2	Pathogen	N2	ZooWVU	430721.84983125	215360.924915625	NA	NA	246.408380910326	1
A01-0008.a1	A01-0008	8/17/21 0:00	8/17/21 23:55	11.614	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	43739.43776375	43739.43776375	1922949783092.69	39789558.4980278	0.905053752767547	1
L01-0047.a1	L01-0047	3/5/22 9:00	3/6/22 9:00	0.252	NA	WestUnionWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	48247.235574375	48247.235574375	46024163139.9299	81603126.1346275	85.5447439261968	1
R01-0075.a3	R01-0075	6/5/22 9:00	6/6/22 8:30	0.112	NA	HuttonsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	3994.449740625	3994.449740625	1693510559.17784	806049.766386406	1.90121358430509	1
H01-0223.a3	H01-0223	5/21/22 8:00	5/22/22 8:00	1.8	NA	MoundsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	79760.334946875	79760.334946875	543466025120.25	45288835.4266875	6.64669457890625	1
C01-0183.a1	C01-0183	5/25/22 7:00	5/26/22 7:00	6.378	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	124879.592671875	124879.592671875	3015011086838.96	60300221.7367792	2.4975918534375	1
S01-0009.a3	S01-0009	5/28/22 6:00	5/29/22 6:00	0.736	NA	FollansbeeWWTP-01	Human	Internal Control	RNase P	ZooWVU	13006.78611	13006.78611	36237709401.5702	5602614.3168785	2.01094404916512	1
C01-0159.a2.a1	C01-0159	4/21/22 7:00	4/22/22 7:00	10.351	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	27538.120831875	27538.120831875	1079020100152.22	21580402.0030445	0.5507624166375	1
A1058.a4	A1058	5/27/21 0:00	5/27/21 11:55	7.148	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	297112.5	297112.5	8039302909411.5	166348760.747631	6.14783355404734	1
A04-0100.a2	A04-0100	6/14/22 20:00	6/15/22 8:59	0.623	NA	CheatLakeWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	564955.95421875	564955.95421875	1332341519324.68	666170759.66234	282.477977109375	1
A04-0052.a2	A04-0052	4/7/22 8:00	4/8/22 8:00	1.502	NA	CheatLakeWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	14546.803809375	14546.803809375	82708556145.2854	41354278.0726427	7.2734019046875	1
M03-0096.a3	M03-0096	6/1/22 11:00	6/2/22 11:00	0.153	NA	ManningtonWWTP-01	Human	Internal Control	RNase P	ZooWVU	2064.161413125	2064.161413125	1195495679.9932	1095779.72501668	1.89199029617324	1
B01-0059.a2	B01-0059	11/24/21 7:00	11/25/21 7:00	7.056	NA	CharlestonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	8389.34379	8389.34379	224078139061.789	4481562.78123578	0.1677868758	1
A03-0347.a1	A03-0347	5/18/22 6:00	5/18/22 14:00	NA	NA	MountainviewES-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	0	1
E01-0106.a2	E01-0106	5/5/22 8:00	5/6/22 8:00	2.502	NA	PrincetonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	102931.84295625	102931.84295625	974877347567.836	27079926.3213288	2.85921785989583	1
A02-0108.a1	A02-0108	9/13/21 10:00	9/15/21 10:00	NA	NA	NorthHighSt-02	SARS-CoV-2	Pathogen	N1	ZooWVU	245716.60175	122858.300875	NA	NA	NA	1
E02-0083.a2	E02-0083	2/7/22 8:00	2/8/22 8:00	0.217	NA	AthensWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	104026.845838125	104026.845838125	85451184963.389	35738680.4531112	43.5076728724906	1
E01-0130.a1	E01-0130	6/23/22 9:00	6/24/22 9:00	6.751	NA	PrincetonWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	288269.10853125	288269.10853125	7366804388111.76	204633455.225327	8.00747523697917	1
