"capacity_mgd","concentration_method","county_names","dashboard_ignore","epaid","extraction_method","flow_rate","inhibition_adjust","inhibition_detect","inhibition_method","institution_type","lab_id","lod_ref","lod_sewage","major_lab_method","major_lab_method_desc","ntc_amplify","num_no_target_control","other_jurisdiction","pasteurized","pcr_gene_target","pcr_gene_target_ref","pcr_target","pcr_target_avg_conc","pcr_target_units","pcr_type","population_served","pretreatment","quant_stan_type","rec_eff_percent","rec_eff_spike_conc","rec_eff_spike_matrix","rec_eff_target_name","reporting_jurisdiction","sample_collect_date","sample_collect_time","sample_id","sample_location","sample_location_specify","sample_matrix","sample_type","site_id","stan_ref","test_result_date","wwtp_jurisdiction","wwtp_name","zipcode"
"0.4","ceres nanotrap","54033","","WV0020257","thermo magmax microbiome ultra nucleic acid isolation kit","0.41513","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","213017.761434375","copies/L wastewater","ddPCR","1853","no","rna","-1","","","","WV","2022-05-30","07:03","N03-0085","wwtp","","raw wastewater","24-hr time-weighted composite","54033-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-06-06","WV","Salem WWTP","26426"
"0.15","ceres nanotrap","54077","","WV0086665","thermo magmax microbiome ultra nucleic acid isolation kit","0.049","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","397027.15340625","copies/L wastewater","ddPCR","700","no","rna","-1","","","","WV","2022-07-14","07:03","J01-0091","wwtp","","raw wastewater","24-hr time-weighted composite","54077-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-07-25","WV","Alpine Lake","26764"
"4.99","ceres nanotrap","54083","","WV0020028","thermo magmax microbiome ultra nucleic acid isolation kit","2.271","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","1175079.910425","copies/L wastewater","ddPCR","13156","no","rna","-1","","","","WV","2023-01-06","06:00","R02-0188","wwtp","","raw wastewater","24-hr time-weighted composite","54083-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-01-12","WV","Elkins WWTP","26241"
"0.75","ceres nanotrap","54019","","WV0044041","thermo magmax microbiome ultra nucleic acid isolation kit","0.901","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfA1 and InfA2 combined","https://doi.org/10.1021/acs.estlett.2c00350","FLUAV","25125.4961639643","copies/L wastewater","ddPCR","2626","no","rna","-1","","","","WV","2025-04-06","10:00","U01-0112","wwtp","","raw wastewater","24-hr time-weighted composite","54019-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-04-16","WV","White Oak WWTP","25917"
"0.4","ceres nanotrap","54033","","WV0020257","thermo magmax microbiome ultra nucleic acid isolation kit","0.68632","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","62856.43593","copies/L wastewater","ddPCR","1853","no","rna","-1","","","","WV","2022-02-22","07:03","N03-0034","wwtp","","raw wastewater","24-hr time-weighted composite","54033-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-03-14","WV","Salem WWTP","26426"
"2.34","ceres nanotrap","54051","","WVR030013","thermo magmax microbiome ultra nucleic acid isolation kit","1.5","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","90591.461053125","copies/L wastewater","ddPCR","12000","no","rna","-1","","","","WV","2023-05-12","08:00","H01-0583","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-05-26","WV","Moundsville WWTP","26041"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","7.188","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","139417.098","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2023-08-16","07:00","C01-0489","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-08-25","WV","Wheeling WWTP","26003"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","7.9","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfB","https://doi.org/10.1021/acs.estlett.2c00350","FLUBV","2347","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2025-07-24","12:00","A01-1308","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-08-05","WV","Star City WWTP","26505"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","9.3","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","131279.5584075","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2022-03-30","00:00","A01-0215","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-04-06","WV","Star City WWTP","26505"
"15.5","ceres nanotrap","54107","","WV0023213","thermo magmax microbiome ultra nucleic acid isolation kit","4.859","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","58","copies/L wastewater","ddPCR","48050","no","rna","-1","","","","WV","2023-08-28","07:00","K01-0324","wwtp","","raw wastewater","24-hr flow-weighted composite","54107-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-09-08","WV","Parkersburg WWTP","26101"
"2.34","ceres nanotrap","54051","","WVR030013","thermo magmax microbiome ultra nucleic acid isolation kit","1.1","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","281946.91926","copies/L wastewater","ddPCR","12000","no","rna","-1","","","","WV","2023-09-19","08:00","H01-0713","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-10-09","WV","Moundsville WWTP","26041"
"15.5","ceres nanotrap","54107","","WV0023213","thermo magmax microbiome ultra nucleic acid isolation kit","5.019","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n","https://www.cdc.gov/coronavirus/2019-ncov/lab/multiplex.html","sars-cov-2","76468.0811762808","copies/L wastewater","ddPCR","48050","no","rna","-1","","","","WV","2025-11-10","06:03","K01-0542","wwtp","","raw wastewater","24-hr flow-weighted composite","54107-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-11-24","WV","Parkersburg WWTP","26101"
"0.2","ceres nanotrap","54017","","WVG640072","thermo magmax microbiome ultra nucleic acid isolation kit","0.307","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","2820","copies/L wastewater","ddPCR","564","no","rna","-1","","","","WV","2022-04-28","09:00","L01-0122","wwtp","","raw wastewater","24-hr time-weighted composite","54017-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-05-05","WV","West Union WWTP","26456"
"0.15","ceres nanotrap","54077","","WV0086665","thermo magmax microbiome ultra nucleic acid isolation kit","0.053","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","2848","copies/L wastewater","ddPCR","700","no","rna","-1","","","","WV","2023-06-01","08:00","J01-0288","wwtp","","raw wastewater","24-hr time-weighted composite","54077-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-06-09","WV","Alpine Lake","26764"
"4.99","ceres nanotrap","54083","","WV0020028","thermo magmax microbiome ultra nucleic acid isolation kit","3.12","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n","https://www.cdc.gov/coronavirus/2019-ncov/lab/multiplex.html","sars-cov-2","8324.98624920846","copies/L wastewater","ddPCR","13156","no","rna","-1","","","","WV","2025-12-28","08:00","R02-1005","wwtp","","raw wastewater","24-hr time-weighted composite","54083-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2026-01-20","WV","Elkins WWTP","26241"
"2.34","ceres nanotrap","54051","","WVR030013","thermo magmax microbiome ultra nucleic acid isolation kit","1.7","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","384772.5321","copies/L wastewater","ddPCR","12000","no","rna","-1","","","","WV","2022-10-19","08:00","H01-0379","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-10-25","WV","Moundsville WWTP","26041"
"2.3","ceres nanotrap","54091","","WVG611883","thermo magmax microbiome ultra nucleic acid isolation kit","1.12","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n","https://www.cdc.gov/coronavirus/2019-ncov/lab/multiplex.html","sars-cov-2","10093.2073965669","copies/L wastewater","ddPCR","6071","no","rna","-1","","","","WV","2026-02-01","08:00","O01-0571","wwtp","","raw wastewater","24-hr flow-weighted composite","54091-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2026-02-12","WV","Grafton WWTP","26354"
"0.525","ceres nanotrap","54073","","WV0020168","thermo magmax microbiome ultra nucleic acid isolation kit","0.2","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","2407","copies/L wastewater","ddPCR","2892","no","rna","-1","","","","WV","2024-08-04","08:00","P01-0116","wwtp","","raw wastewater","24-hr time-weighted composite","54073-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2024-08-09","WV","St Marys WWTP","26170"
"0.2","ceres nanotrap","54017","","WVG640072","thermo magmax microbiome ultra nucleic acid isolation kit","0.174","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","1622","copies/L wastewater","ddPCR","564","no","rna","-1","","","","WV","2025-10-26","08:00","L01-0656B","wwtp","","raw wastewater","24-hr time-weighted composite","54017-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-11-10","WV","West Union WWTP","26456"
"10","","54069","","WVG640166","","13.4","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfB","https://doi.org/10.1021/acs.estlett.2c00350","FLUBV","197","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2026-03-10","08:00","C01-1196","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2026-03-19","WV","Wheeling WWTP","26003"
"0.4","ceres nanotrap","54033","","WV0020257","thermo magmax microbiome ultra nucleic acid isolation kit","0.40387","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","108937.210125","copies/L wastewater","ddPCR","1853","no","rna","-1","","","","WV","2023-02-12","07:03","N03-0255","wwtp","","raw wastewater","24-hr time-weighted composite","54033-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-02-21","WV","Salem WWTP","26426"
"2.34","ceres nanotrap","54051","","WVR030013","thermo magmax microbiome ultra nucleic acid isolation kit","1.1","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","2390","copies/L wastewater","ddPCR","12000","no","rna","-1","","","","WV","2024-08-04","08:00","H01-0936","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2024-08-09","WV","Moundsville WWTP","26041"
"15.5","ceres nanotrap","54107","","WV0023213","thermo magmax microbiome ultra nucleic acid isolation kit","6.311","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","677789.52973125","copies/L wastewater","ddPCR","48050","no","rna","-1","","","","WV","2022-10-13","06:03","K01-0173","wwtp","","raw wastewater","24-hr flow-weighted composite","54107-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-10-20","WV","Parkersburg WWTP","26101"
"15.5","ceres nanotrap","54107","","WV0023213","thermo magmax microbiome ultra nucleic acid isolation kit","6.848","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","641208.27920625","copies/L wastewater","ddPCR","48050","no","rna","-1","","","","WV","2022-09-19","06:02","K01-0167","wwtp","","raw wastewater","24-hr flow-weighted composite","54107-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-09-29","WV","Parkersburg WWTP","26101"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","5.9","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","433","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2025-05-18","07:00","C01-0900","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-05-28","WV","Wheeling WWTP","26003"
"2.4","ceres nanotrap","54057","","WV0024392","thermo magmax microbiome ultra nucleic acid isolation kit","0.623","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","480664.3438875","copies/L wastewater","ddPCR","8168","no","rna","-1","","","","WV","2023-09-10","09:00","G01-0449","wwtp","","raw wastewater","24-hr time-weighted composite","54057-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-09-17","WV","Keyser WWTP","26726"
"2.3","ceres nanotrap","54091","","WVG611883","thermo magmax microbiome ultra nucleic acid isolation kit","1.53","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","19527.905416875","copies/L wastewater","ddPCR","6071","no","rna","-1","","","","WV","2022-10-14","07:00","O01-0203","wwtp","","raw wastewater","24-hr flow-weighted composite","54091-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-10-20","WV","Grafton WWTP","26354"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","7.5","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfA1 and InfA2 combined","https://doi.org/10.1021/acs.estlett.2c00350","FLUAV","1274","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2025-12-15","08:00","C01-1141","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-01-16","WV","Wheeling WWTP","26003"
"2.34","ceres nanotrap","54051","","WVR030013","thermo magmax microbiome ultra nucleic acid isolation kit","1","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","1494","copies/L wastewater","ddPCR","12000","no","rna","-1","","","","WV","2025-10-05","08:00","H01-1002","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-10-10","WV","Moundsville WWTP","26041"
"4.1","ceres nanotrap","54031","","WV0020150","thermo magmax microbiome ultra nucleic acid isolation kit","3.5","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n","https://www.cdc.gov/coronavirus/2019-ncov/lab/multiplex.html","sars-cov-2","86","copies/L wastewater","ddPCR","3510","no","rna","-1","","","","WV","2025-04-03","07:00","V01-0030","wwtp","","raw wastewater","24-hr flow-weighted composite","54031-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-04-16","WV","Moorefield WWTP","26836"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","11.3","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfA1 and InfA2 combined","https://doi.org/10.1021/acs.estlett.2c00350","FLUAV","14588.7136459351","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2026-01-14","08:00","C01-1202","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2026-02-03","WV","Wheeling WWTP","26003"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","7.32","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfB","https://doi.org/10.1021/acs.estlett.2c00350","FLUBV","1168","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2025-05-07","07:00","C01-0894","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-05-21","WV","Wheeling WWTP","26003"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","12.0","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","2073","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2024-02-25","12:00","A01-0813","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2024-02-29","WV","Star City WWTP","26505"
"0.5","ceres nanotrap","54005","","WV0035939","thermo magmax microbiome ultra nucleic acid isolation kit","0.314","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","116630.57372625","copies/L wastewater","ddPCR","4555","no","rna","-1","","","","WV","2023-08-11","09:00","Q01-0433","wwtp","","raw wastewater","24-hr time-weighted composite","54005-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-08-25","WV","Madison WWTP","25053"
"0.75","","54061","","WV0083071","","0.971","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n","https://www.cdc.gov/coronavirus/2019-ncov/lab/multiplex.html","sars-cov-2","153827.317357063","copies/L wastewater","ddPCR","2000","no","rna","-1","","","","WV","2026-02-16","12:00","A04-0594","wwtp","","raw wastewater","24-hr time-weighted composite","54061-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2026-03-10","WV","Cheat Lake WWTP","26508"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","8.7","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","608934.06268125","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2023-05-05","00:00","A01-0553","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-05-09","WV","Star City WWTP","26505"
"0.4","ceres nanotrap","54033","","WV0020257","thermo magmax microbiome ultra nucleic acid isolation kit","0.494","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","3124.59579","copies/L wastewater","ddPCR","1853","no","rna","-1","","","","WV","2022-03-22","07:03","N03-0020","wwtp","","raw wastewater","24-hr time-weighted composite","54033-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-04-04","WV","Salem WWTP","26426"
"0.15","ceres nanotrap","54077","","WV0086665","thermo magmax microbiome ultra nucleic acid isolation kit","0.062","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","313081.4730825","copies/L wastewater","ddPCR","700","no","rna","-1","","","","WV","2022-11-02","07:03","J01-0168","wwtp","","raw wastewater","24-hr time-weighted composite","54077-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-11-15","WV","Alpine Lake","26764"
"4.99","ceres nanotrap","54083","","WV0020028","thermo magmax microbiome ultra nucleic acid isolation kit","1.27","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","355169.810064375","copies/L wastewater","ddPCR","13156","no","rna","-1","","","","WV","2023-06-08","06:00","R02-0323","wwtp","","raw wastewater","24-hr time-weighted composite","54083-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-06-21","WV","Elkins WWTP","26241"
"1.6","ceres nanotrap","54009","","WV0020273","thermo magmax microbiome ultra nucleic acid isolation kit","0.811","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","12767.27332125","copies/L wastewater","ddPCR","6468","no","rna","-1","","","","WV","2022-03-10","07:00","S01-0049","wwtp","","raw wastewater","24-hr time-weighted composite","54009-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-03-28","WV","Follansbee WWTP","26037"
"0.525","ceres nanotrap","54073","","WV0020168","thermo magmax microbiome ultra nucleic acid isolation kit","0.177","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","1213","copies/L wastewater","ddPCR","2892","no","rna","-1","","","","WV","2024-03-03","08:00","P01-0101","wwtp","","raw wastewater","24-hr time-weighted composite","54073-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2024-03-08","WV","St Marys WWTP","26170"
"0.5","ceres nanotrap","54005","","WV0035939","thermo magmax microbiome ultra nucleic acid isolation kit","0.488","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","312928.28145","copies/L wastewater","ddPCR","4555","no","rna","-1","","","","WV","2023-02-08","08:00","Q01-0275","wwtp","","raw wastewater","24-hr time-weighted composite","54005-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-02-21","WV","Madison WWTP","25053"
"15.5","ceres nanotrap","54107","","WV0023213","thermo magmax microbiome ultra nucleic acid isolation kit","6.08","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","8332.635309375","copies/L wastewater","ddPCR","48050","no","rna","-1","","","","WV","2022-04-05","06:00","K01-0062","wwtp","","raw wastewater","24-hr flow-weighted composite","54107-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-04-18","WV","Parkersburg WWTP","26101"
"0.2","ceres nanotrap","54017","","WVG640072","thermo magmax microbiome ultra nucleic acid isolation kit","0.53129","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","64258.518688125","copies/L wastewater","ddPCR","564","no","rna","-1","","","","WV","2022-02-16","09:00","L01-0027","wwtp","","raw wastewater","24-hr time-weighted composite","54017-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-02-24","WV","West Union WWTP","26456"
